sample_local,Bx_nT,By_nT,Bz_nT,mag_nT
0,3.37155316,-3.40920113,-3.05821936,5.68706679
1,5.52884480,-3.45570303,-3.45997079,7.38115209
2,7.81049749,-3.46009374,-3.80253855,9.35069084
3,10.19724042,-3.40967001,-4.04884754,11.48924402
4,12.65306829,-3.29928747,-4.15790285,13.72128241
5,15.11028355,-3.14450568,-4.09231886,15.96733098
6,17.43831314,-3.00421119,-3.83038638,18.10502444
7,19.38338615,-3.01349056,-3.37723819,19.90483664
8,20.46729358,-3.41928048,-2.75570668,20.93311980
9,19.85958366,-4.59391670,-1.93615881,20.47573795
10,16.32318042,-6.98364138,-0.66475863,17.76680529
11,8.48063448,-10.97384627,1.72986781,13.97636955
12,-4.36115692,-16.78568071,6.09368184,18.38237539
13,-21.39166900,-24.61167433,11.95819413,34.73235412
14,-41.62363938,-34.47162808,15.33584378,56.17836418
15,-67.65631118,-43.79182728,10.50713781,81.27423038
16,-103.30485231,-44.08232343,-1.08773227,112.32242390
17,-140.97597048,-26.96329517,-7.99732650,143.75395915
18,-161.90010813,1.54910327,-2.91494874,161.93375701
19,-158.06192351,22.17450658,7.96071938,159.80817707
20,-141.98397716,25.24601529,15.13089788,145.00260387
21,-130.53789797,17.21986233,17.05080552,132.76820566
22,-127.99126305,11.78656241,18.61046246,129.87315266
23,-127.13666585,15.65012191,23.77916156,130.28471377
24,-120.52506712,25.56308619,32.39507907,127.39389439
25,-106.82555498,34.69146831,41.95132923,119.89625180
26,-89.30372938,38.59989399,50.16250942,109.45951420
27,-71.85974073,36.66422915,55.91385938,98.15522251
28,-56.72383087,30.58786361,58.91726488,87.31812235
29,-44.26730238,22.54461794,59.08775220,77.19596050
30,-33.89361209,14.09636739,56.21787549,67.14115011
31,-25.05765227,5.98273327,50.06695283,56.30611691
32,-17.84917293,-1.57993951,40.72471085,44.49259778
33,-12.91318553,-8.40935961,28.96370417,32.80798452
34,-10.85824424,-13.60882236,16.27615629,23.83306060
35,-11.63789649,-16.40744347,4.48255949,20.60917697
36,-14.38538572,-16.36129484,-4.88243908,22.32643058
37,-17.78244309,-13.66398304,-11.03341862,24.99311988
38,-20.63010731,-9.09561016,-14.01466691,26.54698364
39,-22.23383687,-3.69922766,-14.45216581,26.77485544
40,-22.46060759,1.51061823,-13.19596320,26.09395151
41,-21.56833089,5.82890033,-11.03887626,24.92038855
42,-19.97822878,9.10195054,-8.57721566,23.56997576
43,-18.10217406,11.29005920,-6.18806094,22.21364988
44,-16.25521774,12.51291455,-4.06847993,20.91309789
45,-14.63520187,12.96119870,-2.29230337,19.68340571
46,-13.33902464,12.83665218,-0.86063951,18.53240184
47,-12.39147211,12.31951849,0.26174450,17.47534340
48,-11.77307168,11.55563407,1.12366401,16.53482738
49,-11.44161238,10.65511355,1.77494427,15.73506803
50,-11.34660571,9.69663923,2.26044231,15.09569054
51,-11.43791825,8.73365926,2.61789789,14.62724059
52,-11.67026476,7.80054889,2.87778325,14.32917579
53,-12.00505339,6.91789639,3.06405796,14.19038578
54,-12.41068885,6.09668538,3.19522990,14.19169703
55,-12.86207119,5.34143615,3.28542419,14.30936153
56,-13.33974465,4.65247945,3.34533150,14.51845705
57,-13.82895610,4.02755507,3.38299589,14.79546849
58,-14.31875830,3.46290808,3.40444426,15.11981522
59,-14.80121872,2.95402223,3.41417740,15.47446058
60,-15.27075304,2.49609782,3.41554706,15.84589424
61,-15.72358017,2.08435264,3.41104247,16.22376990
62,-16.15728623,1.71420286,3.40250675,16.60040488
63,-16.57048095,1.38136363,3.39129961,16.97026568
64,-16.96253009,1.08189724,3.37841933,17.32950218
65,-17.33334928,0.81222773,3.36459427,17.67555390
66,-17.68324626,0.56913484,3.35035128,18.00683111
67,-18.01280128,0.34973595,3.33606697,18.32246348
68,-18.32277698,0.15146154,3.32200615,18.62210572
69,-18.61405116,-0.02911982,3.30835057,18.90579096
70,-18.88756698,-0.19841047,3.29522051,19.17388931
71,-19.14429657,-0.35206539,3.28269101,19.42689119
72,-19.38521474,-0.49173944,3.27080394,19.66536337
73,-19.61128041,-0.61889785,3.25957714,19.88995216
74,-19.82342378,-0.73483825,3.24901124,20.10134801
75,-20.02253787,-0.84071037,3.23909473,20.30025988
76,-20.20947316,-0.93753369,3.22980779,20.48739694
77,-20.38503478,-1.02621294,3.22112509,20.66345573
78,-20.54998121,-1.10755186,3.21301789,20.82911142
79,-20.70502435,-1.18226528,3.20545559,20.98501203
