t,Bx,By,Bz
225.9,-889,-2480,-2626
225.92,-890,-2479,-2626
225.94,-890,-2478,-2626
225.96,-890,-2478,-2626
225.98,-891,-2477,-2626
226,-892,-2477,-2626
226.02,-892,-2478,-2626
226.04,-891,-2478,-2626
226.06,-890,-2479,-2626
226.08,-891,-2480,-2626
226.1,-892,-2480,-2625
226.12,-892,-2480,-2624
226.14,-892,-2480,-2624
226.16,-892,-2480,-2624
226.18,-891,-2480,-2624
226.2,-890,-2480,-2624
226.22,-890,-2480,-2624
226.24,-889,-2480,-2624
226.26,-888,-2479,-2624
226.28,-888,-2478,-2624
226.3,-888,-2478,-2624
226.32,-888,-2478,-2625
226.34,-889,-2478,-2626
226.36,-890,-2479,-2626
226.38,-889,-2479,-2626
226.4,-889,-2478,-2626
226.42,-890,-2478,-2626
226.44,-890,-2478,-2625
226.46,-890,-2478,-2625
226.48,-891,-2479,-2626
226.5,-892,-2479,-2626
226.52,-891,-2478,-2625
226.54,-890,-2478,-2623
226.56,-890,-2478,-2623
226.58,-890,-2478,-2624
226.6,-890,-2479,-2625
226.62,-890,-2480,-2626
226.64,-890,-2480,-2626
226.66,-889,-2480,-2627
226.68,-889,-2480,-2627
226.7,-890,-2480,-2625
226.72,-890,-2480,-2625
226.74,-890,-2480,-2626
226.76,-890,-2480,-2626
226.78,-889,-2480,-2625
226.8,-888,-2480,-2624
226.82,-889,-2480,-2625
226.84,-890,-2480,-2626
226.86,-891,-2480,-2625
226.88,-892,-2480,-2623
226.9,-891,-2480,-2622
226.92,-890,-2480,-2622
226.94,-889,-2480,-2622
226.96,-888,-2480,-2622
226.98,-888,-2480,-2622
227,-889,-2480,-2622
227.02,-890,-2480,-2623
227.04,-890,-2480,-2624
227.06,-890,-2480,-2624
227.08,-891,-2480,-2624
227.1,-892,-2480,-2626
227.12,-892,-2480,-2628
227.14,-891,-2480,-2627
227.16,-890,-2480,-2626
227.18,-889,-2480,-2625
227.2,-889,-2481,-2623
227.22,-890,-2482,-2621
227.24,-890,-2482,-2621
227.26,-890,-2482,-2623
227.28,-889,-2481,-2624
227.3,-888,-2479,-2624
227.32,-888,-2478,-2624
227.34,-889,-2478,-2623
227.36,-891,-2478,-2622
227.38,-891,-2479,-2622
227.4,-891,-2480,-2621
227.42,-891,-2480,-2621
227.44,-890,-2480,-2623
227.46,-891,-2480,-2625
227.48,-891,-2480,-2625
227.5,-890,-2479,-2625
227.52,-890,-2479,-2625
227.54,-890,-2480,-2623
227.56,-890,-2480,-2621
227.58,-890,-2482,-2618
227.6,-892,-2480,-2620
227.62,-892,-2478,-2628
227.64,-892,-2478,-2630
227.66,-892,-2478,-2625
227.68,-890,-2480,-2623
227.7,-890,-2480,-2624
227.72,-889,-2480,-2624
227.74,-888,-2480,-2623
227.76,-889,-2480,-2622
227.78,-890,-2478,-2625
227.8,-890,-2478,-2626
227.82,-890,-2480,-2624
227.84,-888,-2480,-2624
227.86,-890,-2480,-2622
227.88,-894,-2480,-2624
227.9,-890,-2482,-2626
227.92,-890,-2485,-2624
227.94,-891,-2483,-2622
227.96,-888,-2481,-2621
227.98,-887,-2482,-2621
228,-887,-2481,-2620
228.02,-887,-2480,-2620
228.04,-886,-2479,-2620
228.06,-886,-2478,-2621
228.08,-887,-2478,-2622
228.1,-888,-2478,-2622
228.12,-888,-2478,-2622
228.14,-889,-2478,-2622
228.16,-890,-2478,-2622
228.18,-890,-2478,-2622
228.2,-890,-2478,-2621
228.22,-890,-2477,-2621
228.24,-890,-2477,-2621
228.26,-890,-2478,-2620
228.28,-890,-2478,-2620
228.3,-890,-2478,-2620
228.32,-890,-2479,-2620
228.34,-889,-2479,-2620
228.36,-889,-2479,-2620
228.38,-890,-2480,-2620
228.4,-890,-2481,-2621
228.42,-890,-2481,-2622
228.44,-889,-2480,-2621
228.46,-888,-2480,-2620
228.48,-888,-2480,-2620
228.5,-889,-2479,-2620
228.52,-892,-2481,-2622
228.54,-890,-2482,-2626
228.56,-884,-2480,-2624
228.58,-884,-2478,-2622
228.6,-887,-2477,-2623
228.62,-888,-2478,-2622
228.64,-888,-2478,-2621
228.66,-889,-2478,-2620
228.68,-891,-2478,-2621
228.7,-891,-2478,-2622
228.72,-891,-2477,-2621
228.74,-892,-2477,-2620
228.76,-891,-2478,-2620
228.78,-890,-2478,-2620
228.8,-891,-2479,-2620
228.82,-891,-2480,-2620
228.84,-890,-2479,-2620
228.86,-890,-2478,-2620
228.88,-890,-2478,-2621
228.9,-889,-2478,-2621
228.92,-888,-2478,-2620
228.94,-888,-2478,-2620
228.96,-888,-2478,-2620
228.98,-889,-2478,-2620
229,-890,-2479,-2620
229.02,-890,-2480,-2620
229.04,-891,-2480,-2620
229.06,-892,-2480,-2620
229.08,-892,-2480,-2620
229.1,-891,-2479,-2621
229.12,-889,-2478,-2623
229.14,-889,-2479,-2624
229.16,-890,-2479,-2624
229.18,-889,-2478,-2624
229.2,-889,-2478,-2623
229.22,-890,-2477,-2622
229.24,-890,-2477,-2622
229.26,-890,-2478,-2621
229.28,-890,-2478,-2621
229.3,-891,-2478,-2622
229.32,-892,-2479,-2622
229.34,-891,-2480,-2621
229.36,-890,-2480,-2620
229.38,-889,-2481,-2620
229.4,-888,-2481,-2620
229.42,-888,-2479,-2621
229.44,-888,-2478,-2622
229.46,-888,-2478,-2622
229.48,-890,-2478,-2621
229.5,-891,-2478,-2620
229.52,-890,-2478,-2619
229.54,-890,-2477,-2618
229.56,-890,-2476,-2619
229.58,-890,-2477,-2620
229.6,-890,-2478,-2620
229.62,-890,-2479,-2621
229.64,-892,-2478,-2623
229.66,-892,-2480,-2622
229.68,-895,-2484,-2626
229.7,-893,-2482,-2624
229.72,-888,-2482,-2618
229.74,-888,-2480,-2622
229.76,-888,-2478,-2626
229.78,-888,-2478,-2622
229.8,-887,-2477,-2618
229.82,-887,-2477,-2622
229.84,-888,-2476,-2624
229.86,-890,-2478,-2624
229.88,-890,-2480,-2624
229.9,-889,-2480,-2623
229.92,-889,-2480,-2622
229.94,-890,-2480,-2622
229.96,-891,-2480,-2622
229.98,-892,-2480,-2622
230,-891,-2480,-2622
230.02,-890,-2479,-2622
230.04,-890,-2478,-2622
230.06,-889,-2478,-2622
230.08,-888,-2478,-2622
230.1,-888,-2478,-2621
230.12,-888,-2478,-2620
230.14,-888,-2479,-2620
230.16,-888,-2479,-2619
230.18,-888,-2478,-2619
230.2,-888,-2478,-2620
230.22,-888,-2478,-2620
230.24,-889,-2478,-2619
230.26,-888,-2481,-2623
230.28,-890,-2482,-2626
230.3,-894,-2478,-2626
230.32,-894,-2480,-2624
230.34,-892,-2482,-2621
230.36,-891,-2479,-2622
230.38,-892,-2478,-2623
230.4,-892,-2478,-2623
230.42,-891,-2477,-2622
230.44,-890,-2476,-2621
230.46,-889,-2476,-2620
230.48,-888,-2477,-2620
230.5,-889,-2479,-2620
230.52,-890,-2480,-2621
230.54,-890,-2480,-2622
230.56,-890,-2480,-2622
230.58,-889,-2480,-2621
230.6,-889,-2480,-2622
230.62,-892,-2480,-2626
230.64,-892,-2482,-2626
230.66,-892,-2484,-2622
230.68,-891,-2482,-2621
230.7,-889,-2480,-2622
230.72,-890,-2480,-2621
230.74,-889,-2480,-2620
230.76,-888,-2479,-2620
230.78,-888,-2478,-2621
230.8,-888,-2478,-2622
230.82,-888,-2477,-2622
230.84,-887,-2477,-2622
230.86,-887,-2478,-2622
230.88,-888,-2478,-2622
230.9,-888,-2478,-2621
230.92,-888,-2478,-2620
230.94,-888,-2477,-2621
230.96,-887,-2476,-2622
230.98,-887,-2477,-2622
231,-888,-2478,-2622
231.02,-888,-2479,-2621
231.04,-887,-2481,-2620
231.06,-887,-2482,-2621
231.08,-888,-2481,-2622
231.1,-888,-2480,-2622
231.12,-888,-2480,-2622
231.14,-889,-2480,-2622
231.16,-890,-2480,-2621
231.18,-890,-2480,-2620
231.2,-890,-2480,-2620
231.22,-890,-2480,-2621
231.24,-891,-2480,-2623
231.26,-892,-2480,-2624
231.28,-891,-2480,-2623
231.3,-889,-2480,-2622
231.32,-888,-2480,-2622
231.34,-887,-2480,-2622
231.36,-886,-2480,-2622
231.38,-886,-2480,-2622
231.4,-887,-2480,-2622
231.42,-888,-2480,-2623
231.44,-892,-2480,-2624
231.46,-891,-2483,-2624
231.48,-886,-2483,-2622
231.5,-890,-2478,-2622
231.52,-892,-2478,-2623
231.54,-890,-2479,-2621
231.56,-890,-2478,-2621
231.58,-890,-2478,-2622
231.6,-889,-2479,-2623
231.62,-888,-2480,-2624
231.64,-888,-2480,-2624
231.66,-889,-2480,-2625
231.68,-890,-2480,-2626
231.7,-889,-2480,-2625
231.72,-888,-2480,-2623
231.74,-888,-2480,-2621
231.76,-888,-2479,-2620
231.78,-888,-2479,-2620
231.8,-888,-2480,-2620
231.82,-888,-2480,-2620
231.84,-888,-2480,-2621
231.86,-889,-2479,-2623
231.88,-889,-2478,-2623
231.9,-888,-2479,-2623
231.92,-888,-2480,-2624
231.94,-889,-2480,-2624
231.96,-891,-2481,-2624
231.98,-891,-2482,-2623
232,-890,-2481,-2622
232.02,-889,-2480,-2622
232.04,-889,-2482,-2625
232.06,-888,-2484,-2626
232.08,-884,-2482,-2620
232.1,-884,-2478,-2622
232.12,-886,-2478,-2626
232.14,-886,-2480,-2623
232.16,-886,-2480,-2621
232.18,-887,-2480,-2621
232.2,-888,-2480,-2621
232.22,-889,-2481,-2621
232.24,-889,-2481,-2621
232.26,-888,-2480,-2621
232.28,-889,-2480,-2622
232.3,-890,-2480,-2622
232.32,-890,-2480,-2622
