t,Bx,By,Bz
210,-894.985062100313,-2474.48121587306,-2624.92142564411
210.02,-894.637137250475,-2474.4397523142,-2624.92142564411
210.04,-894.509408964692,-2474.39119842146,-2624.92142564411
210.06,-894.451082066063,-2474.33026453346,-2624.92142564411
210.08,-894.425344683533,-2474.23103317336,-2624.92142564411
210.1,-894.387226481236,-2474.16318689036,-2624.92142564411
210.12,-894.387226481236,-2474.14197456904,-2624.92142564411
210.14,-894.387226481236,-2474.10446194395,-2624.92142564411
210.16,-894.387226481236,-2473.90427543212,-2624.92142564411
210.18,-894.387226481236,-2473.70197390787,-2624.92142564411
210.2,-894.387226481236,-2473.51866146621,-2624.92142564411
210.22,-894.387226481236,-2473.33994493722,-2624.92142564411
210.24,-894.387226481236,-2473.23223937843,-2624.92142564411
210.26,-894.387226481236,-2472.95297479331,-2624.92142564411
210.28,-894.387226481236,-2472.66734953183,-2624.92142564411
210.3,-894.387226481236,-2472.57510427183,-2624.92142564411
210.32,-894.387226481236,-2472.54539749038,-2624.92142564411
210.34,-894.387226481236,-2472.50490840218,-2624.92142564411
210.36,-894.387226481236,-2472.4526709592,-2624.92142564411
210.38,-894.387226481236,-2472.21158241743,-2624.92142564411
210.4,-894.425344683533,-2471.9307097559,-2624.98633519239
210.42,-894.451082066063,-2471.84958387697,-2625.00308459256
210.44,-894.509408964692,-2471.80575280792,-2625.07912216764
210.46,-894.637137250475,-2471.76653087182,-2625.42646801013
210.48,-894.985062100313,-2471.74532082144,-2625.73586790997
210.5,-895.405631813399,-2471.71284322891,-2625.76588426986
210.52,-895.56498121291,-2471.6023819999,-2625.79871043068
210.54,-895.643043437821,-2471.22663987368,-2626.03704485582
210.56,-895.755581313069,-2470.9234179602,-2626.38965616992
210.58,-896.136528841307,-2470.87647561945,-2626.53037048779
210.6,-896.595092503421,-2470.5181071549,-2626.68354823312
210.62,-896.757668777826,-2469.99244220704,-2627.08625748298
210.64,-896.88568242519,-2469.77995105813,-2627.44405483509
210.66,-896.995464269029,-2469.56503836232,-2627.70828594174
210.68,-897.104738584437,-2469.56503836232,-2627.88719091646
210.7,-897.321848931302,-2469.56503836232,-2627.91300211745
210.72,-897.624977459975,-2469.56503836232,-2627.92973620362
210.74,-897.624977459975,-2469.77995105813,-2627.95841827196
210.76,-897.624977459975,-2469.97344621653,-2628.01233598561
210.78,-897.624977459975,-2470.06899779495,-2628.05268448011
210.8,-897.624977459975,-2470.06899779495,-2628.055721907
210.82,-897.624977459975,-2470.06899779495,-2628.22255366564
210.84,-897.624977459975,-2470.06899779495,-2628.40193853466
210.86,-897.624977459975,-2470.06899779495,-2628.48427847397
210.88,-897.624977459975,-2470.06899779495,-2628.59192119113
210.9,-897.624977459975,-2470.06899779495,-2628.65169033057
210.92,-897.624977459975,-2470.06899779495,-2628.68821445438
210.94,-897.793086416626,-2470.06899779495,-2628.73097860419
210.96,-897.819824108547,-2470.06899779495,-2628.77999212154
210.98,-897.908019564665,-2470.06899779495,-2628.88718406625
211,-898.007692851455,-2470.06899779495,-2628.99465071577
211.02,-898.061073346463,-2470.16219570583,-2629.16897299502
211.04,-898.126568563655,-2470.18717986285,-2629.32490449843
211.06,-898.126568563655,-2470.18717986285,-2629.35166150142
211.08,-898.126568563655,-2470.18717986285,-2629.48653037172
211.1,-898.126568563655,-2470.18717986285,-2629.78115025387
211.12,-898.126568563655,-2470.18717986285,-2630.01121089439
211.14,-898.126568563655,-2470.18717986285,-2630.08895414417
211.16,-898.126568563655,-2470.18717986285,-2630.18875410842
211.18,-898.126568563655,-2470.22835738424,-2630.27134220671
211.2,-898.126568563655,-2470.33229994968,-2630.32883736517
211.22,-898.126568563655,-2470.33229994968,-2630.39285792147
211.24,-898.126568563655,-2470.33229994968,-2630.41491671275
211.26,-898.126568563655,-2470.33229994968,-2630.44475437507
211.28,-898.126568563655,-2470.22835738424,-2630.54703719406
211.3,-898.126568563655,-2470.22835738424,-2630.66596148638
211.32,-898.061073346463,-2470.22835738424,-2630.75026153886
211.34,-898.007692851455,-2470.22835738424,-2630.75026153886
211.36,-897.908019564665,-2470.22835738424,-2630.75026153886
211.38,-897.819824108547,-2470.22835738424,-2630.75026153886
211.4,-897.793086416626,-2470.22835738424,-2630.75026153886
211.42,-897.624977459975,-2470.22835738424,-2630.66596148638
211.44,-897.624977459975,-2470.22835738424,-2630.66596148638
211.46,-897.624977459975,-2470.22835738424,-2630.66596148638
211.48,-897.624977459975,-2470.22835738424,-2630.66596148638
211.5,-897.624977459975,-2470.22835738424,-2630.66596148638
211.52,-897.793086416626,-2470.22835738424,-2630.66596148638
211.54,-897.819824108547,-2470.22835738424,-2630.66596148638
211.56,-897.908019564665,-2470.22835738424,-2630.66596148638
211.58,-898.026914645057,-2470.22835738424,-2630.66596148638
211.6,-898.126568563655,-2470.22835738424,-2630.66596148638
211.62,-898.154298199936,-2470.22835738424,-2630.66596148638
211.64,-898.154298199936,-2470.22835738424,-2630.66596148638
211.66,-898.154298199936,-2470.22835738424,-2630.66596148638
211.68,-898.154298199936,-2470.22835738424,-2630.66596148638
211.7,-898.154298199936,-2470.22835738424,-2630.66596148638
211.72,-898.202794113676,-2470.22835738424,-2630.66596148638
211.74,-898.259510698428,-2470.22835738424,-2630.66596148638
211.76,-898.259510698428,-2470.22835738424,-2630.66596148638
211.78,-898.229558571996,-2470.22835738424,-2630.66596148638
211.8,-898.154298199936,-2470.22835738424,-2630.66596148638
211.82,-898.108024776346,-2470.22835738424,-2630.66596148638
211.84,-898.094892371767,-2470.22835738424,-2630.66596148638
211.86,-898.094892371767,-2470.22835738424,-2630.66596148638
211.88,-898.013782240478,-2470.22835738424,-2630.66596148638
211.9,-897.908019564665,-2470.22835738424,-2630.66596148638
211.92,-897.925639321285,-2470.22835738424,-2630.66596148638
211.94,-898.013782240478,-2470.22835738424,-2630.66596148638
211.96,-898.013782240478,-2470.22835738424,-2630.66596148638
211.98,-898.013782240478,-2470.22835738424,-2630.66596148638
212,-898.013782240478,-2470.22835738424,-2630.66596148638
212.02,-898.013782240478,-2470.22835738424,-2630.66596148638
212.04,-898.013782240478,-2470.22835738424,-2630.66596148638
212.06,-898.013782240478,-2470.22835738424,-2630.66596148638
212.08,-898.013782240478,-2470.22835738424,-2630.66596148638
212.1,-897.925639321285,-2470.22835738424,-2630.66596148638
212.12,-897.860124735902,-2470.22835738424,-2630.54703719406
212.14,-897.832145242174,-2470.22835738424,-2630.54703719406
212.16,-897.805407550252,-2470.22835738424,-2630.54703719406
212.18,-897.717264631059,-2470.22835738424,-2630.54703719406
212.2,-897.645499666681,-2470.22835738424,-2630.54703719406
212.22,-897.645499666681,-2470.22835738424,-2630.54703719406
212.24,-897.645499666681,-2470.22835738424,-2630.54703719406
212.26,-897.645499666681,-2470.22835738424,-2630.54703719406
212.28,-897.645499666681,-2470.22835738424,-2630.54703719406
212.3,-897.645499666681,-2470.22835738424,-2630.54703719406
212.32,-897.645499666681,-2470.22835738424,-2630.54703719406
212.34,-897.645499666681,-2470.22835738424,-2630.54703719406
212.36,-897.645499666681,-2470.33229994968,-2630.54703719406
212.38,-897.645499666681,-2470.4484223626,-2630.54703719406
212.4,-897.645499666681,-2470.52542547661,-2630.44274380965
212.42,-897.645499666681,-2470.63268295184,-2630.39285792147
212.44,-897.645499666681,-2470.76094176042,-2630.21551457292
212.46,-897.645499666681,-2470.85475281542,-2630.21551457292
212.48,-897.645499666681,-2470.95279986715,-2630.21551457292
212.5,-897.645499666681,-2471.01857824462,-2630.21551457292
212.52,-897.645499666681,-2471.06408746224,-2630.21551457292
212.54,-897.645499666681,-2471.4320181383,-2630.21551457292
212.56,-897.506749452574,-2471.76653087182,-2629.59914093122
212.58,-897.251876825547,-2471.80575280792,-2628.8852756263
212.6,-897.135754412627,-2471.84958387697,-2628.34346125421
212.62,-897.094892371767,-2471.95270014002,-2628.01537341251
212.64,-897.009127119092,-2472.31551702599,-2627.94168418578
212.66,-896.857494357854,-2472.97434174147,-2627.62295980982
212.68,-896.698132237556,-2473.46981831732,-2626.93415515522
212.7,-896.582009824635,-2473.8533172708,-2626.48627490291
212.72,-896.402397569669,-2474.30366804288,-2626.3658435284
212.74,-896.211014784688,-2474.72906159857,-2626.27030021298
212.76,-896.018913204173,-2474.99272879006,-2626.23590188178
212.78,-895.889908244121,-2475.06876636514,-2626.18092445307
