k,t,x,y,z
3000,60,-738,-2128,-1691
3001,60.02,-737,-2128,-1689
3002,60.04,-735,-2127,-1689
3003,60.06,-735,-2126,-1689
3004,60.08,-736,-2127,-1688
3005,60.1,-736,-2128,-1689
3006,60.12,-736,-2128,-1690
3007,60.14,-737,-2128,-1690
3008,60.16,-738,-2128,-1690
3009,60.18,-738,-2128,-1690
3010,60.2,-738,-2127,-1690
3011,60.22,-738,-2127,-1689
3012,60.24,-737,-2127,-1688
3013,60.26,-737,-2126,-1689
3014,60.28,-738,-2127,-1690
3015,60.3,-738,-2127,-1690
3016,60.32,-738,-2126,-1690
3017,60.34,-738,-2126,-1691
3018,60.36,-738,-2127,-1691
3019,60.38,-738,-2128,-1690
3020,60.4,-738,-2128,-1690
3021,60.42,-737,-2128,-1690
3022,60.44,-737,-2128,-1689
3023,60.46,-738,-2128,-1689
3024,60.48,-737,-2128,-1690
3025,60.5,-737,-2128,-1690
3026,60.52,-738,-2127,-1690
3027,60.54,-738,-2126,-1690
3028,60.56,-738,-2126,-1689
3029,60.58,-738,-2127,-1689
3030,60.6,-738,-2128,-1690
3031,60.62,-738,-2128,-1690
3032,60.64,-738,-2128,-1690
3033,60.66,-737,-2128,-1690
3034,60.68,-736,-2128,-1689
3035,60.7,-736,-2126,-1691
3036,60.72,-739,-2127,-1694
3037,60.74,-739,-2128,-1690
3038,60.76,-734,-2126,-1684
3039,60.78,-734,-2127,-1685
3040,60.8,-736,-2128,-1688
3041,60.82,-736,-2128,-1687
3042,60.84,-737,-2128,-1686
3043,60.86,-738,-2128,-1687
3044,60.88,-738,-2127.5,-1687.25
3045,60.9,-738,-2127,-1687.5
3046,60.92,-738,-2126.5,-1687.75
3047,60.94,-738,-2126,-1688
3048,60.96,-738,-2126,-1688
3049,60.98,-737,-2126,-1688
3050,61,-737,-2126,-1688
3051,61.02,-738,-2127,-1689
3052,61.04,-738,-2127,-1690
3053,61.06,-738,-2127,-1689
3054,61.08,-737,-2128,-1687
3055,61.1,-736,-2128,-1685
3056,61.12,-736,-2128,-1684
3057,61.14,-736,-2128,-1684
3058,61.16,-736,-2128,-1684
3059,61.18,-735,-2128,-1684
3060,61.2,-734,-2127,-1685
3061,61.22,-735,-2125,-1692
3062,61.24,-738,-2129,-1692
3063,61.26,-738,-2132,-1684
3064,61.28,-736,-2128,-1684
3065,61.3,-736,-2127,-1687
3066,61.32,-736,-2129,-1687
3067,61.34,-735,-2129,-1686
3068,61.36,-735,-2128,-1686
3069,61.38,-736,-2127,-1686
3070,61.4,-737,-2127,-1686
3071,61.42,-738,-2129,-1687
3072,61.44,-738,-2130,-1687
3073,61.46,-737,-2130,-1687
3074,61.48,-736,-2130,-1687
3075,61.5,-736,-2130,-1686
3076,61.52,-736,-2129,-1685
3077,61.54,-736,-2128,-1685
3078,61.56,-736,-2127,-1686
3079,61.58,-736,-2126,-1686
3080,61.6,-736,-2126,-1686
3081,61.62,-736,-2126,-1686
3082,61.64,-737,-2126,-1686
3083,61.66,-738,-2127,-1687
3084,61.68,-739,-2127,-1689
3085,61.7,-740,-2127,-1689
3086,61.72,-739,-2128,-1687
3087,61.74,-739,-2127,-1687
3088,61.76,-740,-2127,-1687
3089,61.78,-739,-2128,-1685
3090,61.8,-738,-2127,-1686
3091,61.82,-738,-2127,-1688
3092,61.84,-738,-2127,-1689
3093,61.86,-737,-2126,-1691
3094,61.88,-735,-2126,-1691
3095,61.9,-734,-2126,-1690
3096,61.92,-734,-2127,-1689
3097,61.94,-735,-2128,-1688
3098,61.96,-736,-2129,-1688
3099,61.98,-736,-2129,-1687
3100,62,-736,-2128,-1687
3101,62.02,-736,-2128,-1688
3102,62.04,-736,-2127,-1688
3103,62.06,-736,-2126,-1687
3104,62.08,-736,-2126,-1687
3105,62.1,-736,-2126,-1687
3106,62.12,-736,-2127,-1686
3107,62.14,-737,-2128,-1686
3108,62.16,-738,-2129,-1687
3109,62.18,-738,-2130,-1688
3110,62.2,-738,-2129,-1688
3111,62.22,-738,-2128,-1688
3112,62.24,-737,-2128,-1688
3113,62.26,-736,-2128,-1688
3114,62.28,-736,-2128,-1688
3115,62.3,-736,-2129,-1688
3116,62.32,-736,-2130,-1688
3117,62.34,-736,-2130,-1688
3118,62.36,-735,-2130,-1689
3119,62.38,-735,-2130,-1690
3120,62.4,-736,-2129,-1690
3121,62.42,-736,-2127,-1689
3122,62.44,-737,-2126,-1688
3123,62.46,-738,-2126,-1688
3124,62.48,-738,-2126,-1688
3125,62.5,-738,-2126,-1688
3126,62.52,-738,-2127,-1689
3127,62.54,-738,-2129,-1690
3128,62.56,-738,-2129,-1690
3129,62.58,-738,-2128,-1689
3130,62.6,-738,-2127,-1689
3131,62.62,-738,-2126,-1690
3132,62.64,-737,-2125,-1689
3133,62.66,-736,-2124,-1688
3134,62.68,-736,-2125,-1687
3135,62.7,-736,-2126,-1686
3136,62.72,-735,-2127,-1687
3137,62.74,-735,-2128,-1689
3138,62.76,-736,-2128,-1690
3139,62.78,-736,-2128,-1691
3140,62.8,-736,-2128,-1691
3141,62.82,-737,-2128,-1689
3142,62.84,-737,-2128,-1687
3143,62.86,-737,-2128,-1687
3144,62.88,-737,-2128,-1687
3145,62.9,-736,-2128,-1686
3146,62.92,-737,-2127,-1686
3147,62.94,-738,-2126,-1686
3148,62.96,-738,-2126,-1686
3149,62.98,-737,-2126,-1687
3150,63,-737,-2126,-1689
3151,63.02,-737,-2126,-1689
3152,63.04,-736,-2126,-1688
3153,63.06,-735,-2127,-1687
3154,63.08,-735,-2128,-1686
3155,63.1,-736,-2128,-1686
3156,63.12,-736,-2129,-1687
3157,63.14,-736,-2129,-1689
3158,63.16,-736,-2128,-1691
3159,63.18,-736,-2128,-1692
3160,63.2,-737,-2128,-1691
3161,63.22,-737,-2128,-1689
3162,63.24,-737,-2128,-1688
3163,63.26,-738,-2128,-1688
3164,63.28,-738,-2128,-1687
3165,63.3,-738,-2127,-1686
3166,63.32,-739,-2126,-1687
3167,63.34,-740,-2126,-1688
3168,63.36,-740,-2126,-1688
3169,63.38,-740,-2126,-1687
3170,63.4,-740,-2126,-1686
3171,63.42,-740,-2127,-1686
3172,63.44,-740,-2127,-1687
3173,63.46,-739,-2126,-1687
3174,63.48,-738,-2126,-1686
3175,63.5,-737,-2126,-1685
3176,63.52,-736,-2125,-1684
3177,63.54,-736,-2125,-1685
3178,63.56,-736,-2126,-1686
3179,63.58,-736,-2125,-1686
3180,63.6,-737,-2125,-1687
3181,63.62,-738,-2126,-1687
3182,63.64,-739,-2126,-1687
3183,63.66,-739,-2126,-1688
3184,63.68,-738,-2126,-1688
3185,63.7,-738,-2126,-1688
3186,63.72,-738,-2125,-1687
3187,63.74,-738,-2124,-1686
3188,63.76,-738,-2124,-1686
3189,63.78,-738,-2125,-1687
3190,63.8,-738,-2126,-1688
3191,63.82,-738,-2126,-1688
3192,63.84,-738,-2127,-1687
3193,63.86,-738,-2127,-1686
3194,63.88,-738,-2126,-1686
3195,63.9,-738,-2126,-1685
3196,63.92,-737,-2126,-1684
3197,63.94,-736,-2128,-1689
3198,63.96,-736,-2132,-1694
3199,63.98,-738,-2130,-1692
3200,64,-736,-2128,-1688
3201,64.02,-734,-2129,-1688
3202,64.04,-736,-2128,-1690
3203,64.06,-737,-2127,-1690
3204,64.08,-738,-2126,-1689
3205,64.1,-738,-2126,-1688
3206,64.12,-738,-2126,-1688
3207,64.14,-738,-2126,-1687
3208,64.16,-737,-2126,-1685
3209,64.18,-737,-2126,-1684
3210,64.2,-738,-2127,-1685
3211,64.22,-738,-2128,-1686
3212,64.24,-739,-2127,-1687
3213,64.26,-739,-2126,-1687
3214,64.28,-738,-2126,-1687
3215,64.3,-738,-2127,-1687
3216,64.32,-737,-2128,-1686
3217,64.34,-736,-2128,-1686
3218,64.36,-736,-2128,-1686
3219,64.38,-735,-2128,-1686
3220,64.4,-734,-2127,-1687
3221,64.42,-734,-2126,-1688
3222,64.44,-734,-2126,-1688
3223,64.46,-734,-2126,-1688
3224,64.48,-737,-2126,-1685
3225,64.5,-740,-2126,-1684
3226,64.52,-738,-2126,-1686
3227,64.54,-736,-2123,-1688
3228,64.56,-737,-2123,-1688
3229,64.58,-738,-2126,-1686
3230,64.6,-738,-2126,-1686
3231,64.62,-738,-2127,-1686
3232,64.64,-738,-2128,-1686
3233,64.66,-738,-2128,-1686
3234,64.68,-738,-2128,-1686
3235,64.7,-738,-2128,-1686
3236,64.72,-738,-2128,-1686
3237,64.74,-738,-2127,-1687
3238,64.76,-738,-2126,-1688
3239,64.78,-739,-2126,-1688
3240,64.8,-739,-2126,-1687
3241,64.82,-738,-2126,-1686
3242,64.84,-738,-2126,-1686
3243,64.86,-738,-2126,-1685
3244,64.88,-738.5,-2126.25,-1685
3245,64.9,-739,-2126.5,-1685
3246,64.92,-739.5,-2126.75,-1685
3247,64.94,-740,-2127,-1685
3248,64.96,-741,-2125,-1682
3249,64.98,-741,-2125,-1686
3250,65,-736,-2128,-1692
3251,65.02,-734,-2128,-1689
3252,65.04,-736,-2126,-1685
3253,65.06,-736,-2126,-1686
3254,65.08,-735,-2127,-1686
3255,65.1,-735,-2128,-1686
3256,65.12,-736,-2128,-1687
3257,65.14,-736,-2128,-1688
3258,65.16,-736,-2128,-1687
3259,65.18,-736,-2128,-1687
3260,65.2,-736,-2128,-1688
3261,65.22,-736,-2128,-1687
3262,65.24,-736,-2128,-1686
3263,65.26,-736,-2127,-1686
3264,65.28,-736,-2126,-1686
3265,65.3,-735,-2126,-1687
3266,65.32,-734,-2126,-1688
3267,65.34,-734,-2126,-1689
3268,65.36,-735,-2127,-1689
3269,65.38,-737,-2128,-1688
3270,65.4,-738,-2128,-1687
3271,65.42,-738,-2128,-1686
3272,65.44,-738,-2127,-1686
3273,65.46,-738,-2127,-1687
3274,65.48,-737,-2128,-1688
3275,65.5,-736,-2128,-1687
3276,65.52,-736,-2127,-1686
3277,65.54,-736,-2126,-1687
3278,65.56,-737,-2125,-1687
3279,65.58,-738,-2124,-1686
3280,65.6,-737,-2124,-1687
3281,65.62,-736,-2125,-1687
3282,65.64,-736,-2125,-1686
3283,65.66,-736,-2124,-1687
3284,65.68,-737,-2124,-1687
3285,65.7,-738,-2125,-1687
3286,65.72,-737,-2126,-1687
3287,65.74,-736,-2126,-1686
3288,65.76,-736,-2126,-1686
3289,65.78,-735,-2126,-1686
3290,65.8,-735,-2126,-1686
3291,65.82,-736,-2126,-1686
3292,65.84,-737,-2127,-1686
3293,65.86,-737,-2128,-1686
3294,65.88,-736,-2127,-1686
3295,65.9,-736,-2126,-1686
3296,65.92,-736,-2125,-1686
3297,65.94,-736,-2125,-1686
3298,65.96,-737,-2126,-1687
3299,65.98,-738,-2126,-1688
3300,66,-738,-2126,-1688
3301,66.02,-737,-2126,-1688
3302,66.04,-737,-2126,-1688
3303,66.06,-737,-2125,-1688
3304,66.08,-736,-2125,-1687
3305,66.1,-736,-2126,-1686
3306,66.12,-736,-2127,-1686
3307,66.14,-736,-2128,-1686
3308,66.16,-736,-2128,-1685
3309,66.18,-736,-2128,-1686
3310,66.2,-736,-2127,-1687
3311,66.22,-736,-2126,-1687
3312,66.24,-736,-2126,-1688
3313,66.26,-737,-2127,-1688
3314,66.28,-738,-2128,-1687
3315,66.3,-738,-2128,-1686
3316,66.32,-737,-2128,-1686
3317,66.34,-735,-2128,-1685
3318,66.36,-735,-2128,-1685
3319,66.38,-735,-2128,-1686
3320,66.4,-735,-2127,-1686
3321,66.42,-737,-2126,-1686
3322,66.44,-738,-2126,-1687
3323,66.46,-738,-2126,-1687
3324,66.48,-738,-2126,-1685
3325,66.5,-737,-2126,-1685
3326,66.52,-736,-2125,-1686
3327,66.54,-736,-2124,-1686
3328,66.56,-736,-2125,-1686
3329,66.58,-741,-2126,-1688
3330,66.6,-744,-2125,-1686
3331,66.62,-741,-2125,-1688
3332,66.64,-738,-2126,-1690
3333,66.66,-737,-2126,-1687
3334,66.68,-738,-2126,-1688
3335,66.7,-738,-2126,-1688
3336,66.72,-737,-2126,-1687
3337,66.74,-737,-2126,-1686
3338,66.76,-738,-2126,-1686
3339,66.78,-737,-2127,-1686
3340,66.8,-737,-2128,-1687
3341,66.82,-738,-2128,-1688
3342,66.84,-737,-2129,-1687
3343,66.86,-738,-2125,-1686
3344,66.88,-738,-2122,-1686
3345,66.9,-736,-2127,-1688
3346,66.92,-736,-2132,-1692
3347,66.94,-738,-2132,-1690
3348,66.96,-736,-2130,-1690
3349,66.98,-734,-2130,-1692
3350,67,-737,-2130,-1689
3351,67.02,-738,-2129,-1688
3352,67.04,-737,-2127,-1688
3353,67.06,-736,-2126,-1688
3354,67.08,-736,-2126,-1689
3355,67.1,-736,-2128,-1690
3356,67.12,-736,-2130,-1690
3357,67.14,-736,-2128,-1690
3358,67.16,-738,-2128,-1688
3359,67.18,-738,-2128,-1688
3360,67.2,-736,-2126,-1690
3361,67.22,-735,-2126,-1689
3362,67.24,-734,-2126,-1689
3363,67.26,-734,-2126,-1690
3364,67.28,-735,-2126,-1690
3365,67.3,-736,-2126,-1690
3366,67.32,-737,-2127,-1690
3367,67.34,-738,-2128,-1690
3368,67.36,-739,-2127,-1690
3369,67.38,-741,-2123,-1688
3370,67.4,-740,-2125,-1690
3371,67.42,-738,-2126,-1690
3372,67.44,-738,-2125,-1689
3373,67.46,-738,-2125,-1688
3374,67.48,-737,-2126,-1688
3375,67.5,-737,-2126,-1687
3376,67.52,-737,-2127,-1687
3377,67.54,-737,-2128,-1688
3378,67.56,-737,-2128,-1688
3379,67.58,-737,-2128,-1689
3380,67.6,-737,-2128,-1689
3381,67.62,-736,-2128,-1687
3382,67.64,-736,-2127,-1687
3383,67.66,-736,-2126,-1688
3384,67.68,-737,-2127,-1689
3385,67.7,-737,-2128,-1689
3386,67.72,-736,-2128,-1689
3387,67.74,-737,-2128,-1689
3388,67.76,-738,-2128,-1688
3389,67.78,-737,-2128,-1689
3390,67.8,-736,-2127,-1690
3391,67.82,-736,-2127,-1690
3392,67.84,-735,-2127,-1691
3393,67.86,-735,-2126,-1691
3394,67.88,-735,-2126,-1690
3395,67.9,-735,-2126,-1689
3396,67.92,-736,-2126,-1688
3397,67.94,-736,-2127,-1687
3398,67.96,-737,-2128,-1686
3399,67.98,-737,-2128,-1687
3400,68,-736,-2128,-1688
3401,68.02,-736,-2127,-1689
3402,68.04,-736,-2126,-1689
3403,68.06,-736,-2125,-1688
3404,68.08,-734,-2125,-1687
3405,68.1,-736,-2128,-1686
3406,68.12,-740,-2127,-1686
3407,68.14,-738,-2127,-1690
3408,68.16,-737,-2128,-1692
3409,68.18,-738,-2126,-1690
3410,68.2,-738,-2126,-1690
3411,68.22,-737,-2127,-1690
3412,68.24,-736,-2128,-1689
3413,68.26,-736,-2127,-1687
3414,68.28,-736,-2126,-1686
3415,68.3,-736,-2126,-1686
3416,68.32,-736,-2126,-1687
3417,68.34,-736,-2126,-1688
3418,68.36,-736,-2126,-1688
3419,68.38,-737,-2126,-1688
3420,68.4,-738,-2126,-1688
3421,68.42,-738,-2126,-1687
3422,68.44,-738,-2126,-1687
3423,68.46,-738,-2127,-1689
3424,68.48,-737,-2127,-1689
3425,68.5,-737,-2126,-1688
3426,68.52,-738,-2126,-1688
3427,68.54,-738,-2126,-1688
3428,68.56,-737,-2126,-1688
3429,68.58,-736,-2126,-1688
3430,68.6,-735,-2126,-1688
3431,68.62,-734,-2125,-1688
