k,t,x,y,z
0,0.0,-757.0372043922276,-1149.946148717961,-2465.089845588077
1,0.00569620253164557,-755.8907705858933,-1149.0038691690013,-2463.9450304081065
2,0.01139240506329114,-754.8164624999549,-1148.0600708198333,-2462.849428357976
3,0.01708860759493671,-754.2052145367624,-1147.5620817180816,-2462.0689001431138
4,0.02278481012658228,-753.8251765109592,-1147.2462669551098,-2461.5729683896657
5,0.028481012658227847,-753.3308328171156,-1146.98516547294,-2461.0765848943656
6,0.03417721518987342,-752.5971619264337,-1146.8211537650589,-2460.762116638128
7,0.039873417721518985,-751.8761524507605,-1146.6642596719362,-2460.4453127904094
8,0.04556962025316456,-751.2962434177508,-1146.4886471221653,-2459.7460821736936
9,0.05126582278481013,-750.7386974234483,-1146.295079450984,-2459.0101041423063
10,0.056962025316455694,-750.3620872862075,-1146.0909722634226,-2458.6595461645566
11,0.06265822784810127,-749.9765337846153,-1145.8666271411348,-2458.485151386243
12,0.06835443037974684,-749.3928042608487,-1145.3549204707372,-2457.996472552461
13,0.07405063291139241,-748.4911770386157,-1144.5243936083414,-2456.8398115725413
14,0.07974683544303797,-747.605043968913,-1143.7469489142616,-2455.83106525662
15,0.08544303797468354,-747.5440055431815,-1143.85837191723,-2455.244627594461
16,0.09113924050632911,-747.5158951029089,-1144.0653638665212,-2454.635720731964
17,0.09683544303797469,-747.2681459003808,-1143.7801608074676,-2453.9293475023173
18,0.10253164556962026,-746.8643594054548,-1143.2574588689156,-2453.24600389452
19,0.10822784810126582,-746.4766854761193,-1142.7476456712525,-2452.499793843143
20,0.11392405063291139,-746.0708570647632,-1142.280261162642,-2451.412672004303
21,0.11962025316455696,-745.5072543177887,-1141.7682879798551,-2450.3851867998305
22,0.12531645569620253,-743.602300610016,-1140.4108145085172,-2449.16490397698
23,0.1310126582278481,-741.7269022290375,-1139.1027669919456,-2447.9108269709714
24,0.13670886075949368,-740.603326457385,-1137.9845890615093,-2446.7941199833726
25,0.14240506329113925,-739.6819958975029,-1136.7867567511018,-2445.7287524862268
26,0.14810126582278482,-738.7960702082557,-1135.9749923822692,-2445.0690710903536
27,0.15379746835443037,-738.0403741394331,-1135.677648316129,-2444.79193550636
28,0.15949367088607594,-737.3027228863231,-1135.3125909279481,-2444.529742572942
29,0.1651898734177215,-736.5949579721204,-1134.659734651665,-2444.0830980290125
30,0.17088607594936708,-735.8581150586083,-1133.929679486528,-2443.5762296522817
31,0.17658227848101266,-735.2695490114318,-1133.0403799330393,-2442.8502258704284
32,0.18227848101265823,-734.702436613767,-1132.067977031654,-2442.088285179362
33,0.1879746835443038,-734.2109020653675,-1131.3196390112216,-2441.486117539615
34,0.19367088607594937,-733.8218821746095,-1130.8873640244042,-2441.0290974883237
35,0.19936708860759494,-733.5322073167995,-1130.4125266151284,-2440.5479165560987
36,0.20506329113924052,-733.5589523132621,-1130.0994883052138,-2440.154207609317
37,0.2107594936708861,-733.5785871201394,-1129.8112405154998,-2439.662612934726
38,0.21645569620253163,-734.0575057449462,-1130.4240989894402,-2439.4951889289036
39,0.2221518987341772,-734.6046192529051,-1131.3332038097785,-2439.2809183375925
40,0.22784810126582278,-734.3612060326404,-1131.4298240296832,-2438.8780638015833
41,0.23354430379746835,-733.3769634434587,-1130.7673201040589,-2438.337110088023
42,0.23924050632911392,-732.5697380841382,-1130.1732196232542,-2437.793138043835
43,0.2449367088607595,-732.2100806059366,-1129.816044563296,-2437.6212485274164
44,0.25063291139240507,-731.8279214011283,-1129.549233005252,-2437.374071583265
45,0.2563291139240506,-730.6336423810703,-1128.7426563610138,-2436.3323435446
46,0.2620253164556962,-729.2824254157935,-1127.8970385253656,-2435.2138250026387
47,0.26772151898734176,-728.6398499446072,-1127.3825958298248,-2434.651769820001
48,0.27341772151898736,-728.6991641997962,-1127.0522164116478,-2434.620656345709
49,0.2791139240506329,-728.6774299289243,-1126.8638201837275,-2434.5795031247394
50,0.2848101265822785,-728.4905274555394,-1127.231687609994,-2434.2631764881653
51,0.29050632911392404,-728.3157847219323,-1127.5828230294571,-2433.962105121793
52,0.29620253164556964,-728.28484917113,-1127.608351395044,-2433.551175907838
53,0.3018987341772152,-728.2548253582765,-1127.5878395116508,-2433.182284039959
54,0.30759493670886073,-728.502988069425,-1127.9398662443105,-2433.117973677779
55,0.31329113924050633,-728.8735033242161,-1128.4166480861802,-2433.3609237071373
56,0.3189873417721519,-728.9095590713221,-1128.6056546489863,-2433.253188468901
57,0.3246835443037975,-727.9403555416354,-1127.928837477383,-2432.31687121607
58,0.330379746835443,-726.9497343881459,-1127.2220424590355,-2431.3209233880652
59,0.3360759493670886,-726.4204664997595,-1126.7171262356928,-2431.0277149303824
60,0.34177215189873417,-725.8124867308255,-1126.1781589301686,-2430.825244342454
61,0.34746835443037977,-725.109434642433,-1125.4577968872145,-2430.295389843484
62,0.3531645569620253,-724.3832875819433,-1124.5774693815217,-2429.7066291462515
63,0.3588607594936709,-723.2375687704937,-1123.5082937979735,-2428.98468934704
64,0.36455696202531646,-721.2926978541085,-1121.9932854399715,-2428.0298672224153
65,0.370253164556962,-719.4487613651995,-1120.474608056626,-2427.0940214012544
66,0.3759493670886076,-719.0335619114026,-1119.7712408671835,-2426.927500622101
67,0.38164556962025314,-718.7491352663724,-1119.124329646518,-2426.730191687878
68,0.38734177215189874,-718.1177797997026,-1118.534420765962,-2426.378945759498
69,0.3930379746835443,-717.4352310649858,-1118.041182836186,-2425.9094265470453
70,0.3987341772151899,-716.9397990965402,-1117.6664938071633,-2425.6137267675167
71,0.40443037974683543,-716.7279915913981,-1117.5714039168727,-2425.645134688293
72,0.41012658227848103,-716.5894624760372,-1117.4430335323157,-2425.715670285565
73,0.4158227848101266,-716.2876884462534,-1117.1450716221884,-2425.2442040050696
74,0.4215189873417722,-715.8088084306202,-1116.877145793182,-2424.757876143736
75,0.4272151898734177,-715.435231613331,-1116.5715554947938,-2424.4407017003327
76,0.43291139240506327,-715.0136862067412,-1116.2288081005652,-2424.1835445117167
77,0.43860759493670887,-715.0439078793704,-1116.0298988600828,-2423.9273061916106
78,0.4443037974683544,-715.7538988280113,-1116.0863922162382,-2423.8650299896954
79,0.45,-716.4970789032093,-1116.2134911456349,-2423.8293618895377
80,0.4501780626780627,-698.9038094882167,-1116.714490596969,-2389.6616046505264
81,0.45035612535612535,-529.9269141554681,-1096.3947202018708,-2348.3790418304793
82,0.45053418803418804,-512.4722946223336,-1097.0550686242336,-2300.3868108120378
83,0.45071225071225074,-488.65610024063545,-1106.7593165075057,-2349.3412309137816
84,0.4508903133903134,-477.4715083800408,-1102.3099817391405,-2304.4506495904757
85,0.4510683760683761,-366.1232412903888,-1073.9792439401845,-2303.1224682020174
86,0.45124643874643877,-416.59595549998295,-1066.9741457454872,-2311.463527739874
87,0.4514245014245014,-416.72872304196693,-1059.1288740509417,-2346.372880357309
88,0.4516025641025641,-416.83744632443853,-1082.2378316087115,-2349.688804992309
89,0.4517806267806268,-245.22157376794038,-1131.4887024966413,-2358.915683118825
90,0.45195868945868944,-223.75315637572373,-1019.7604122686594,-2159.0706008352404
91,0.45213675213675214,-418.4073567813938,-1113.192192015989,-2375.3560820781327
