k_start,k_end,t_start_sec,alpha,lib_id
34,91,0.652528600283761,0.354613492993113,222
214,287,4.26772445264189,0.324086242721867,231
237,313,4.72835839176443,0.422631958583942,1
377,445,7.52160375012429,0.153999959641973,52
476,568,9.50999586412294,0.408013464536114,103
688,780,13.7426890831319,0.245371834054996,83
978,1054,19.54773599328,0.2842722800562,79
1065,1146,21.2852567912094,0.335370992933942,184
1298,1366,25.9477877291525,0.252371180787413,52
1462,1543,29.2243244289547,0.367975175399833,120
1848,1931,36.9394355139025,0.331000200807956,224
1849,1911,36.9685313261439,0.443835286671398,88
1877,1940,37.5252809199295,0.413173678250411,40
1948,2044,38.946545201334,0.434206382291956,93
1951,2004,39.0055264570275,0.265043468859747,42
1965,2034,39.2876720210607,0.42003620591531,16
1969,2053,39.3536484546122,0.325179441682941,32
1970,2060,39.3732949816109,0.435805669192805,55
1992,2072,39.8118017791548,0.286885645491707,164
2010,2086,40.182377291855,0.183959076000147,8
2011,2078,40.2047493847404,0.287678196512186,156
2043,2122,40.838641949051,0.340565451950916,181
2049,2128,40.9696144165113,0.159741674576782,11
2058,2120,41.1458667536995,0.320582692315773,68
2058,2111,41.1459015075826,0.29175136507938,46
2059,2136,41.1512673544893,0.273987000282105,179
2059,2147,41.1692565477069,0.289303813853502,25
2062,2145,41.2136772408911,0.441647631495898,163
2064,2167,41.2572775520374,0.384196672184017,226
2073,2156,41.4389854558301,0.345276948868018,189
2081,2165,41.6082760294011,0.226271034959779,77
2084,2156,41.6599969353196,0.261680181026185,150
2096,2172,41.9096637020846,0.335097575384849,118
2122,2286,42.4287088127702,0.224838567049535,20
2123,2189,42.4447318908359,0.213515745804604,30
2127,2210,42.5272621459981,0.357551398794024,224
2162,2232,43.2202256166189,0.413098260016286,96
2189,2269,43.7558886300458,0.353203490758831,51
2193,2271,43.8456353360806,0.261612365656594,191
2228,2301,44.5477871695415,0.256716652838284,82
2343,2405,46.8424734713481,0.188938227554998,97
2400,2481,47.9749616332422,0.430613287375681,113
2400,2545,47.9873142563141,0.3599614896186,151
2403,2506,48.0410721290507,0.449859180901932,90
2422,2480,48.4103416891736,0.315931543758411,192
2467,2549,49.3205040784506,0.295574140385711,98
2508,2578,50.1459616498802,0.437162583314606,119
2569,2645,51.3590773111331,0.394664198554171,238
2576,2684,51.5089316589011,0.431047164561386,218
2609,2717,52.1619835509065,0.158798902864684,218
2628,2687,52.5395080426524,0.327563278539901,139
2652,2735,53.0273435039888,0.345871062452173,22
2688,2768,53.7416970287768,0.359716581919804,130
2708,2778,54.1340564930323,0.344685313183612,119
2748,2829,54.9360602405707,0.247408173449504,184
2748,2821,54.9479815869648,0.165357288128953,175
2773,2864,55.4453611460452,0.368301031799225,123
2783,2835,55.6326610129204,0.166021541946266,176
2856,2947,57.0925202989773,0.171827489519189,81
2885,2988,57.686406638027,0.372915451504644,226
3226,3303,64.5097883787391,0.444237304482252,179
3228,3311,64.5300717124279,0.401346928911695,224
3249,3320,64.9544721202072,0.297950581847913,86
3252,3323,65.0118925056506,0.377823299098814,13
3379,3437,67.56302366956,0.300275173431517,127
3380,3461,67.5784104933808,0.307737066058979,244
3382,3435,67.6187474279684,0.180748317154501,237
3383,3469,67.632114483089,0.177565472608512,208
3408,3481,68.1347695348081,0.324174439019419,212
3408,3469,68.1473591515652,0.19862775392971,23
3417,3501,68.3150473599222,0.375047214218861,121
3464,3548,69.2544270053576,0.409870450618236,108
3472,3556,69.4218059294344,0.244576883359424,187
3495,3559,69.8889204459513,0.317665820413889,239
3500,3580,69.9899729946199,0.347003091554362,130
3640,3723,72.7860155149888,0.25273883033268,149
3721,3793,74.3937934615246,0.222311023073558,85
3735,3810,74.6796361706513,0.390874754872244,80
4114,4189,82.2500465476086,0.329772646260901,9
4546,4619,90.9058626696876,0.380101664165112,110
4554,4626,91.0557314975152,0.362710670517201,58
4560,4646,91.1899735177638,0.442282186817099,208
4564,4637,91.2600272688268,0.358214164555571,154
4581,4668,91.5944719918012,0.20383458603951,3
4642,4695,92.8124743432118,0.430147159386537,125
4720,4789,94.3881363196117,0.312044030981935,195
4728,4795,94.5361352965392,0.320763528655956,31
4843,4931,96.8358661008307,0.31242469094708,25
5513,5566,110.242899565479,0.430922451492864,46
5561,5626,111.205334949018,0.316023723354905,56
5605,5683,112.087859381032,0.341543593532796,214
5699,5790,113.955930858251,0.376546318043981,170
5830,5908,116.575023425355,0.314708136533548,214
5835,5929,116.674622754457,0.357726350933415,201
5835,5914,116.676481975414,0.205524282740818,70
5843,5922,116.84561530125,0.434530828250365,220
5864,5925,117.268372755518,0.187907422582515,24
5873,5938,117.446593719983,0.362842747680162,12
5875,5958,117.477124210451,0.22045696843506,149
5920,6003,118.389526546924,0.33358346709485,163
5926,6012,118.504226639776,0.409909696468963,18
5930,6013,118.587223175508,0.277447011412044,149
5949,6052,118.95729621095,0.408950732035873,226
6034,6143,120.65291399846,0.274826545017347,73
6058,6133,121.13210613663,0.415885557725496,148
6078,6155,121.542138402636,0.269386971985854,101
6084,6146,121.651232829908,0.270405830592999,68
6086,6148,121.709814367972,0.151091166781959,69
6092,6155,121.818219382753,0.298626456948732,152
6099,6178,121.95851741753,0.321035270736322,112
6107,6169,122.129074233432,0.440957981990673,88
6206,6288,124.109073503484,0.443535952392401,241
6879,6949,137.562116623066,0.267544981267435,104
6905,7014,138.083761644032,0.257520390951127,73
6958,7020,139.131797038989,0.347798223038043,68
6961,7044,139.203726782095,0.264959565228002,189
7005,7064,140.082370880246,0.163681200600399,139
7065,7141,141.276569043804,0.299452072937837,1
7067,7145,141.329475462023,0.331836048627469,41
7078,7168,141.546303073684,0.325645658513287,105
7081,7155,141.598192407834,0.437731115196772,72
7082,7162,141.613550614698,0.376277681844851,27
7118,7196,142.338904273736,0.170832765662734,15
7124,7202,142.458427338778,0.401281339401458,185
7133,7211,142.638359325158,0.372384774332527,15
7150,7211,142.977990318724,0.273798552271787,61
7182,7258,143.611085656724,0.36777984511338,71
7185,7275,143.681526838619,0.245901861059981,95
7189,7241,143.764045256127,0.348213229837655,33
7202,7286,144.027575502986,0.381872601363556,121
7232,7312,144.610950989221,0.18030024741733,164
7241,7336,144.79615391907,0.366080904928427,227
7253,7320,145.03293564694,0.188057564540762,4
7274,7344,145.459822128568,0.358612392869309,104
7297,7372,145.911972014636,0.362004773529816,243
7322,7386,146.421867449273,0.382690443921579,239
7338,7409,146.746149126202,0.22507345070929,6
7370,7439,147.384494131825,0.445285009560371,153
7376,7456,147.4920986335,0.357420621104556,51
7769,7848,155.357699047494,0.293446497991294,112
7867,7957,157.319445646594,0.320590667046938,95
7957,8018,159.12426154737,0.402290924149729,225
7971,8050,159.393062492611,0.393931118904762,209
7976,8048,159.506183510384,0.314489625399496,14
7998,8071,159.945400173764,0.368076032719814,116
8043,8146,160.842651930249,0.449672364505624,2
8101,8176,161.990242952498,0.237781066329771,122
8117,8311,162.315146846948,0.406153898279734,53
8197,8278,163.926636717127,0.373682159716339,162
8433,8486,168.649660066083,0.356893860125073,237
8478,8555,169.531006806858,0.317412136716683,66
8486,8550,169.69376437425,0.400838819963114,17
8494,8589,169.86964377624,0.367753912168709,157
8504,8603,170.06872867374,0.390303247811442,146
8514,8567,170.262909033006,0.244171198605753,237
8534,8617,170.661645285076,0.271692565084531,224
8540,8685,170.788586805654,0.415808524528372,151
8553,8641,171.047526405167,0.310740071460851,25
8578,8658,171.538242789806,0.232088464429336,164
8585,8663,171.67043663347,0.3718087309532,41
8621,8724,172.391233935293,0.285033047444495,59
8628,8692,172.539557368604,0.281904448438608,17
8641,8716,172.805614409243,0.338150595133593,160
8680,8780,173.583538337292,0.284452295968209,203
8684,8760,173.659710994818,0.287427818431122,118
8687,8749,173.726339635675,0.17359867930257,69
8738,8803,174.745016753654,0.369325268920717,100
8743,8868,174.830779947772,0.322096597780643,228
8755,8839,175.085709949661,0.297487840447679,108
8773,8837,175.447261654169,0.447443923613428,5
9117,9179,182.32518102121,0.30623105121144,97
9368,9456,187.345043650241,0.293542664972107,147
9384,9459,187.653582264297,0.220637335567325,243
9625,9720,192.473630241815,0.160959074729874,227
9867,9919,197.324397575238,0.211004421222117,176
9884,9956,197.650131662953,0.226122225643404,58
9920,10011,198.387189312125,0.330334405344479,197
9923,9986,198.446301267311,0.170811897458516,62
9949,10024,198.963413332245,0.292753176639798,122
9954,10020,199.065846653972,0.240981387246105,143
9977,10046,199.521441401948,0.289780740467112,195
9998,10085,199.934665281116,0.172277960874317,207
10020,10085,200.371485163818,0.259176020564104,114
10024,10103,200.451428167247,0.337294974445779,128
10049,10111,200.959051586522,0.231289012457706,68
10087,10168,201.723418911521,0.192088642311059,234
10094,10150,201.854037333404,0.311398714099624,173
10096,10175,201.900325256685,0.213296608565889,183
10318,10393,206.345954715339,0.187785332378136,21
10335,10408,206.688897155599,0.440667691939462,110
10371,10444,207.390467975733,0.330045782341971,75
10378,10444,207.538248755417,0.28905691401829,30
10386,10444,207.702387081749,0.301888803360742,127
10433,10499,208.64824697201,0.229303736246954,177
10438,10506,208.730364324718,0.273944027300008,52
10444,10547,208.867474240505,0.329577798352035,226
10495,10564,209.872153193259,0.229125050157651,213
10510,10585,210.189168848924,0.152075150161446,160
10530,10611,210.574328736392,0.27386967746965,233
10559,10640,211.15134151509,0.360716812907421,233
10580,10641,211.586351327629,0.301448989582284,225
10588,10665,211.733950932183,0.150520744122212,179
10602,10673,212.020187864491,0.232244825840862,6
10738,10802,214.74330628965,0.443149569367397,5
10911,10975,218.196779738112,0.306031782244516,124
10925,10971,218.470267562903,0.368581182823531,49
10938,11008,218.738481567229,0.291810951665548,119
10941,11020,218.793926787979,0.407762030205756,70
10952,11022,219.021660389339,0.189601785729597,102
11018,11071,220.338773364373,0.216924290907595,42
11046,11110,220.907280521338,0.230181813618232,28
11049,11126,220.955882781176,0.248563709213302,101
11078,11142,221.546271007069,0.369362641504749,5
11083,11163,221.638152364941,0.234868145770595,26
11085,11160,221.680192636899,0.309391853496121,122
11087,11181,221.719002616468,0.263756692618229,201
11107,11210,222.113814832668,0.403257287896659,2
11121,11203,222.393027245613,0.216967677751599,98
11148,11224,222.942771300308,0.33906477684503,161
11158,11239,223.134445958107,0.286553650255448,217
11169,11246,223.350013233538,0.200802758281347,135
11182,11253,223.619615539666,0.333142875049227,6
11378,11460,227.539319820449,0.446481586938524,199
11602,11675,232.020712374258,0.275563425949067,198
11766,11818,235.296898549382,0.306918678712239,176
12090,12143,241.778228370094,0.23619257237944,46
12573,12650,251.434418008826,0.186077932252793,179
12704,12792,254.060518101526,0.301218993599074,147
