k,t,x,y,z
0,0,-356,-1522,-1938
1,0.02,-356,-1522,-1938
2,0.04,-357,-1522,-1937
3,0.06,-357,-1523,-1935
4,0.08,-356,-1524,-1934
5,0.1,-356,-1524,-1934
6,0.12,-356,-1524,-1934
7,0.14,-356,-1524,-1934
8,0.16,-356,-1524,-1934
9,0.18,-356,-1525,-1934
10,0.2,-356,-1526,-1935
11,0.22,-356,-1526,-1937
12,0.24,-356,-1525,-1939
13,0.26,-357,-1525,-1939
14,0.28,-358,-1526,-1939
15,0.3,-358,-1525,-1940
16,0.32,-358,-1524,-1940
17,0.34,-359,-1524,-1940
18,0.36,-360,-1524,-1940
19,0.38,-360,-1524,-1940
20,0.4,-360,-1523,-1941
21,0.42,-359,-1522,-1941
22,0.44,-358,-1522,-1940
23,0.46,-358,-1523,-1939
24,0.48,-358,-1524,-1938
25,0.5,-358,-1524,-1938
26,0.52,-358,-1524,-1938
27,0.54,-357,-1524,-1938
28,0.56,-356,-1524,-1937
29,0.58,-356,-1524,-1937
30,0.6,-356,-1524,-1938
31,0.62,-356,-1524,-1939
32,0.64,-357,-1523,-1940
33,0.66,-358,-1522,-1940
34,0.68,-357,-1522,-1941
35,0.7,-356,-1523,-1941
36,0.72,-356,-1524,-1941
37,0.74,-356,-1524,-1941
38,0.76,-356,-1524,-1939
39,0.78,-356,-1524,-1939
40,0.8,-356,-1524,-1939
41,0.82,-356,-1525,-1938
42,0.84,-356,-1526,-1936
43,0.86,-356,-1525,-1935
44,0.88,-356,-1524,-1936
45,0.9,-357,-1524,-1937
46,0.92,-357,-1523,-1939
47,0.94,-356,-1522,-1939
48,0.96,-356,-1522,-1938
49,0.98,-356,-1522,-1938
50,1,-356,-1522,-1938
51,1.02,-356,-1521,-1939
52,1.04,-356,-1520,-1940
53,1.06,-356,-1521,-1939
54,1.08,-356,-1522,-1938
55,1.1,-356,-1522,-1938
56,1.12,-355,-1522,-1938
57,1.14,-347.23751083812,-1525.81181505192,-1941.64718516596
58,1.16,-345.654531165395,-1524.54543131374,-1939.38080142778
59,1.18,-345.33793523085,-1522.96245164102,-1935.79782175505
60,1.2,-344.33793523085,-1521.69606790284,-1933.21484208233
61,1.22,-343.33793523085,-1520.42968416466,-1931.31526647506
62,1.24,-346.820490510845,-1516.94712888466,-1926.56632745688
63,1.26,-352.519217332654,-1514.4143614083,-1924.35015591507
64,1.28,-356.318368547193,-1514.4143614083,-1925.98334778416
65,1.3,-358.901348219918,-1515.36414921194,-1926.71696404598
66,1.32,-359.584752285373,-1515.68074514648,-1927.71696404598
67,1.34,-360.534540089008,-1516.68074514648,-1928.66675184962
68,1.36,-363.750711630822,-1518.94712888466,-1929.66675184962
69,1.38,-366.333691303547,-1520.53010855739,-1931.66675184962
70,1.4,-367.600075041727,-1523.06287603375,-1932.98334778416
71,1.42,-368.233266910817,-1524.59564351011,-1932.61653965325
72,1.44,-369.233266910817,-1526.44500692101,-1931.88292339143
73,1.46,-368.966883172637,-1528.97777439737,-1932.14930712961
74,1.48,-364.534540089008,-1530.24415813555,-1935.6318624096
75,1.5,-360.418792939923,-1530.87735000464,-1938.48122582051
76,1.52,-359.469005136289,-1530.87735000464,-1940.38080142778
77,1.54,-359.785601070834,-1530.5607540701,-1940.69739736232
78,1.56,-360.102197005378,-1529.92756220101,-1941.01399329687
79,1.58,-359.785601070834,-1530.29437033192,-1942.9637811005
80,1.6,-360.469005136289,-1529.97777439737,-1949.91356890414
81,1.62,-362.835813267199,-1526.71139065919,-1952.81314451141
82,1.64,-364.519217332654,-1525.39479472465,-1950.07952824959
83,1.66,-362.519217332654,-1530.0781987901,-1944.71272011868
84,1.68,-360.835813267199,-1534.76160285556,-1940.71272011868
85,1.7,-361.152409201744,-1530.44500692101,-1946.71272011868
86,1.72,-358.835813267199,-1530.12841098647,-1949.02931605322
87,1.74,-358.835813267199,-1533.81181505192,-1943.34591198777
88,1.76,-360.835813267199,-1531.81181505192,-1943.97910385686
89,1.78,-360.519217332654,-1530.12841098647,-1947.61229572595
90,1.8,-359.835813267199,-1530.44500692101,-1946.92889166049
91,1.82,-360.469005136289,-1530.12841098647,-1948.56208352958
92,1.84,-360.469005136289,-1529.81181505192,-1949.87867946413
93,1.86,-359.152409201744,-1529.81181505192,-1949.87867946413
94,1.88,-359.152409201744,-1529.81181505192,-1949.87867946413
95,1.9,-359.152409201744,-1529.81181505192,-1949.56208352958
96,1.92,-359.469005136289,-1529.81181505192,-1949.24548759504
97,1.94,-360.785601070834,-1526.81181505192,-1953.24548759504
98,1.96,-361.785601070834,-1524.81181505192,-1957.24548759504
99,1.98,-361.785601070834,-1525.81181505192,-1957.56208352958
100,2,-361.785601070834,-1522.81181505192,-1954.19527539867
101,2.02,-359.785601070834,-1517.49521911738,-1952.51187133322
102,2.04,-356.785601070834,-1517.49521911738,-1954.51187133322
103,2.06,-356.785601070834,-1516.49521911738,-1954.51187133322
104,2.08,-357.102197005378,-1519.17862318283,-1954.19527539867
105,2.1,-357.102197005378,-1523.17862318283,-1952.87867946413
106,2.12,-357.785601070834,-1520.86202724829,-1951.87867946413
107,2.14,-357.785601070834,-1520.86202724829,-1951.87867946413
108,2.16,-357.785601070834,-1521.17862318283,-1951.87867946413
109,2.18,-357.469005136289,-1522.17862318283,-1951.87867946413
110,2.2,-357.152409201744,-1523.17862318283,-1952.19527539867
111,2.22,-357.152409201744,-1524.17862318283,-1952.51187133322
112,2.24,-357.152409201744,-1525.17862318283,-1951.51187133322
113,2.26,-357.469005136289,-1524.17862318283,-1951.51187133322
114,2.28,-358.102197005378,-1523.17862318283,-1951.51187133322
115,2.3,-358.418792939923,-1523.17862318283,-1950.51187133322
116,2.32,-358.102197005378,-1524.17862318283,-1951.82846726776
117,2.34,-357.785601070834,-1525.17862318283,-1952.14506320231
118,2.36,-357.785601070834,-1524.17862318283,-1951.14506320231
119,2.38,-357.469005136289,-1523.17862318283,-1951.14506320231
120,2.4,-357.152409201744,-1523.17862318283,-1950.82846726776
121,2.42,-357.469005136289,-1523.49521911738,-1950.51187133322
122,2.44,-357.785601070834,-1523.49521911738,-1950.51187133322
123,2.46,-357.469005136289,-1523.17862318283,-1950.51187133322
124,2.48,-356,-1520,-1937
125,2.5,-355,-1521,-1935
126,2.52,-355,-1521,-1935
127,2.54,-356,-1520,-1935
128,2.56,-356,-1521,-1934
129,2.58,-356,-1522,-1934
130,2.6,-356,-1522,-1935
131,2.62,-356,-1522,-1937
132,2.64,-356,-1522,-1938
