dataset,file,event_id,t_star_in_sec,t_star_out_sec,k_star_in,k_star_out,scenario_group,notes
4_16_停车检测,4_16_停车检测_clean.csv,1,50.04,80.4,2502,4020,A,
4_16_停车检测,4_16_停车检测_clean.csv,2,138.98,166.94,6949,8347,A,
4_16_停车检测,4_16_停车检测_clean.csv,3,227.64,254.96,11382,12748,A,
4_16_停车检测,4_16_停车检测_clean.csv,4,309.36,335.54,15468,16777,A,
20240723_停车检测_sheet1,20240723_停车检测_sheet1_clean.csv,1,14.18,22.86,709,1143,D,
20240723_停车检测_sheet1,20240723_停车检测_sheet1_clean.csv,2,86.96,95.96,4348,4798,D,
20240723_停车检测_sheet1,20240723_停车检测_sheet1_clean.csv,3,155.24,163.22,7762,8161,D,
20240723_停车检测_sheet2,20240723_停车检测_sheet2_clean.csv,1,21.52,34.68,1076,1734,A,
20240723_停车检测_sheet2,20240723_停车检测_sheet2_clean.csv,2,100.46,109.02,5023,5451,A,
20240723_停车检测_sheet2,20240723_停车检测_sheet2_clean.csv,3,176.52,184.02,8826,9201,A,
20240723_停车检测_sheet2,20240723_停车检测_sheet2_clean.csv,4,236.78,265.32,11839,13266,A,
20240726_停车检测_sheet1,20240726_停车检测_sheet1_clean.csv,1,32.56,40.46,1628,2023,A,
20240726_停车检测_sheet1,20240726_停车检测_sheet1_clean.csv,2,102.56,109.94,5128,5497,A,
20240726_停车检测_sheet1,20240726_停车检测_sheet1_clean.csv,3,171.52,185.72,8576,9286,A,
20240726_停车检测_sheet1,20240726_停车检测_sheet1_clean.csv,4,247.56,258.1,12378,12905,A,
