k,t,x,y,z
0,0,-757.995241569114,-1147.18795495093,-2468.13927584143
1,0.00393258426966292,-758.692646139081,-1147.58059224257,-2467.40054684758
2,0.00786516853932584,-758.444981501936,-1146.79515069441,-2468.40342149436
3,0.0117977528089888,-758.595523414713,-1146.45591030983,-2469.30268800949
4,0.0157303370786517,-756.805805453561,-1146.21435407815,-2466.52803473683
5,0.0196629213483146,-757.508935931926,-1146.35837782638,-2464.91755843465
6,0.0235955056179775,-756.891394583923,-1145.87439170312,-2466.58283663734
7,0.0275280898876404,-756.489515955832,-1145.65653811146,-2465.98661701495
8,0.0314606741573034,-754.998740451672,-1147.59130721407,-2464.58698423797
9,0.0353932584269663,-759.474995265381,-1147.48484435442,-2472.66606596634
10,0.0393258426966292,-755.401410275705,-1146.47151107689,-2465.95182517985
11,0.0432584269662921,-754.609767603241,-1143.52228786753,-2464.0819389744
12,0.047191011235955,-752.81178724239,-1145.17437870862,-2462.40206728566
13,0.051123595505618,-753.510724632381,-1145.41412007727,-2460.96216704256
14,0.0550561797752809,-752.707411551637,-1144.7756654041,-2460.65949092527
15,0.0589887640449438,-751.932399480759,-1145.71305979039,-2458.61797379108
16,0.0629213483146067,-753.023929835015,-1146.10125782579,-2459.27062464519
17,0.0668539325842697,-751.469959058008,-1145.12798323509,-2454.94671818274
18,0.0707865168539326,-750.072214789038,-1143.86741357607,-2457.76945785897
19,0.0747191011235955,-753.74158953351,-1143.22926225482,-2455.77387747352
20,0.0786516853932584,-748.957325292483,-1142.97187432759,-2457.43238583263
21,0.0825842696629213,-750.143935823462,-1142.7210619949,-2456.2138074789
22,0.0865168539325843,-749.391009554941,-1143.13269256251,-2454.65923634471
23,0.0904494382022472,-746.582674032958,-1140.89424306763,-2452.33889082708
24,0.0943820224719101,-747.920786136318,-1140.59348569085,-2453.30587444106
25,0.098314606741573,-750.681825256827,-1142.08397177173,-2446.65682823095
26,0.102247191011236,-747.241782923229,-1139.05260238544,-2449.71783063193
27,0.106179775280899,-745.316456283776,-1140.81038798424,-2453.06093447121
28,0.110112359550562,-743.977766454839,-1140.48333727026,-2450.30726417471
29,0.114044943820225,-747.429921470728,-1140.15802502835,-2457.47388215416
30,0.117977528089888,-743.466994872355,-1138.74737529673,-2450.1481108738
31,0.121910112359551,-743.599403613199,-1138.06165202019,-2446.55610513294
32,0.125842696629213,-743.674641810037,-1138.33565542855,-2446.42088910552
33,0.129775280898876,-744.817526159189,-1138.81333131163,-2446.35004476358
34,0.133707865168539,-740.536469302126,-1136.02378517065,-2447.94574862376
35,0.137640449438202,-741.224981244181,-1137.36327111312,-2448.52094568046
36,0.141573033707865,-740.283312023899,-1137.14821718696,-2444.41902634477
37,0.145505617977528,-740.276575530183,-1138.86216518332,-2443.51875856414
38,0.149438202247191,-739.934821616705,-1137.70726231306,-2444.50602515508
39,0.153370786516854,-737.486654302313,-1138.59228475589,-2438.10281767727
40,0.157303370786517,-740.914926352896,-1136.61113613426,-2444.22348545638
41,0.16123595505618,-742.093556927224,-1139.19813976426,-2443.81814668327
42,0.165168539325843,-738.42274817166,-1137.27534658657,-2442.80278465958
43,0.169101123595506,-740.248803577259,-1139.60773562868,-2444.16799134159
44,0.173033707865169,-739.382830510268,-1138.1524551845,-2442.08625624943
45,0.176966292134831,-740.359501563982,-1136.67859026265,-2442.51848652146
46,0.180898876404494,-737.487885406112,-1135.40828354664,-2441.56361358579
47,0.184831460674157,-735.95410362084,-1134.91060063794,-2432.22099023807
48,0.18876404494382,-739.882324067171,-1138.30371599713,-2440.03135709645
49,0.192696629213483,-737.365365031173,-1136.63857873219,-2439.07956849449
50,0.196629213483146,-738.717877632431,-1138.11580406874,-2440.45295404881
51,0.200561797752809,-738.200719450153,-1138.470631769,-2439.63359002917
52,0.204494382022472,-736.870571318007,-1137.21914964446,-2439.24648258154
53,0.208426966292135,-736.843502988008,-1141.1615590406,-2440.34022605623
54,0.212359550561798,-735.048494562108,-1139.56871947355,-2437.91747956785
55,0.216292134831461,-737.710756986676,-1143.76191730174,-2441.12159759008
56,0.220224719101124,-739.040557241412,-1141.86743717465,-2438.95453547934
57,0.224157303370787,-733.967929271849,-1145.42362260903,-2437.78815767731
58,0.228089887640449,-733.816261769182,-1144.95033422473,-2437.57311828039
59,0.232022471910112,-730.88689610729,-1146.17270981196,-2436.79906517058
60,0.235955056179775,-730.034702404776,-1150.22053679607,-2435.17189398314
61,0.239887640449438,-730.662255707809,-1153.73699305715,-2433.81650552974
62,0.243820224719101,-725.163798252709,-1155.26998821381,-2433.33023138719
63,0.247752808988764,-724.014014230521,-1160.1383172352,-2433.25883621191
64,0.251685393258427,-709.608605234357,-1170.46533894121,-2424.53628727007
65,0.25561797752809,-707.550314460818,-1175.71635020582,-2431.87533430541
66,0.259550561797753,-695.905020371418,-1184.12710028913,-2429.47178452424
67,0.263483146067416,-675.646171573046,-1199.50843932168,-2429.15183869655
68,0.267415730337079,-661.797835077798,-1208.34565525244,-2430.91974312253
69,0.271348314606742,-632.434050729392,-1215.11838329088,-2431.45433359294
70,0.275280898876405,-575.037488450312,-1220.0412300935,-2437.17996857409
71,0.279213483146067,-520.914133343145,-1196.23154951631,-2436.46448633719
72,0.28314606741573,-495.247327111577,-1176.88417909918,-2424.56147947719
73,0.287078651685393,-483.274541584994,-1161.33584804669,-2406.17880655936
74,0.291011235955056,-478.524578451088,-1158.2865039948,-2390.65570785503
75,0.294943820224719,-475.830279695878,-1160.44068992471,-2383.95824953943
76,0.298876404494382,-453.701363925285,-1171.46292383185,-2374.64314299633
77,0.302808988764045,-445.608368401894,-1167.40432884898,-2368.82208167381
78,0.306741573033708,-430.32459096106,-1161.22982560917,-2371.24732202333
79,0.310674157303371,-413.518973965199,-1150.12458998544,-2370.4911927263
80,0.314606741573034,-400.233164124614,-1139.01998881325,-2360.53715758368
81,0.318539325842697,-388.124152861538,-1126.98988728689,-2349.37613398561
82,0.32247191011236,-378.06106575235,-1116.40217904964,-2342.53608515556
83,0.326404494382022,-373.894555473432,-1106.02431777637,-2337.93374033352
84,0.330337078651685,-373.419850405577,-1096.79625021576,-2331.27143028785
85,0.334269662921348,-368.753462783676,-1092.14317644972,-2324.01469456919
86,0.338202247191011,-367.178483098295,-1088.1842631795,-2323.5248501492
87,0.342134831460674,-368.71390835468,-1086.28301102286,-2325.06241611064
88,0.346067415730337,-369.764842055197,-1087.43861147187,-2326.4914217881
89,0.35,-367.878335093186,-1085.54297192645,-2327.03092645824
90,0.352173913043478,-368.181651248522,-1087.31481430755,-2326.63473387021
91,0.354347826086956,-369.128499545616,-1086.76314248194,-2328.14421523179
92,0.356521739130435,-371.702769548529,-1087.76257566762,-2329.56307067525
93,0.358695652173913,-372.926525478667,-1087.6495723284,-2329.97514888044
94,0.360869565217391,-373.287963038354,-1088.00538363224,-2331.39173294983
95,0.36304347826087,-374.438087147111,-1088.3224915321,-2330.74975800671
96,0.365217391304348,-374.268334698686,-1087.98938940759,-2329.63132227946
97,0.367391304347826,-373.595794636523,-1087.1792336253,-2330.14236959077
98,0.369565217391304,-374.429552244152,-1088.13117396718,-2331.25624074818
