sample_local,Bx_nT,By_nT,Bz_nT,mag_nT
0,6.36146249,-3.48853190,-3.56506779,8.08379665
1,7.90396881,-3.48959252,-3.77636364,9.42925773
2,9.49374591,-3.46684958,-3.94212361,10.84852967
3,11.12148331,-3.41812299,-4.04937144,12.31943038
4,12.77315097,-3.34417679,-4.08497935,13.82114179
5,14.42734688,-3.25102423,-4.03699652,15.33019365
6,16.05095222,-3.15319168,-3.89642182,16.81540329
7,17.59224179,-3.07801800,-3.65912074,18.23047807
8,18.97048998,-3.07078419,-3.32706748,19.50329674
9,20.06140526,-3.19991852,-2.90725171,20.52197778
10,20.67896967,-3.56065124,-2.40551023,21.12071266
11,20.55728687,-4.27444517,-1.81176934,21.07499545
12,19.34166017,-5.48092231,-1.07422802,20.13192225
13,16.60593084,-7.32025553,-0.06587988,18.14793157
14,11.91879197,-9.90913566,1.43846842,15.56655912
15,4.97320085,-13.32311982,3.73156370,14.70247653
16,-4.25032403,-17.60597843,7.02341211,19.42586031
17,-15.40553568,-22.81095737,11.12688841,29.68969436
18,-27.99194655,-29.00798936,15.07274891,43.03719645
19,-41.96321680,-36.07949007,17.01921205,57.89900471
20,-58.35196930,-43.14813356,14.98697937,74.10346349
21,-78.91320686,-47.91911228,8.46771403,92.71050490
22,-104.15647468,-46.91051788,-0.27407485,114.23328334
23,-131.10662949,-37.35712827,-6.94201437,136.50162963
24,-153.53422987,-19.80422062,-8.01241095,155.01343692
25,-165.41185285,1.02766173,-3.19079210,165.44581683
26,-164.84118090,18.00662967,4.68511566,165.88792585
27,-155.15746160,26.85451742,11.90117669,157.91339716
28,-142.64337610,26.75840970,16.19181448,146.03191464
29,-132.88855418,20.86912713,17.59453575,135.66302365
30,-128.26040762,14.14017289,17.76625978,130.25481427
31,-127.65659100,10.69063629,18.65075342,129.45402865
32,-128.05834767,12.20045609,21.44178855,130.41296651
33,-126.51950039,17.87308235,26.27075819,130.44839511
34,-121.44036090,25.48402320,32.48847505,128.26806970
35,-112.78944211,32.64052114,39.15888225,123.77511838
36,-101.60661940,37.62766312,45.45210955,117.49740593
37,-89.30782299,39.68369475,50.82171697,110.15230271
38,-77.14627920,38.86307944,55.00195255,102.40655312
39,-65.94475412,35.72447136,57.91382866,94.75737438
40,-56.05841128,31.01837926,59.55594756,87.47340291
41,-47.47732500,25.45790180,59.92311879,80.57903771
42,-39.98675128,19.59125904,58.96859766,73.89217292
43,-33.32864787,13.76388053,56.60974492,67.11859948
44,-27.32869031,8.14743585,52.76821488,59.98101805
45,-21.96652449,2.81001993,47.42977862,52.34508869
46,-17.37876739,-2.26764964,40.70399135,44.31679933
47,-13.79938179,-6.99562653,32.86195849,36.32175718
48,-11.45994465,-11.10964668,24.33467057,29.10207505
49,-10.48625537,-14.36950763,15.66607862,23.70380393
50,-10.82923148,-16.53117922,7.43112394,21.11335463
51,-12.25386569,-17.41902217,0.14231078,21.29788275
52,-14.38603933,-16.98292914,-5.82767158,23.00738503
53,-16.79517171,-15.31989214,-10.28718920,24.95201694
54,-19.08121111,-12.65601212,-13.22507335,26.44181963
55,-20.93951677,-9.30001414,-14.77643356,27.26346667
56,-22.19105587,-5.58650711,-15.17083740,27.45553368
57,-22.77965336,-1.82569159,-14.67903409,27.16099775
58,-22.74696137,1.67934687,-13.56949914,26.54007845
59,-22.19804635,4.75890576,-12.07968160,25.71612633
60,-21.26797679,7.36528052,-10.40165395,24.79452760
61,-20.09542492,9.45785245,-8.67896019,23.84536487
62,-18.80526787,11.04257054,-7.01061872,22.90688191
63,-17.49948651,12.15685395,-5.45869835,21.99587492
64,-16.25438644,12.85636119,-4.05688647,21.11751475
65,-15.12191968,13.20466955,-2.81849638,20.27263364
66,-14.13320475,13.26598863,-1.74317245,19.46208059
67,-13.30286521,13.10052744,-0.82208930,18.68865626
68,-12.63331752,12.76193629,-0.04174267,17.95743500
69,-12.11854401,12.29623377,0.61343578,17.27520701
70,-11.74716601,11.74171187,1.15937493,16.64956026
71,-11.50480150,11.12942656,1.61132796,16.08791381
72,-11.37578179,10.48399238,1.98330185,15.59666611
73,-11.34433723,9.82449323,2.28779748,15.18053595
74,-11.39536817,9.16539274,2.53574695,14.84213099
