sample_local,Bx_nT,By_nT,Bz_nT,mag_nT
0,6.23972793,-1.92931666,-2.12859302,6.86930678
1,7.71188553,-1.40625942,-2.12917424,8.12306142
2,9.18979754,-0.62650399,-2.01794115,9.42957966
3,10.64230122,0.48737685,-1.75603220,10.79721078
4,12.02319597,2.01638559,-1.29715692,12.25992121
5,13.26500966,4.03378570,-0.58929630,13.87729002
6,14.27055393,6.58816696,0.42163816,15.72356296
7,14.90172575,9.68119325,1.78640975,17.85996060
8,14.96532841,13.24204212,3.54712245,20.29519183
9,14.19699592,17.10303019,5.73624957,22.95589018
10,12.24780090,20.98386840,8.38664441,25.70344655
11,8.68524726,24.49413365,11.55750349,28.44243291
12,3.03095433,27.16193778,15.36812282,31.35501152
13,-5.13524973,28.48724809,19.99858683,35.18291586
14,-15.99195747,28.00043360,25.57089098,41.15382669
15,-29.27756065,25.29670421,31.81849952,50.09506676
16,-44.28776025,20.05954407,37.60413419,61.46431423
17,-60.36676927,12.21344135,40.47217310,73.69743399
18,-77.85467283,2.42674114,38.20808176,86.75884200
19,-98.50807494,-7.16420065,30.68555383,103.42518945
20,-123.90080300,-12.97703421,20.77048363,126.29816068
21,-152.19092737,-11.79941127,12.80636401,153.18390072
22,-176.84087851,-3.51138279,9.69713242,177.14135739
23,-189.89881052,8.05036641,11.29591301,190.40473809
24,-188.12991962,17.35548400,15.16339297,189.53629723
25,-177.06345726,20.58015483,18.43066334,179.20574774
26,-164.49419647,17.38373301,19.27204802,166.52911661
27,-156.35553431,10.27379164,18.00073179,157.72327111
28,-154.23167676,2.70814327,15.78121081,155.06060354
29,-156.00538857,-2.56597116,13.85128913,156.64010879
30,-158.19237463,-4.22855086,13.08477546,158.78891455
31,-158.03034633,-2.30681070,13.86129911,158.65386018
32,-154.34450421,2.25995074,16.10508371,155.19892744
33,-147.34259615,8.10978929,19.41937661,148.83790347
34,-137.96872795,13.88159803,23.27001928,140.60427609
35,-127.31421937,18.39286570,27.14313339,131.46846639
36,-116.27315653,21.04425222,30.65023755,122.07270188
37,-105.45604862,21.90227532,33.65152467,112.84109609
38,-95.12001254,21.18332920,36.10218505,103.92265387
39,-85.24009242,19.22780105,38.00157905,95.28746874
40,-75.71076609,16.41185326,39.34988641,86.89006036
41,-66.41862596,13.07879482,40.11991040,78.68987202
42,-57.29537171,9.49622692,40.24927153,70.66075151
43,-48.35305324,5.84161414,39.65369817,62.80571624
44,-39.70340844,2.21437951,38.25762271,55.18070146
45,-31.55747403,-1.33171407,36.03417139,47.91773301
46,-24.25064397,-4.74636516,33.04333556,41.26116504
47,-18.14016477,-7.94463151,29.45575911,35.49400643
48,-13.34512034,-10.78729353,25.55165782,30.77897263
49,-9.91673784,-13.08914909,21.69064459,27.20572689
50,-7.75567468,-14.65320860,18.25745235,24.66174321
51,-6.62702439,-15.31395994,15.59729788,22.84098339
52,-6.20392081,-15.01914719,13.95875182,21.42218869
53,-6.12771812,-13.80763588,13.45918325,20.23238373
54,-6.06841485,-11.81828737,14.07945127,19.35790596
55,-5.77066189,-9.26168636,15.68471110,19.10731627
56,-5.07722144,-6.38545091,18.06133874,19.81827737
57,-3.92970688,-3.43657363,20.95811769,21.59850300
58,-2.35242520,-0.61818166,24.12223668,24.24455310
59,-0.42756293,1.92115488,27.32503199,27.39582120
60,1.73080136,4.09029011,30.37656233,30.69953884
