sample_local,Bx_nT,By_nT,Bz_nT,mag_nT
0,-1.75014462,-1.15054107,-0.15559348,2.10022862
1,-0.11572719,-0.65721212,-0.19592385,0.69549026
2,1.56832805,0.23428313,0.02433515,1.58591729
3,3.23224310,1.70973844,0.71065037,3.72499999
4,4.75748811,3.95923149,2.14790997,6.55154366
5,5.96135993,7.11290577,4.66659446,10.38789414
6,6.58595443,11.14460170,8.54163710,15.50923942
7,6.29271043,15.76259740,13.81553000,21.88439057
8,4.65320303,20.33387512,20.10055500,28.96810465
9,1.11718834,23.91341912,26.51173401,35.72074697
10,-5.03227505,25.44725232,31.75355549,41.00213079
11,-14.60508037,24.14570867,35.12809550,45.05892490
12,-28.05512386,19.85923724,36.34397292,50.02363088
13,-44.82984421,13.05887263,34.39534049,57.99386635
14,-64.16584779,5.36832090,27.74698064,70.11397740
15,-88.75275415,-0.78243140,17.30859593,90.42815413
16,-118.68795734,-2.58394566,7.30896911,118.94086355
17,-143.38735104,0.56672674,1.23803786,143.39381561
18,-151.34398938,6.00784933,-0.56471306,151.46424091
19,-145.94384108,9.54420683,-0.00785665,146.25558688
20,-139.57526477,9.81130228,-0.01652388,139.91967861
21,-138.05165761,8.39059235,-0.82111291,138.30884438
22,-138.25389264,6.70173456,-1.72192760,138.42693781
23,-135.73522536,5.66072430,-1.96806277,135.86746658
24,-129.09016557,5.97061254,-0.70159534,129.23007118
25,-119.13644526,7.32129338,2.34952776,119.38431307
26,-107.25730788,8.62553898,6.17360312,107.78053346
27,-94.80248185,9.39282989,10.21799987,95.81306456
28,-82.97499819,9.29635602,14.05889739,84.66950546
29,-71.90543122,8.27426644,17.44465439,74.45247136
30,-61.59517517,6.53223568,20.25118132,65.16706263
31,-52.02851375,4.39588916,22.37452506,56.80589279
32,-43.35666419,2.19830898,23.65496993,49.43875499
33,-35.82190826,0.07508428,23.89399140,43.05969779
34,-29.70701079,-1.90348942,22.91455251,37.56602826
35,-25.41175833,-3.73786865,20.94150295,33.14024245
36,-23.17913961,-5.26987342,18.42791047,30.07710031
37,-22.94228563,-6.25353892,16.00628818,28.66455093
38,-24.24910625,-6.50065670,14.30224884,28.89345970
39,-26.35872298,-5.95964617,13.72734921,30.31072047
40,-28.46551052,-4.75154527,14.36385969,32.23636048
41,-29.93946026,-3.13361758,15.98582944,34.08427178
42,-30.58486697,-1.49174530,18.18090781,35.61186320
43,-30.43721686,-0.02984071,20.49674319,36.69525232
44,-29.67673025,1.13957052,22.54410254,37.28596919
45,-28.53761047,1.98342629,24.03630535,37.36406250
46,-27.23950560,2.51890454,24.86666341,36.96872319
47,-25.94966273,2.79469516,25.01659248,36.15280371
48,-24.77218285,2.86988006,24.53824103,34.98603332
49,-23.75503988,2.80113410,23.52757407,33.55137871
50,-22.90527194,2.63661199,22.10312711,31.93980954
51,-22.20534638,2.41413903,20.39012523,30.24339071
52,-21.62683408,2.16171772,18.50900198,28.54778677
53,-21.13999744,1.89903314,16.56747486,26.92558341
54,-20.72076930,1.63921063,14.65559118,25.43272783
55,-20.34937965,1.39045987,12.84330619,24.10355046
56,-20.01341765,1.15745978,11.18017751,22.95371360
57,-19.70789251,0.94245292,9.69671736,21.98443932
58,-19.43189996,0.74607121,8.40690405,21.18564122
59,-19.18695181,0.56793542,7.31135451,20.54063230
60,-18.97555571,0.40707536,6.40071110,20.03014048
61,-18.80015041,0.26221394,5.65888629,19.63510646
62,-18.66241018,0.13195189,5.06591857,19.33821336
63,-18.56287779,0.01488240,4.60030160,19.12441968
64,-18.50085879,-0.09034208,4.24074183,18.98088061
65,-18.47450228,-0.18497450,3.96736904,18.89659936
66,-18.48099839,-0.27015795,3.76246965,18.86203766
67,-18.51683349,-0.34692252,3.61083473,18.86879978
68,-18.57805847,-0.41618905,3.49982044,18.90942127
69,-18.66053899,-0.47877658,3.41921198,18.97724829
70,-18.76016901,-0.53558120,3.36096859,19.06638137
71,-18.87303872,-0.59176464,3.31891110,19.17177474
72,-18.99555527,-0.64276147,3.28839636,19.28880019
73,-19.12451957,-0.68911817,3.26600853,19.41362780
74,-19.25716522,-0.73132157,3.24928453,19.54305742
75,-19.39116681,-0.76980247,3.23648149,19.67446971
76,-19.52462518,-0.80494241,3.22638780,19.80576933
77,-19.65603650,-0.83707960,3.21817464,19.93532345
78,-19.78425123,-0.86651412,3.21128304,20.06189877
79,-19.90842794,-0.89351257,3.20534031,20.18459993
80,-20.02798579,-0.91831205,3.20009977,20.30281139
