sample_local,Bx_nT,By_nT,Bz_nT,mag_nT
0,-0.91936071,-1.49750124,-1.90367508,2.59069737
1,0.79156128,-0.47985929,-1.96361953,2.17086062
2,2.55443783,1.36101097,-1.62436842,3.31904749
3,4.29584204,4.41155425,-0.56883037,6.18382064
4,5.89075892,9.06912717,1.64456158,10.93867868
5,7.14606776,15.60857305,5.53013536,18.03541611
6,7.78862361,23.97977234,11.51710362,27.71887110
7,7.45928319,33.57520756,19.67084459,39.62168087
8,5.70303827,43.06531459,29.37954248,52.44333592
9,1.93510907,50.45589903,39.20383256,63.92560427
10,-4.60584704,53.51935246,47.10426912,71.44471348
11,-14.77494984,50.59597513,52.12685967,74.13137893
12,-29.03463274,41.18555719,53.73457403,73.66589757
13,-46.76651944,26.81706195,50.21589470,73.67427117
14,-67.41314613,10.90173148,39.24090773,78.76057935
15,-93.66331497,-1.26698338,22.85706128,96.42026274
16,-125.14805737,-4.01470211,8.13346997,125.47632219
17,-150.05935519,3.05973986,-0.16105204,150.09063270
18,-156.83566178,13.88782411,-2.45149332,157.46842949
19,-150.38073179,21.04102541,-1.64276743,151.85449591
20,-144.12245563,21.06095873,-1.69237043,145.66300257
21,-143.26776645,17.91474065,-2.98315199,144.41429995
22,-143.62912035,14.52790746,-4.28925628,144.42569725
23,-140.54092465,12.47495328,-4.60547808,141.16864521
24,-133.07102131,13.08401726,-2.71363136,133.74024082
25,-122.45308640,15.77744393,1.83638639,123.47897967
26,-110.14737062,18.39484948,7.52714162,111.92618819
27,-97.34735910,20.00670912,13.57366626,100.30464171
28,-85.24970214,19.92175059,19.34809892,89.65900286
29,-73.94178700,17.95259228,24.46435936,79.92614287
30,-63.37546978,14.42824113,28.73421687,71.06531876
31,-53.53197475,10.14723102,32.00913680,63.19195721
32,-44.58268426,5.70301705,34.05378453,56.38971875
33,-36.77734899,1.37746317,34.43794969,50.40280927
34,-30.39118382,-2.67364033,33.09643058,45.01273290
35,-25.83879831,-6.43550431,30.25677208,40.30547693
36,-23.39756368,-9.63225004,26.53941543,36.66833509
37,-23.04381450,-11.76078709,22.86947794,34.53037099
38,-24.34902095,-12.40947657,20.19983282,33.98386641
39,-26.55655298,-11.43823637,19.19396143,34.70579077
40,-28.76179821,-9.06239193,20.02828536,36.20083146
41,-30.35924574,-5.79337355,22.39961772,38.17053645
42,-31.11190395,-2.41262002,25.69835258,40.42495056
43,-31.02910931,0.64136024,29.23310367,42.63556401
44,-30.28285557,3.09968771,32.40646557,44.46165107
45,-29.11386535,4.87147939,34.78970369,45.62534329
46,-27.75600306,6.00220669,36.12117262,45.94737536
47,-26.39185852,6.59098410,36.40558144,45.44598582
48,-25.13794113,6.76006281,35.71918296,44.19812853
49,-24.05021922,6.62748475,34.20770908,42.33797301
50,-23.13958008,6.29387525,32.05307698,40.03064796
51,-22.38928241,5.83840580,29.44841138,37.45097972
52,-21.76986742,5.31972690,26.57994016,34.76664840
53,-21.24977741,4.77906804,23.61447386,32.12531567
54,-20.80166976,4.24390597,20.69156211,29.64558896
55,-20.40661940,3.73141236,17.91964252,27.41290100
56,-20.05076360,3.25136320,15.37552535,25.47569946
57,-19.72740612,2.80843843,13.10648777,23.85032285
58,-19.43544325,2.40395567,11.13418749,22.52744078
59,-19.17638694,2.03712708,9.45960798,21.47947592
60,-18.95283769,1.70593819,8.06833099,20.66925849
61,-18.76734008,1.40774062,6.93557735,20.05734331
62,-18.62163619,1.13963623,6.03063238,19.60695367
63,-18.51627275,0.89871460,5.32044382,19.28645035
64,-18.45048879,0.68219080,4.77232679,19.06989837
65,-18.42230289,0.48747772,4.35581867,18.93652647
66,-18.42872443,0.31221692,4.04379519,18.86975472
67,-18.46602556,0.15428455,3.81299340,18.85621442
68,-18.53002603,0.01178294,3.64409387,18.88495230
69,-18.61635789,-0.11697502,3.52150342,18.94685859
70,-18.72069043,-0.23383415,3.43295814,19.03428828
71,-18.83890623,-0.34941360,3.36904053,19.14097469
72,-18.96722694,-0.45432290,3.32267886,19.26142004
73,-19.10229260,-0.54968616,3.28867360,19.39110908
74,-19.24120105,-0.63650510,3.26327730,19.52633953
75,-19.38151536,-0.71566612,3.24383935,19.66412493
76,-19.52124716,-0.78795418,3.22851769,19.80210315
77,-19.65882338,-0.85406505,3.21605255,19.93844924
78,-19.79304257,-0.91461612,3.20559452,20.07179347
79,-19.92302602,-0.97015582,3.19657728,20.20114537
80,-20.04816780,-1.02117190,3.18862608,20.32582496
