sample_local,Bx_nT,By_nT,Bz_nT,mag_nT
0,-0.50530314,-1.53656063,-2.01924500,2.58721863
1,1.24314342,-0.46533205,-2.08182661,2.46899606
2,3.04469088,1.47048619,-1.74004540,3.80266094
3,4.82469302,4.67433202,-0.67507352,6.75150108
4,6.45635048,9.55894549,1.55515691,11.63943355
5,7.74421335,16.40692394,5.46346042,18.94754321
6,8.41238421,25.16146368,11.47645762,28.90634086
7,8.09868133,35.18911146,19.66008454,41.11424484
8,6.34478970,45.11531453,29.41270953,54.22873264
9,2.56207631,52.88803863,39.36109076,65.97730163
10,-4.01641941,56.21864788,47.49495168,73.70507736
11,-14.25709487,53.39243879,52.73130686,76.38460576
12,-28.64551349,44.08467226,54.61801321,75.80996728
13,-46.59056317,29.31816626,51.59427323,75.44669959
14,-67.27559026,12.61868251,41.27785277,79.93182922
15,-93.57786217,-0.73723679,25.08035925,96.88335371
16,-125.60156791,-4.64909632,9.56369695,126.05091137
17,-152.02417513,2.19236375,0.14328639,152.04005003
18,-160.53592777,14.00737280,-2.65408573,161.16772248
19,-154.75902494,21.68632051,-1.78999819,156.28133731
20,-147.94612935,22.26629922,-1.80344734,149.62318568
21,-146.31622401,19.18132907,-3.05194756,147.59971266
22,-146.53256847,15.51409501,-4.44976346,147.41872731
23,-143.83818021,13.25361561,-4.83169734,144.52828690
24,-136.72951160,13.92651578,-2.86648927,137.46681034
25,-126.08134569,16.85942275,1.86801210,127.21727609
26,-113.37343128,19.69149889,7.80192214,115.33499052
27,-100.04966390,21.35761630,14.07771020,103.26792796
28,-87.39700696,21.14813019,20.03772358,92.12486419
29,-75.55514462,18.92873568,25.29148445,81.89344357
30,-64.52556838,15.14604030,29.64644003,72.60759546
31,-54.29146546,10.50711643,32.94128376,64.36684623
32,-45.01460315,5.73522804,34.92818098,57.26416998
33,-36.95416657,1.12479726,35.29907636,51.11653732
34,-30.41264835,-3.17153419,33.77925739,45.56342874
35,-25.81772711,-7.15475767,30.71762877,40.75927266
36,-23.42934429,-10.48139659,26.81722665,37.12084985
37,-23.17596562,-12.61735596,23.05953688,35.04376257
38,-24.57395977,-13.15395458,20.41533791,34.54984865
39,-26.83075906,-11.97918885,19.52325227,35.27815154
40,-29.08453178,-9.35588403,20.51094095,36.79865832
41,-30.66131522,-5.84266962,23.02779057,38.78829949
42,-31.35175031,-2.27746125,26.43394666,41.07155480
43,-31.19379903,0.89696015,30.02748432,43.30712932
44,-30.38025521,3.43625311,33.20442123,45.13647452
45,-29.16166196,5.26862562,35.51990836,46.25824071
46,-27.77299163,6.43137839,36.80839500,46.55705784
47,-26.39315972,7.03023804,37.04104356,46.02240796
48,-25.13353008,7.19349668,36.29877406,44.73300489
49,-24.04542365,7.04421974,34.73049775,42.82535352
50,-23.13636958,6.68697173,32.52014901,40.46686644
51,-22.38761200,6.20388758,29.86204265,37.83430961
52,-21.76873837,5.65577274,26.94305829,35.09692473
53,-21.24793639,5.08537195,23.93034380,32.40365971
54,-20.79945978,4.52118592,20.96362774,29.87527970
55,-20.40215922,3.98104140,18.15146138,27.59660019
56,-20.04275801,3.47509834,15.57074446,25.61711420
57,-19.71591717,3.00822631,13.26882354,23.95471756
58,-19.42066932,2.58179745,11.26738909,22.60048964
59,-19.15863176,2.19498831,9.56739843,21.52687291
60,-18.93248710,1.84569219,8.15433107,20.69634661
61,-18.74484422,1.53113597,7.00322361,20.06884908
62,-18.59749420,1.24828123,6.08310128,19.60686405
63,-18.49101770,0.99407318,5.36059220,19.27801509
64,-18.42467179,0.76558575,4.80265462,19.05571157
65,-18.39647646,0.56009821,4.37845546,18.91863971
66,-18.40342578,0.37512842,4.06050813,18.84978855
67,-18.44176100,0.20843964,3.82521256,18.83545187
68,-18.50725749,0.05803232,3.65294902,18.86441051
69,-18.59549246,-0.07787203,3.52786691,18.92734131
70,-18.70207342,-0.20121919,3.43748925,19.01642374
71,-18.82281776,-0.32321754,3.37222762,19.12524136
72,-18.95388198,-0.43395351,3.32487716,19.24818863
73,-19.09184379,-0.53461377,3.29013743,19.38064280
74,-19.23374378,-0.62625542,3.26418639,19.51881166
75,-19.37709432,-0.70981396,3.24431961,19.65963453
76,-19.51986374,-0.78611784,3.22865698,19.80068907
77,-19.66044329,-0.85590144,3.21591242,19.94010257
78,-19.79760324,-0.91981641,3.20521856,20.07646837
79,-19.93044344,-0.97844161,3.19599708,20.20876842
80,-20.05834253,-1.03229190,3.18786521,20.33630291
