sample_local,Bx_nT,By_nT,Bz_nT,mag_nT
0,5.95569732,-1.86440319,-1.89947416,6.52336814
1,7.41202143,-1.37797840,-1.90022486,7.77481451
2,8.87404440,-0.65306768,-1.79425785,9.07714287
3,10.31100277,0.38206627,-1.54465842,10.43305911
4,11.67732468,1.80234444,-1.10755188,11.86739349
5,12.90651093,3.67535545,-0.43375440,13.42663044
6,13.90285390,6.04568447,0.52773273,15.16964564
7,14.53046605,8.91441299,1.82460808,17.14439842
8,14.59939821,12.21568904,3.49622556,19.35430391
9,13.84990377,15.79452768,5.57263955,21.73341323
10,11.93930495,19.39265160,8.08390818,24.16550248
11,8.44283380,22.65106293,11.08433026,26.59350432
12,2.89013071,25.13651249,14.68425893,29.25447959
13,-5.13363399,26.39037750,19.05208847,32.95130191
14,-15.80907615,25.98228025,24.30674367,38.93357887
15,-28.88735566,23.54160005,30.21452657,47.97503378
16,-43.68205291,18.77750585,35.74057045,59.48197078
17,-59.53834213,11.61219328,38.85467220,72.03709301
18,-76.75382413,2.62821095,37.08279283,85.28300261
19,-97.01569747,-6.27258323,30.13109621,101.78051785
20,-121.90002268,-11.85151043,20.59684404,124.19462071
21,-149.74306876,-11.11932811,12.65807031,150.68793198
22,-174.30003843,-3.80210525,9.31953405,174.59041530
23,-188.03975005,6.76486107,10.66785810,188.46356183
24,-187.42630159,15.55366566,14.41492417,188.62217548
25,-176.65807636,18.91166871,17.56958481,178.53407928
26,-163.96376713,16.29820506,18.53946886,165.81152049
27,-155.42699303,9.86154414,17.45479607,156.71461362
28,-152.90548492,2.78000533,15.36461462,153.70064129
29,-154.49590427,-2.29854765,13.47336187,155.09932056
30,-156.76769509,-4.01665360,12.67429835,157.33048518
31,-156.87455657,-2.31759102,13.37572410,157.46081330
32,-153.50931841,1.93412579,15.51905428,154.30389732
33,-146.77734183,7.43356681,18.71519460,148.15230170
34,-137.58020732,12.86811491,22.43629051,139.99031738
35,-127.01599266,17.11423054,26.17848652,130.81006244
36,-116.01488323,19.60451560,29.56568832,121.31743522
37,-105.23008795,20.39368644,32.46008161,111.99522648
38,-94.89709152,19.69242677,34.81880283,102.98348742
39,-85.01844314,17.83003525,36.64232601,94.27993363
40,-75.49798288,15.16655693,37.93107747,85.84134497
41,-66.22240093,12.02677129,38.65798345,77.61758369
42,-57.11988079,8.66078600,38.76164021,69.57122068
43,-48.19996184,5.23250049,38.16029897,61.69946354
44,-39.57505515,1.83313850,36.78251639,54.06014150
45,-31.45947797,-1.48682274,34.60635380,46.79219079
46,-24.18817630,-4.67773896,31.69590860,40.14448575
47,-18.11476617,-7.65612211,28.22292067,34.39904374
48,-13.36358025,-10.28824652,24.46364615,29.71368837
49,-9.98283546,-12.39996918,20.76765573,26.16699761
50,-7.86728882,-13.81101404,17.50424040,23.64395851
51,-6.77540574,-14.38154648,15.00023505,21.85731122
52,-6.37551569,-14.05323063,13.48642782,20.49449259
53,-6.30768192,-12.86950900,13.06645823,19.39441785
54,-6.24433664,-10.96910870,13.71380468,18.63817385
55,-5.93521157,-8.55746970,15.29320960,18.50241292
56,-5.22911690,-5.86759652,17.59669035,19.27215255
57,-4.07311554,-3.12262474,20.38286622,21.01909348
58,-2.49535416,-0.50857389,23.41083895,23.54894520
59,-0.57989008,1.83963466,26.46408789,26.53428868
60,1.55913936,3.84022525,29.36373326,29.65479854
61,3.79922134,5.45833322,31.97300790,32.65732258
62,6.02497453,6.69553853,34.19574706,35.36212199
63,8.13742614,7.57844294,35.97159161,37.65110761
64,10.05816771,8.14838083,37.26994891,39.45392173
65,11.72989054,8.45325998,38.08399340,40.73620613
66,13.11471907,8.54174399,38.42534673,41.49053528
67,14.19145776,8.45953369,38.31963795,41.72955590
68,14.95251628,8.24731026,37.80289454,41.48077513
69,15.40097053,7.93987374,36.91860908,40.78253529
70,15.54798685,7.56606803,35.71530910,39.68083397
71,15.41068464,7.14917328,34.24448772,38.22675528
72,15.01042303,6.70753736,32.55879802,36.47436340
73,14.37145353,6.25529459,30.71045906,34.47897450
74,13.51986611,5.80307909,28.74985633,32.29576978
75,12.48275879,5.35868150,26.72434104,29.97874477
76,11.28757194,4.92762539,24.67724306,27.58001264
77,9.96154255,4.51365667,22.64711265,25.14949578
78,8.53124725,4.11914928,20.66719964,22.73505468
79,7.02221473,3.74543511,18.76516930,20.38311465
80,5.45859666,3.39306824,16.96304280,18.13984594
81,3.86289276,3.06203385,15.27734016,16.05288491
82,2.25572863,2.75191134,13.71939532,14.17332479
83,0.65568705,2.46200030,12.29580788,12.55700054
84,-0.92080695,2.19141656,11.00899314,11.26268715
85,-2.45954747,1.93916459,9.85779295,10.34339474
86,-3.94855762,1.70419114,8.83811207,9.82891651
87,-5.37805114,1.48542443,7.94354938,9.70720848
88,-6.74035065,1.28180205,7.16599845,9.92103206
89,-8.02976885,1.09229034,6.49619828,10.38609061
90,-9.24245932,0.91589721,5.92422065,11.01627489
91,-10.37624452,0.75168021,5.43988629,11.73983970
92,-11.43042819,0.59875092,5.03310693,12.50381368
93,-12.40559947,0.45627689,4.69415441,13.27185641
94,-13.30343502,0.32348163,4.41386102,14.02027791
95,-14.12650492,0.19964341,4.18375772,14.73437570
96,-14.87808719,0.08409319,3.99615828,15.40564283
97,-15.56199465,-0.02378795,3.84419785,16.02978791
98,-16.18241686,-0.12457171,3.72183495,16.60536627
99,-16.74377917,-0.21878558,3.62382518,17.13283739
100,-17.25061971,-0.30691586,3.54567447,17.61391170
101,-17.70748472,-0.38941067,3.48357850,18.05109346
102,-18.11884178,-0.46668279,3.43435420,18.44735777
103,-18.48901011,-0.53911240,3.39536797,18.80592089
104,-18.82210685,-0.60704966,3.36446413,19.13007670
105,-19.12200758,-0.67081709,3.33989649,19.42308106
106,-19.39231972,-0.73071182,3.32026470,19.68807156
107,-19.63636696,-0.78700767,3.30445662,19.92801350
108,-19.85718299,-0.83995703,3.29159731,20.14566596
109,-20.05751305,-0.88979268,3.28100461,20.34356291
110,-20.23982149,-0.93672933,3.27215129,20.52400570
111,-20.40630420,-0.98096518,3.26463319,20.68906411
112,-20.55890442,-1.02268323,3.25814291,20.84058366
113,-20.69933089,-1.06205255,3.25244823,20.98019719
114,-20.82907739,-1.09922944,3.24737489,21.10933950
115,-20.94944293,-1.13435846,3.24279270,21.22926359
116,-21.06155175,-1.16757338,3.23860482,21.34105787
