sample_local,Bx_nT,By_nT,Bz_nT,mag_nT
0,2.53718516,-2.09366594,-3.07480563,4.50279638
1,4.18734225,-1.17432688,-3.27817982,5.44603908
2,5.87785038,0.34845394,-3.30677906,6.75317207
3,7.56536869,2.69886527,-3.05696408,8.59439972
4,9.18254420,6.10406116,-2.39780075,11.28397665
5,10.63114905,10.74482973,-1.18069747,15.16135688
6,11.77576352,16.68913984,0.73896772,20.43873940
7,12.43845821,23.81933662,3.46733958,27.09425185
8,12.39358784,31.77121697,7.02881536,34.81975722
9,11.35999649,39.90740703,11.32556264,43.01068501
10,8.98790315,47.34587778,16.11972829,50.81594421
11,4.84444982,53.05612929,21.06328054,57.28946968
12,-1.57857552,56.02046487,25.79239641,61.69304740
13,-10.78148343,55.43396531,30.06418575,63.97671576
14,-23.03948661,50.88180363,33.82585063,65.29903563
15,-38.10337788,42.40516042,37.00380223,67.96577386
16,-55.16643069,30.43523808,38.87602412,74.03366831
17,-73.64163638,15.86008472,37.48462300,84.14113059
18,-94.45420245,0.73431784,30.44907242,99.24354686
19,-119.57242872,-10.72306599,17.86849626,121.37476267
20,-148.10963162,-13.18378541,4.39645041,148.76022301
21,-173.28868175,-4.65617863,-3.73825854,173.39152747
22,-186.48029225,9.72237307,-4.47858757,186.78726317
23,-185.11185733,20.07928875,-1.31412073,186.20232134
24,-175.07250412,22.45833236,0.92523620,176.50953078
25,-165.32368418,17.82933908,0.39652913,166.28278058
26,-160.96486604,11.74216067,-1.26540487,161.39754547
27,-160.93290634,9.43996547,-1.35279064,161.21520814
28,-160.76074392,12.51022220,1.61105269,161.25482299
29,-156.60381920,19.00751432,7.32192237,157.92293163
30,-147.26385489,25.66551465,14.48732393,150.18403428
31,-133.82671829,29.93709734,21.80504724,138.85705027
32,-118.28843493,30.79546888,28.45557063,125.49993721
33,-102.41409510,28.50771386,34.09891981,111.64261264
34,-87.25240867,24.00980821,38.64420813,98.40136448
35,-73.17693884,18.33817034,42.02436578,86.35508201
36,-60.18217406,12.29486246,44.08696847,75.60898429
37,-48.21497259,6.35246466,44.61944637,65.99948776
38,-37.40218635,0.73387442,43.47302299,57.35299333
39,-28.10159581,-4.42496920,40.71636208,49.66993236
40,-20.77382157,-9.31156761,36.73500476,43.21709765
41,-15.75236215,-13.18668363,32.21079511,38.20419951
42,-13.04178983,-15.64696356,27.97205676,34.60277027
43,-12.25650865,-16.42325881,24.77457958,32.15159759
44,-12.72672223,-15.47916284,23.11006925,30.58838409
45,-13.70390031,-13.04718388,23.11737158,29.87371352
46,-14.55931102,-9.56418820,24.61190265,30.15282715
47,-14.89894736,-5.55081967,27.19439463,31.50119570
48,-14.57850306,-1.67431269,30.38068663,33.73903073
49,-13.64822172,1.76455134,33.70775219,36.40879228
50,-12.27139547,4.68801779,36.79734997,39.07185205
51,-10.65013393,6.99852216,39.37994872,41.39063936
52,-8.97416521,8.68883661,41.29151758,43.13955200
53,-7.39416350,9.81010965,42.45654185,44.19807520
54,-6.01383029,10.44408523,42.86699829,44.52891885
55,-4.89329457,10.68275512,42.56270197,44.15483199
56,-4.05767414,10.61544285,41.61516014,43.13900671
57,-3.50677202,10.32182661,40.11516960,41.56999383
58,-3.22377739,9.86907475,38.16356971,39.55059329
59,-3.18214833,9.31150558,35.86437939,37.18983615
60,-3.35060129,8.69160456,33.31965909,34.59725713
61,-3.69647910,8.04163602,30.62563739,31.87885715
62,-4.18787458,7.38539949,27.86982244,29.13433408
63,-4.79486951,6.73989321,25.12894477,26.45526034
64,-5.49018201,6.11677930,22.46764713,23.92388461
65,-6.24943985,5.52361883,19.93786259,21.61213150
66,-7.05122936,4.96488339,17.57881945,19.58021440
67,-7.87701769,4.44276629,15.41759469,17.87422182
68,-8.71100795,3.95782190,13.47011858,16.52241230
69,-9.53996141,3.50946166,11.74251806,15.53106292
70,-10.35300486,3.09633273,10.23267900,14.88219425
71,-11.14143186,2.71660198,8.93191019,14.53583330
72,-11.89850158,2.36816481,7.82660229,14.43739062
73,-12.61923700,2.04879513,6.89979247,14.52755451
74,-13.30022343,1.75625000,6.13256670,14.75088918
75,-13.93940874,1.48833998,5.50525494,15.06087991
76,-14.53590735,1.24297405,4.99839628,15.42146401
77,-15.08981013,1.01818609,4.59347081,15.80629769
78,-15.60200304,0.81214820,4.27341092,16.19704061
79,-16.07399720,0.62317511,4.02291569,16.58148316
80,-16.50777271,0.44972249,3.82859971,16.95190213
81,-16.90563843,0.29038152,3.67901008,17.30375819
82,-17.27010896,0.14387116,3.56454574,17.63471998
83,-17.60379965,0.00902930,3.47731010,17.94395523
84,-17.90933967,-0.12610988,3.41092423,18.23169644
85,-18.18930262,-0.25152549,3.36032232,18.49880431
86,-18.44615357,-0.36730460,3.32154626,18.74641736
87,-18.68221102,-0.47429930,3.29155112,18.97588673
88,-18.89962188,-0.57327981,3.26802896,19.18865212
89,-19.10034776,-0.66494243,3.24925498,19.38615720
90,-19.28616027,-0.74991687,3.23395722,19.56979389
91,-19.45864359,-0.82877289,3.22120924,19.74086786
92,-19.61920236,-0.90202630,3.21034379,19.90057939
93,-19.76907342,-0.97014437,3.20088489,20.05001517
94,-19.90933987,-1.03355074,3.19249561,20.19014783
95,-20.04094636,-1.09262976,3.18493858,20.32184058
