sample_local,Bx_nT,By_nT,Bz_nT,mag_nT
0,3.15577933,-2.06870313,-2.56406172,4.56211445
1,4.47947580,-1.54312933,-2.67021521,5.43847413
2,5.81788829,-0.74554681,-2.68524203,6.45090606
3,7.14579430,0.41116784,-2.57095134,7.60534193
4,8.42572056,2.02163612,-2.27982119,8.95976363
5,9.60329152,4.17723876,-1.75603222,10.61867133
6,10.60120260,6.94902292,-0.93902249,12.71047518
7,11.31147731,10.36382761,0.22980480,15.34311741
8,11.58564047,14.37469938,1.79783143,18.54969663
9,11.22275845,18.82917408,3.79269073,22.24573233
10,9.95668605,23.44257647,6.22156442,26.21827326
11,7.44761653,27.78750570,9.08815330,30.16963698
12,3.29053174,31.31286123,12.47019248,33.86485757
13,-2.93657670,33.40138583,16.50733669,37.37336248
14,-11.55794144,33.45826012,21.32936537,41.32775106
15,-22.61913806,30.99776985,26.78374316,46.79589768
16,-35.73312485,25.43330254,31.91495845,54.24272912
17,-50.19137437,16.93200754,34.70122463,63.32489188
18,-65.58955449,6.12823125,32.80977375,73.59365550
19,-83.00856346,-5.01747725,25.54358121,86.99466206
20,-104.29192888,-13.02540070,15.38323386,106.22199102
21,-128.96946907,-14.40478789,6.86864863,129.95306923
22,-152.27501584,-8.30420236,3.28104821,152.53657104
23,-167.22601514,2.27531868,4.53185800,167.30288387
24,-169.85827204,12.07019276,8.13159166,170.48062916
25,-162.42763431,17.28424115,11.50159130,163.74910070
26,-151.80546462,16.98561502,13.29943795,153.33064030
27,-144.69513710,12.46366996,13.36949856,145.84501795
28,-142.87632137,6.10002569,12.20343614,143.52622539
29,-144.53288824,0.24270285,10.57032214,144.91910295
30,-146.57143521,-2.79138933,9.60515269,146.91234269
31,-146.56611345,-2.61729152,9.87231694,146.92153847
32,-143.51183077,0.00665171,11.35919058,143.96067805
33,-137.59199650,4.30043312,13.93623272,138.36281946
34,-129.59141322,9.43087380,17.34241984,131.08636576
35,-120.35682778,14.47617245,21.21065780,123.06590741
36,-110.80048279,18.36619489,25.08249718,115.07908484
37,-101.38528754,20.90198773,28.66524020,107.41306074
