sample_local,Bx_nT,By_nT,Bz_nT,mag_nT
0,9.42564764,-2.10436401,-2.70383178,10.02905218
1,10.60170384,-1.66591784,-2.60873302,11.04431503
2,11.77101313,-1.08452701,-2.44374309,12.07082554
3,12.91746329,-0.33065542,-2.19823555,13.10734261
4,14.01903076,0.62577889,-1.86159013,14.15592952
5,15.04570894,1.81271241,-1.42370279,15.22124217
6,15.95680592,3.25217558,-0.87552414,16.30836729
7,16.69750307,4.95544981,-0.20943902,17.41858078
8,17.19462682,6.91730419,0.58087193,18.54296905
9,17.35174545,9.10972697,1.50168022,19.65515807
10,17.04403690,11.47589160,2.56240366,20.70654955
11,16.11398275,13.92545008,3.78169303,21.63052940
12,14.36991498,16.33251309,5.19701438,22.36636758
13,11.59075904,18.53763769,6.87699258,22.91904739
14,7.54164842,20.35446964,8.93274977,23.47285483
15,2.00546391,21.58006471,11.51927493,24.54413928
16,-5.16718772,22.00542910,14.81126244,27.02428970
17,-13.99538885,21.42074576,18.93360283,31.83081171
18,-24.31505080,19.61146816,23.83329042,39.29194715
19,-35.78015177,16.35222620,29.10911977,48.93828170
20,-47.97500221,11.42818413,33.87466877,59.83057257
21,-60.66543256,4.73772994,36.79776696,71.11129619
22,-74.11279957,-3.47925622,36.46588902,82.67147843
23,-89.21637516,-12.33458485,32.04444699,95.59576435
24,-107.17694798,-20.11917852,24.08479344,111.67702000
25,-128.59444073,-24.57420925,14.78234663,131.75332906
26,-152.43015534,-23.72992643,6.89250472,154.42010325
27,-175.65218974,-16.97525275,2.65552422,176.49051752
28,-194.10213032,-5.68008796,2.87755914,194.20654145
29,-204.24803503,7.11695327,6.77732058,204.48433415
30,-204.79908351,18.22946704,12.54606398,205.99121777
31,-197.26414311,24.37112072,18.18516453,199.59407278
32,-185.23628432,24.26658921,22.10893329,188.12270813
33,-173.25152656,18.57505061,23.79099786,175.86112572
34,-164.41842884,9.32607376,23.51622625,166.35326354
35,-160.06034626,-0.89409424,22.05599915,161.57531045
36,-159.75852399,-9.72221685,20.31667459,161.33838587
37,-161.94077701,-15.53325423,19.07575254,163.79860067
38,-164.66590411,-17.62282011,18.84116723,166.67457319
39,-166.27711098,-16.11817874,19.81882538,168.22799755
40,-165.75373161,-11.73586470,21.95377368,167.61264344
41,-162.76015121,-5.49747465,25.00990794,164.76220606
42,-157.49515354,1.52151413,28.65985827,160.08880620
43,-150.46652504,8.37346474,32.56465970,154.17764796
44,-142.28304928,14.34252125,36.43095687,147.57163904
45,-133.50796548,18.97964186,40.04152515,140.66956809
46,-124.58007231,21.97628425,43.24047323,133.68952843
47,-115.79874585,23.45718669,45.97422639,126.78019814
48,-107.31684977,23.61474075,48.24697452,120.00971951
49,-99.14751643,22.67702609,50.07221463,113.36535716
50,-91.23919364,20.89113628,51.46610676,106.81661938
51,-83.50754199,18.49235104,52.43471053,100.32385302
52,-75.86457277,15.68349748,52.96691916,93.84508522
53,-68.24128715,12.62381534,53.03331270,87.34280876
54,-60.60401580,9.42637208,52.59061214,80.79279490
55,-52.96457706,6.16283477,51.59090819,74.19466803
56,-45.38408656,2.87409628,49.99431225,67.58259391
57,-37.97006124,-0.39632440,47.78314230,61.03368997
58,-30.86659404,-3.58695669,44.97530641,54.66617851
59,-24.23798360,-6.68099001,41.63434288,48.63675548
60,-18.26111845,-9.65539816,37.87379170,43.14069145
61,-13.11458101,-12.42083467,33.85431455,38.37165598
62,-8.83086220,-14.86503981,29.77320803,34.42960140
63,-5.42211511,-16.86445671,25.84744841,31.33528078
64,-2.83613493,-18.30083326,22.29279584,28.98159598
65,-0.96313104,-19.07924403,19.30237592,27.15744631
66,0.34994599,-19.14357054,17.02826386,25.62343703
67,1.28028152,-18.48615617,15.56888295,24.20262810
68,2.00871074,-17.14987600,14.96371357,22.84876123
69,2.70117801,-15.22271589,15.19529177,21.67773821
70,3.49463712,-12.82655748,16.19717386,20.95427179
71,4.48868224,-10.10280155,17.86574823,21.00951754
72,5.74296389,-7.19760515,20.07357651,22.08473744
73,7.27947610,-4.24900240,22.68224752,24.19770952
74,9.08825260,-1.37731973,25.55332689,27.15632265
75,11.13488477,1.32918326,28.55666394,30.67956067
76,13.36846727,3.85295723,31.57591084,34.50506255
77,15.72894587,6.08302667,34.51152814,38.41156761
78,18.15325231,7.98904174,37.28178079,42.22909585
79,20.57997248,9.56575080,39.82229791,45.83507682
80,22.95256175,10.82275979,42.08473068,49.14343066
81,25.22128613,11.78032718,44.03494369,52.09573541
82,27.34414574,12.46561567,45.65105766,54.65448697
83,29.28705139,12.90957196,46.92155019,56.79806598
84,31.02349984,13.14448185,47.84352951,58.51699122
