sample_local,Bx_nT,By_nT,Bz_nT,mag_nT
0,9.63299853,-2.13465352,-2.74570043,10.24159544
1,10.81713821,-1.68492543,-2.65010632,11.26377007
2,11.99448911,-1.08866441,-2.48426279,12.29733796
3,13.14884752,-0.31564648,-2.23753037,13.34160283
4,14.25807300,0.66488373,-1.89929303,14.39937603
5,15.29201112,1.88145242,-1.45947237,15.47628918
6,16.20978523,3.35650714,-0.90906947,16.57859115
7,16.95634940,5.10147012,-0.24054775,17.70877312
8,17.45825557,7.11086507,0.55229901,18.85895341
9,17.61874779,9.35594638,1.47557870,20.00328320
10,17.31263013,11.77858781,2.53845836,21.09279649
11,16.38196183,14.28654240,3.75918051,22.05913428
12,14.63460063,16.75144977,5.17453662,22.83765387
13,11.84892481,19.01092131,6.85209057,23.42569729
14,7.78938872,20.87534879,8.90148519,23.99356585
15,2.23794706,22.13844407,11.47608592,25.03636677
16,-4.95612120,22.58801496,14.74974059,27.42875143
17,-13.81371015,22.01137833,18.84917002,32.10312406
18,-24.17275556,20.19146848,23.72867045,39.43434179
19,-35.68841594,16.90036984,29.00229909,48.99406990
20,-47.94322657,11.91966139,33.80613469,59.86222552
21,-60.69580861,5.14151906,36.82991006,71.18187042
22,-74.19458383,-3.20398220,36.66604386,82.82210179
23,-89.32597935,-12.23941115,32.48229893,95.83336327
24,-107.29139520,-20.25776655,24.72769112,111.95212949
25,-128.71896517,-24.97815534,15.35092031,132.01564677
26,-152.62590700,-24.37392363,7.20614354,154.72777431
27,-176.03969888,-17.75187224,2.65742997,176.95244130
28,-194.82565831,-6.40926673,2.62996437,194.94879468
29,-205.41261455,6.63568708,6.42817947,205.62027150
30,-206.41358615,18.12837038,12.24112644,207.56938969
31,-199.22194256,24.71255122,17.93274749,201.54819775
32,-187.35721127,24.95123219,21.99818541,190.28717446
33,-175.11897616,19.40432540,23.83778145,177.79601649
34,-165.93801308,10.07274706,23.67854614,167.92128503
35,-161.25289319,-0.41223769,22.26659928,162.78349715
36,-160.73126094,-9.59222011,20.51535533,162.31891059
37,-162.83833780,-15.73463987,19.22889904,164.72296047
38,-165.61993239,-18.05054365,18.94533599,167.67441632
39,-167.37192035,-16.62585662,19.89263451,169.36793007
40,-167.01506894,-12.18058075,22.02530389,168.90089938
41,-164.16376022,-5.77210120,25.10571084,166.17266333
42,-158.98611612,1.47400238,28.79857498,161.58005980
43,-151.98006032,8.56161521,32.75532996,155.70533591
44,-143.76055654,14.73791815,36.67447617,149.09500679
45,-134.90596786,19.53189637,40.33340685,142.15448937
46,-125.87653561,22.63042423,43.57462780,135.11397598
47,-116.99230223,24.15641322,46.34331056,128.13443532
48,-108.39564362,24.30909492,48.64305144,121.27115941
49,-100.11265979,23.32755825,50.48793242,114.52401907
50,-92.09670648,21.47035070,51.89464840,107.86952228
51,-84.26447817,18.98278716,52.86937494,101.27200648
52,-76.52648350,16.07538245,53.40061001,94.69079019
53,-68.81114345,12.91251612,53.45815481,88.08791547
54,-61.08243132,9.61017187,52.99784955,81.43826420
55,-53.35098507,6.24137661,51.97116984,74.74145359
56,-45.67840955,2.84766753,50.33825766,68.03356887
57,-38.17436903,-0.52332409,48.08241932,61.39605335
58,-30.98629065,-3.81063234,45.22367364,54.95317811
59,-24.28220118,-6.99741364,41.82874672,48.86955232
60,-18.24147848,-10.05562240,38.01516404,43.34766171
61,-13.04250247,-12.89141204,33.94788764,38.58438092
62,-8.72108423,-15.38801192,29.82823132,34.67811420
63,-5.28870156,-17.41813311,25.87631848,31.63772406
64,-2.69082387,-18.86125952,22.30974143,29.33789710
65,-0.81417892,-19.62209223,19.32193419,27.55043615
66,0.49822653,-19.64610232,17.06381621,26.02674374
67,1.42728435,-18.92892270,15.63148099,24.59033251
68,2.15675584,-17.51791342,15.06133938,23.20286254
69,2.85443393,-15.50612870,15.33259027,21.99263842
70,3.65800009,-13.02051204,16.37560283,21.23852788
71,4.66681168,-10.20704656,18.08403197,21.28368255
72,5.93958961,-7.21568223,20.32832876,22.37377360
73,7.49700912,-4.18731272,22.96864100,24.52136218
74,9.32766882,-1.24418510,25.86571711,27.52432967
75,11.39581537,1.52829139,28.88911185,31.09310319
76,13.64941977,4.10619970,31.92258142,34.96024515
77,16.02758673,6.38032646,34.86696643,38.90112402
78,18.46669795,8.32106905,37.64108118,42.74470863
79,20.90505389,9.92398261,40.18118928,46.36846645
80,23.28604402,11.19961161,42.43959996,49.68692777
81,25.56003652,12.16919811,44.38281823,52.64256266
82,27.68525219,12.86087224,45.98956219,55.19886823
83,29.62789766,13.30649227,47.24884999,57.33523246
84,31.36180571,13.53917633,48.15826779,59.04312754
85,32.86778453,13.59148724,48.72246385,60.32328132
86,34.13282802,13.49418651,48.95187006,61.18356479
87,35.14929256,13.27545542,48.86162727,61.63740020
88,35.91410753,12.96047987,48.47067949,61.70254394
89,36.42805712,12.57130514,47.80100000,61.40013567
90,36.69514958,12.12688039,46.87691599,60.75393390
91,36.72207620,11.64322861,45.72450490,59.78968139
92,36.51775334,11.13369179,44.37104283,58.53456111
93,36.09293658,10.60921450,42.84449274,57.01671739
94,35.45989407,10.07863935,41.17302581,55.26482708
95,34.63212652,9.54899657,39.38457466,53.30771280
96,33.62412252,9.02577617,37.50642004,51.17399530
97,32.45113969,8.51317618,35.56481487,48.89178553
98,31.12900429,8.01432392,33.58465029,46.48841825
99,29.67392405,7.53146947,31.58916850,43.99023036
100,28.10231073,7.06615222,29.59972610,41.42238720
101,26.43061069,6.61934236,27.63561074,38.80876004
102,24.67514283,6.19155969,25.71391204,36.17185864
103,22.85194450,5.78297219,23.84944640,33.53282314
104,20.97662637,5.39347715,22.05473344,30.91148196
105,19.06423792,5.02276726,20.34002070,28.32648585
106,17.12914499,4.67038397,18.71335164,25.79553497
107,15.18492124,4.33576013,17.18067142,23.33572624
108,13.24425471,4.01825396,15.74596409,20.96406527
109,11.31887081,3.71717558,14.41141452,18.69821113
110,9.41947218,3.43180782,13.17758848,16.55755414
111,7.55569596,3.16142208,12.04362421,14.56475249
112,5.73608825,2.90529053,11.00742969,12.74782059
113,3.96809522,2.66269512,10.06587974,11.14260561
114,2.25807004,2.43293428,9.21500851,9.79461236
115,0.61129441,2.21532764,8.45019305,8.75711825
116,-0.96798677,2.00921932,7.76632483,8.08020804
117,-2.47651922,1.81398004,7.15796670,7.78846316
118,-3.91198332,1.62900840,6.61949368,7.85970601
119,-5.27293027,1.45373139,6.14521643,8.22683497
120,-6.55871212,1.28760446,5.72948721,8.80350235
121,-7.76940752,1.13011124,5.36678836,9.51016624
122,-8.90574486,0.98076285,5.05180405,10.28566534
123,-9.96902442,0.83909718,4.77947619,11.08733172
124,-10.96104085,0.70467789,4.54504583,11.88690157
125,-11.88400742,0.57709339,4.34408148,12.66624306
126,-12.74048297,0.45595575,4.17249593,13.41407933
127,-13.53330253,0.34089957,4.02655310,14.12372542
128,-14.26551232,0.23158089,3.90286668,14.79158003
129,-14.94030972,0.12767602,3.79839184,15.41612585
130,-15.56098850,0.02888047,3.71041176,15.99726079
131,-16.13088963,-0.06509210,3.63651998,16.53584334
132,-16.65335769,-0.15263013,3.57459999,17.03336089
133,-17.13170292,-0.23523717,3.52280300,17.49173298
134,-17.56916880,-0.31390099,3.47952473,17.91316048
135,-17.96890477,-0.38883919,3.44338197,18.29998945
136,-18.33394409,-0.46025589,3.41318965,18.65462958
137,-18.66718626,-0.52834297,3.38793855,18.97949200
138,-18.97138376,-0.59328088,3.36677438,19.27694358
139,-19.24913269,-0.65523929,3.34897817,19.54927371
140,-19.50286684,-0.71437780,3.33394826,19.79867070
141,-19.73485486,-0.77084653,3.32118395,20.02720559
142,-19.94720010,-0.82478673,3.31027080,20.23682183
143,-20.14184265,-0.87633132,3.30086757,20.42932962
