sample_local,Bx_nT,By_nT,Bz_nT,mag_nT
0,4.91236929,-2.14840222,-3.00660757,6.14708819
1,6.33516335,-1.59155552,-3.12092568,7.23930389
2,7.77376004,-0.74828420,-3.13892283,8.41689438
3,9.20140324,0.47161946,-3.02134357,9.69622418
4,10.57854921,2.16512928,-2.71996294,11.13515543
5,11.84811946,4.42455490,-2.17890195,12.83363684
6,12.92939118,7.31987386,-1.33840631,14.91780952
7,13.71018966,10.87472846,-0.14159200,17.49997336
8,14.03701221,15.03754047,1.45653013,20.62248325
9,13.70301118,19.65157994,3.48085881,24.20895470
10,12.43509795,24.43099254,5.93537701,28.04877462
11,9.88504757,28.95309125,8.81864993,31.83966465
12,5.63672344,32.67864730,12.16044203,35.32057461
13,-0.74839704,35.00748882,16.06415080,38.52455467
14,-9.62066876,35.36191264,20.72117239,42.09975199
15,-21.06391155,33.26780931,26.17058495,47.27932976
16,-34.73195979,28.39838838,31.71846827,54.94395984
17,-49.92284789,20.61122211,35.69960791,64.74237580
18,-66.14350960,10.15699845,35.80542702,75.89569872
19,-83.98627846,-1.64278924,30.60056730,89.40239619
20,-105.21536717,-11.56767170,21.24131392,107.95961251
21,-130.84390803,-15.83839814,11.42813349,132.29355751
22,-157.16190047,-12.31900111,5.06936967,157.72545532
23,-176.79349079,-2.47792888,3.77918899,176.85123915
24,-184.26754852,9.06850475,6.40989269,184.60187957
25,-179.89838421,17.15829733,10.42792048,181.01540635
26,-169.32341681,19.41001108,13.53862356,170.96918534
27,-159.43925204,15.84528697,14.56313152,160.88515472
28,-154.38460038,8.82615289,13.47126950,155.22235957
29,-154.21178454,2.12026601,11.67920626,154.66794716
30,-156.25155212,-2.07451616,10.38990314,156.61034846
31,-157.41256690,-2.90467952,10.30159812,157.77603210
32,-155.74680509,-0.55291721,11.70348854,156.18689016
33,-150.78055652,4.14906198,14.52188733,151.53506575
34,-143.05624761,10.03428626,18.39917868,144.58321707
35,-133.51382584,15.83464034,22.82861405,136.37383599
36,-123.05972193,20.30346892,27.25500646,127.66660248
37,-112.37479943,23.09907294,31.32352810,118.92361468
38,-101.88038102,24.15724848,34.88028080,110.36221581
39,-91.80131237,23.62597642,37.86301304,102.07485229
40,-82.17424058,21.79529737,40.26005407,94.06653367
41,-72.86449493,19.02098368,42.06908882,86.26030765
42,-63.78989166,15.65289117,43.26631410,78.65200071
43,-54.90928571,11.98153011,43.79366392,71.24936295
44,-46.24213823,8.21104125,43.56679911,64.06108437
45,-37.88353438,4.46453640,42.50173005,57.10946786
46,-30.00986536,0.80597468,40.55371850,50.45637421
47,-23.02965512,-2.76319251,37.75840837,44.31362826
48,-17.08394170,-6.17299217,34.26260345,38.78005791
49,-12.33356007,-9.24572057,30.33235747,34.02428489
50,-8.83660509,-11.79616311,26.34477407,30.18745061
51,-6.52618493,-13.63080828,22.71992531,27.28708541
52,-5.21427444,-14.58250174,19.82754957,25.15888982
53,-4.62108091,-14.55576762,17.94788256,23.56589162
54,-4.42343141,-13.55707639,17.23314475,22.36833350
55,-4.30925013,-11.69995879,17.69608080,21.64740050
56,-4.02384684,-9.18462130,19.22452629,21.68250499
57,-3.39798494,-6.26048835,21.61424084,22.75775523
58,-2.35486031,-3.18413965,24.60936596,24.92599056
59,-0.89228969,-0.21845877,27.94081846,27.95591603
60,0.91687403,2.45563665,31.35629483,31.46566438
61,2.95743150,4.76441318,34.63948047,35.09044943
62,5.11505256,6.65043572,37.61914745,38.54338222
63,7.27858084,8.08886923,40.17052801,41.61825158
64,9.34946260,9.12127811,42.19922860,44.17448426
65,11.24678407,9.79124299,43.66407813,46.14011606
66,12.90894129,10.15183419,44.55970207,47.48965730
67,14.29303324,10.25836328,44.89771368,48.22167055
68,15.37292818,10.16361002,44.70768537,48.35703693
69,16.13672523,9.91506607,44.03254297,47.93294563
70,16.58409798,9.55366487,42.92475425,46.99829087
71,16.72380760,9.11351357,41.44314076,45.61004041
72,16.57152456,8.62223842,39.65016161,43.83028333
73,16.14799902,8.10165925,37.60956264,41.72378167
74,15.47756265,7.56860030,35.38433167,39.35593454
75,14.58691611,7.03571635,33.03493762,36.79112025
76,13.50414858,6.51226524,30.61785498,34.09141638
77,12.25793884,6.00479265,28.18438462,31.31571707
78,10.87524202,5.51771751,25.77978127,28.51864684
79,9.38422667,5.05381908,23.44268945,25.75198024
80,7.81502177,4.61463411,21.20487789,23.06547766
81,6.19301321,4.20077506,19.09124947,20.50550487
82,4.54173294,3.81218151,17.12009288,18.11788195
83,2.88262141,3.44831611,15.30353338,15.94987536
84,1.23485645,3.10831540,13.64813553,14.05197846
85,-0.38475309,2.79110438,12.15560959,12.47786613
86,-1.96181174,2.49548232,10.82357496,11.27944644
87,-3.48432407,2.22018602,9.64633910,10.49388385
88,-4.94262939,1.96393563,8.61565630,10.12502651
89,-6.32929117,1.72546697,7.72143818,10.13201710
90,-7.63894937,1.50355370,6.95239536,10.43791274
91,-8.86814383,1.29702179,6.29659709,10.95323584
92,-10.01511730,1.10475831,5.74194201,11.59711013
93,-11.07960613,0.92571616,5.27653906,12.30676589
94,-12.06262634,0.75891568,4.88900168,13.03783895
95,-12.96626150,0.60344438,4.56866208,13.76084138
96,-13.79345817,0.45845506,4.30571428,14.45713819
97,-14.54783335,0.32316313,4.09129619,15.11564071
98,-15.23349738,0.19684335,3.91752117,15.73038976
99,-15.85489463,0.07882629,3.77746950,16.29887030
100,-16.41666318,-0.03150544,3.66514970,16.82085446
101,-16.92351432,-0.13472073,3.57543810,17.29760805
102,-17.38013128,-0.23377409,3.50400461,17.73137508
103,-17.79108674,-0.32704833,3.44723083,18.12493113
104,-18.16077762,-0.41448487,3.40212555,18.48134465
105,-18.49337594,-0.49650504,3.36624167,18.80380424
106,-18.79279373,-0.57349733,3.33759724,19.09548509
107,-19.06266044,-0.64581960,3.31460256,19.35946012
108,-19.30631093,-0.71380166,3.29599446,19.59864112
109,-19.52678226,-0.77774753,3.28077832,19.81574180
110,-19.72681775,-0.83793756,3.26817775,20.01325720
111,-19.90887656,-0.89463043,3.25759177,20.19345522
112,-20.07514766,-0.94806491,3.24855881,20.35837703
113,-20.22756677,-0.99846149,3.24072697,20.50984383
114,-20.36783529,-1.04602391,3.23382977,20.64946817
115,-20.49744042,-1.09094051,3.22766655,20.77866806
116,-20.61767552,-1.13338552,3.22208691,20.89868298
117,-20.72966030,-1.17352018,3.21697851,21.01059057
