sample_local,Bx_nT,By_nT,Bz_nT,mag_nT
0,8.59582769,-2.03921377,-2.49445669,9.17981267
1,9.73945775,-1.62475887,-2.40219501,10.16205784
2,10.87651384,-1.07493304,-2.24211041,11.15710954
3,11.99127223,-0.36161730,-2.00377157,12.16291401
4,13.06221666,0.54390207,-1.67670323,13.18061710
5,14.05999867,1.66838969,-1.25087678,14.21378836
6,14.94477325,3.03308445,-0.71723085,15.26631156
7,15.66280031,4.64906422,-0.06803521,16.33835182
8,16.14226237,6.51169202,0.70326399,17.42037163
9,16.28840645,8.59452749,1.60331990,18.48644698
10,15.97845161,10.84340739,2.64213770,19.49028710
11,15.05731328,13.17175291,3.83927475,20.37051272
12,13.33617256,15.45843929,5.23359666,21.07622779
13,10.59724594,17.54954316,6.89578789,21.62960881
14,6.60945331,19.26463066,8.93961852,22.24247393
15,1.16004937,20.40664144,11.52250457,23.46369197
16,-5.89533498,20.77195060,14.81903706,26.18840899
17,-14.57035798,20.15516477,18.94698852,31.26522625
18,-24.69631078,18.34511332,23.83299484,38.91609682
19,-35.92641388,15.11969257,29.03752887,48.60545649
20,-47.85331414,10.27040494,33.58201588,59.35631965
21,-60.26545315,3.71119967,35.95744484,70.27542732
22,-73.45941884,-4.28670724,34.88325687,81.43404500
23,-88.36441225,-12.79018477,29.87372185,94.15039796
24,-106.16999930,-20.05555707,21.83240748,110.23133918
25,-127.39019995,-23.84743755,12.96731477,130.25019989
26,-150.83371236,-22.32151151,5.93212409,152.59177159
27,-173.32183852,-15.05639778,2.65932267,173.99490458
28,-190.66065239,-3.70323503,3.59876801,190.73056769
29,-199.17624957,8.52460377,7.74507614,199.50898091
30,-197.98957457,18.65881172,13.28541657,199.31012314
31,-189.59349793,23.71209628,18.40549693,191.95499546
32,-177.83438757,22.78794966,21.86955910,180.61737920
33,-166.68077105,16.60276181,23.23609179,169.10957128
34,-158.91863680,7.43124915,22.74889192,160.71051201
35,-155.53750431,-2.22343066,21.17161399,156.98756680
36,-155.87258549,-10.22330132,19.49252595,157.41898667
37,-158.25544052,-15.21420548,18.40093884,160.04640281
38,-160.79677710,-16.71365472,18.31047096,162.69672131
39,-161.98884462,-14.96465166,19.36063476,163.82661798
40,-160.98789611,-10.68535808,21.47020354,162.76439786
41,-157.60550043,-4.81496402,24.41104979,159.55744106
42,-152.12776022,1.69182455,27.88342276,154.67127388
43,-145.08728933,8.00555455,31.58096624,148.70026179
44,-137.07046647,13.50048657,35.23804959,142.16995483
45,-128.59252221,17.78070619,38.65610501,135.44919614
46,-120.03818057,20.54530421,41.68615275,128.72066520
47,-111.64998612,21.92594832,44.27899889,122.09462049
48,-103.54448892,22.09926475,46.44045913,115.61381809
49,-95.74834431,21.26672873,48.18214637,109.27734632
50,-88.21232144,19.64793816,49.51844278,103.05111015
51,-80.83121194,17.45439709,50.45498163,96.87128560
52,-73.52204720,14.87108558,50.98194965,90.69619508
53,-66.22383181,12.04568859,51.07259241,84.49321990
54,-58.90998896,9.08507696,50.68679682,78.24370131
55,-51.59567290,6.05832638,49.77913171,71.94983485
56,-44.34011809,3.00521195,48.31022429,65.64263205
57,-37.24379508,-0.04128311,46.25984175,59.38918197
58,-30.44002364,-3.01735922,43.63960268,53.29272387
59,-24.08102557,-5.90603477,40.50299355,47.48967809
60,-18.33510651,-8.69760301,36.95046960,42.15639492
61,-13.38006645,-11.31360648,33.12799356,37.47649700
62,-9.23849255,-13.64271003,29.21841288,33.54383599
63,-5.92438902,-15.57241432,25.42643540,30.39904752
64,-3.39268930,-16.99430410,21.95932182,27.97371136
65,-1.54454374,-17.81711329,19.00638983,26.09747106
66,-0.23952460,-17.98311968,16.72071127,24.55671295
67,0.68742948,-17.47758081,15.20587556,23.17664863
68,1.40726396,-16.33173551,14.50954079,21.89138531
69,2.07927643,-14.61917779,14.62405324,20.78236471
70,2.83725369,-12.44678713,15.49309670,20.07507320
71,3.78071485,-9.94231440,17.02245521,20.07255344
72,4.97155862,-7.24101559,19.09266528,21.01615020
73,6.43545043,-4.47344756,21.57153969,22.95121086
74,8.16668117,-1.75588995,24.32507992,25.71939627
75,10.13502501,0.81591693,27.22594592,29.06263209
76,12.29324304,3.23445870,30.15924635,32.72866768
77,14.58419471,5.38003999,33.02585003,36.50137443
78,16.94690026,7.22069205,35.74367284,40.21126670
79,19.32124956,8.75027256,38.24748659,43.73497667
80,21.65132381,9.97596111,40.48777403,46.98467270
81,23.88747151,10.91563028,42.42906679,49.89977944
82,25.98556272,11.59420804,44.04809114,52.43957917
83,27.91106477,12.04061923,45.33193738,54.58011171
84,29.63843597,12.28536694,46.27637695,56.31048030
85,31.14765995,12.35873109,46.88438295,57.62864148
86,32.42473057,12.28951294,47.16486328,58.53989758
87,33.46091385,12.10423308,47.13158819,59.05532846
88,34.25202505,11.82668631,46.80228107,59.19058407
89,34.79775935,11.47776396,46.19783768,58.96493303
90,35.10109490,11.07546651,45.34164172,58.40049054
91,35.16777322,10.63504364,44.25895082,57.52157121
92,35.00585345,10.16921250,42.97633367,56.35412952
93,34.62533188,9.68841756,41.52114639,54.92526414
94,34.03781615,9.20110552,39.92104199,53.26277184
95,33.25624282,8.71399727,38.20351168,51.39474428
96,32.29204222,8.23234510,36.39546027,49.34751285
97,31.16254880,7.76016841,34.52281968,47.15028886
98,29.88375985,7.30046432,32.61020553,44.83036233
99,28.47175696,6.85539225,30.68062183,42.41388810
100,26.94287226,6.42643314,28.75521773,39.92593087
101,25.31350921,6.01452469,26.85309888,37.39033532
102,23.59997116,5.62017501,24.99119475,34.82965433
103,21.81829861,5.24355695,23.18418101,32.26514052
104,19.98411614,4.88458570,21.44445483,29.71680868
105,18.11249099,4.54298192,19.78215920,27.20358133
106,16.21780484,4.21832269,18.20525141,24.74353691
107,14.31364057,3.91008223,16.71960951,22.35429246
108,12.41268542,3.61766418,15.32917046,20.05357126
109,10.52665164,3.34042690,14.03609286,17.86003218
110,8.66621522,3.07770314,12.84093758,15.79446804
111,6.84097302,2.82881514,11.74285952,13.88149332
112,5.05941793,2.59308608,10.73980454,12.15175735
113,3.32893144,2.36984860,9.82870575,10.64431415
114,1.65579265,2.15845104,9.00567466,9.40758929
115,0.04520220,1.95826188,8.26618298,8.49509352
116,-1.49868036,1.76867274,7.60523197,7.95071063
117,-2.97268762,1.58910038,7.01750697,7.78508290
118,-4.37458563,1.41898773,6.49751555,7.96041669
119,-5.70300750,1.25780443,6.03970827,8.40145479
120,-6.95738108,1.10504681,5.63858202,9.02329692
121,-8.13785283,0.96023753,5.28876586,9.75283287
122,-9.24520923,0.82292496,4.98509041,10.53575937
123,-10.28079780,0.69268242,4.72264164,11.33481170
124,-11.24644878,0.56910726,4.49680038,12.12549821
125,-12.14439893,0.45181982,4.30326910,12.89219498
126,-12.97721848,0.34046244,4.13808750,13.62526632
127,-13.74774204,0.23469839,3.99763842,14.31909939
128,-14.45900418,0.13421074,3.87864582,14.97079516
129,-15.11418022,0.03870139,3.77816619,15.57929656
130,-15.71653247,-0.05210999,3.69357487,16.14480114
131,-16.26936217,-0.13848701,3.62254857,16.66835872
132,-16.77596716,-0.21894903,3.56304513,17.15156855
133,-17.23960518,-0.29487773,3.51328173,17.59642260
134,-17.66346267,-0.36718133,3.47171213,18.00515262
135,-18.05062879,-0.43606011,3.43700385,18.38010728
136,-18.40407436,-0.50170178,3.40801573,18.72368097
137,-18.72663542,-0.56428284,3.38377643,19.03825706
138,-19.02100085,-0.62396919,3.36346398,19.32616623
139,-19.28970394,-0.68091684,3.34638688,19.58965622
140,-19.53511710,-0.73527253,3.33196664,19.83087057
141,-19.75944970,-0.78717426,3.31972196,20.05183407
142,-19.96474834,-0.83675189,3.30925458,20.25444386
143,-20.15289929,-0.88412762,3.30023666,20.44046461
144,-20.32563272,-0.92941646,3.29239968,20.61152726
145,-20.48452837,-0.97272672,3.28552477,20.76913029
146,-20.63102233,-1.01416039,3.27943436,20.91464303
147,-20.76641465,-1.05381355,3.27398505,21.04931064
148,-20.89187759,-1.09177674,3.26906145,21.17426004
149,-21.00846417,-1.12813530,3.26457110,21.29050681
150,-21.11711690,-1.16296971,3.26044013,21.39896247
151,-21.21867657,-1.19635587,3.25660970,21.50044208
152,-21.31389079,-1.22836539,3.25303301,21.59567192
