key,status,filename,title,year,entrytype,doi,url,final_source_url,method,note
ronneberger2015u,skipped_existing,ronneberger2015u.pdf,U-net: Convolutional networks for biomedical image segmentation,2015,inproceedings,,,,existing,Existing PDF passed validation and was kept.
patro2024mamba,paywalled_or_no_public_pdf,patro2024mamba.pdf,"Mamba-360: Survey of state space models as transformer alternative for long sequence modelling: Methods, applications, and challenges",2024,article,10.2139/ssrn.4930035,,,failed,"A bibliographic record was found, but no public PDF was reachable."
gu2023mamba,not_found,gu2023mamba.pdf,Mamba: Linear-time sequence modeling with selective state spaces,2023,article,,,,failed,No public PDF source was found.
syed2022depth,skipped_existing,syed2022depth.pdf,"In-depth review of augmented reality: Tracking technologies, development tools, AR displays, collaborative AR, and security concerns",2022,article,,,,existing,Existing PDF passed validation and was kept.
liu2021swin,paywalled_or_no_public_pdf,liu2021swin.pdf,Swin transformer: Hierarchical vision transformer using shifted windows,2021,inproceedings,10.1109/iccv48922.2021.00986,,,failed,"A bibliographic record was found, but no public PDF was reachable."
liu2024vmambavisualstatespace,skipped_existing,liu2024vmambavisualstatespace.pdf,VMamba: Visual state space model,2024,article,,https://arxiv.org/abs/2401.10166,,existing,Existing PDF passed validation and was kept.
tang2023video,paywalled_or_no_public_pdf,tang2023video.pdf,Video representation learning for temporal action detection using global-local attention,2023,article,10.1016/j.patcog.2022.109135,,,failed,"A bibliographic record was found, but no public PDF was reachable."
elman1990finding,paywalled_or_no_public_pdf,elman1990finding.pdf,Finding structure in time,1990,article,10.1207/s15516709cog1402_1,,,failed,"A bibliographic record was found, but no public PDF was reachable."
gu2021efficiently,not_found,gu2021efficiently.pdf,Efficiently modeling long sequences with structured state spaces,2021,article,,,,failed,No public PDF source was found.
NIPS2017_3f5ee243,paywalled_or_no_public_pdf,NIPS2017_3f5ee243.pdf,Attention is All you Need,2017,inproceedings,10.65215/r5bs2d54,,,failed,"A bibliographic record was found, but no public PDF was reachable."
cohen1960coefficient,paywalled_or_no_public_pdf,cohen1960coefficient.pdf,A coefficient of agreement for nominal scales,1960,article,10.1177/001316446002000104,,,failed,"A bibliographic record was found, but no public PDF was reachable."
buda2018systematic,paywalled_or_no_public_pdf,buda2018systematic.pdf,A systematic study of the class imbalance problem in convolutional neural networks,2018,article,10.1016/j.neunet.2018.07.011,,,failed,"A bibliographic record was found, but no public PDF was reachable."
chen2025bilinear,paywalled_or_no_public_pdf,chen2025bilinear.pdf,Bilinear Spatiotemporal Fusion Network: An efficient approach for traffic flow prediction,2025,article,10.1016/j.neunet.2025.107382,,,failed,"A bibliographic record was found, but no public PDF was reachable."
wang2025novel,paywalled_or_no_public_pdf,wang2025novel.pdf,A novel embedded cross framework for high-resolution salient object detection,2025,article,10.1007/s10489-024-06073-x,,,failed,"A bibliographic record was found, but no public PDF was reachable."
liu2025sir,paywalled_or_no_public_pdf,liu2025sir.pdf,SIR-3DCNN: A framework of multivariate time series classification for lung cancer detection,2025,article,10.1109/tim.2025.3563000,,,failed,"A bibliographic record was found, but no public PDF was reachable."
chen2025video,skipped_existing,chen2025video.pdf,Video super resolution based on deformable 3D convolutional group fusion,2025,article,,,,existing,Existing PDF passed validation and was kept.
baltrusaitis2019multimodal,paywalled_or_no_public_pdf,baltrusaitis2019multimodal.pdf,Multimodal Machine Learning: A Survey and Taxonomy,2019,article,10.1109/tpami.2018.2798607,,,failed,"A bibliographic record was found, but no public PDF was reachable."
ngiam2011multimodal,paywalled_or_no_public_pdf,ngiam2011multimodal.pdf,Multimodal Deep Learning,2011,inproceedings,10.1007/978-3-031-53092-0_10,,,failed,"A bibliographic record was found, but no public PDF was reachable."
atrey2010multimodal,paywalled_or_no_public_pdf,atrey2010multimodal.pdf,Multimodal fusion for multimedia analysis: a survey,2010,article,10.1007/s00530-010-0182-0,,,failed,"A bibliographic record was found, but no public PDF was reachable."
ramachandram2017deep,skipped_existing,ramachandram2017deep.pdf,Deep Multimodal Learning: A Survey,2017,article,,,,existing,Existing PDF passed validation and was kept.
tancik2020fourier,paywalled_or_no_public_pdf,tancik2020fourier.pdf,Fourier Features Let Networks Learn High Frequency Functions in Low Dimensional Domains,2020,article,10.48550/arXiv.2006.10739,https://arxiv.org/abs/2006.10739,,failed,"A bibliographic record was found, but no public PDF was reachable."
cho2014learning,skipped_existing,cho2014learning.pdf,Learning Phrase Representations using RNN Encoder--Decoder for Statistical Machine Translation,2014,inproceedings,10.3115/v1/D14-1179,https://aclanthology.org/D14-1179/,,existing,Existing PDF passed validation and was kept.
vaswani2017attention,skipped_existing,vaswani2017attention.pdf,Attention Is All You Need,2017,inproceedings,,https://proceedings.neurips.cc/paper/2017/hash/3f5ee243547dee91fbd053c1c4a845aa-Abstract.html,,existing,Existing PDF passed validation and was kept.
wang2023transportation5,paywalled_or_no_public_pdf,wang2023transportation5.pdf,"Transportation 5.0: The DAO to Safe, Secure, and Sustainable Intelligent Transportation Systems",2023,article,10.1109/tits.2023.3305380,,,failed,"A bibliographic record was found, but no public PDF was reachable."
liang2015counting,skipped_existing,liang2015counting.pdf,Counting and Classification of Highway Vehicles by Regression Analysis,2015,article,10.1109/TITS.2015.2424917,,,existing,Existing PDF passed validation and was kept.
kanathantip2010robust,not_found,kanathantip2010robust.pdf,Robust Vehicle Detection Algorithm with Magnetic Sensor,2010,inproceedings,,,,failed,No public PDF source was found.
cruz2020magland,paywalled_or_no_public_pdf,cruz2020magland.pdf,MagLand: Magnetic Landmarks for Road Vehicle Localization,2020,article,10.1109/tvt.2020.2977599,,,failed,"A bibliographic record was found, but no public PDF was reachable."
haoui2008wireless,paywalled_or_no_public_pdf,haoui2008wireless.pdf,Wireless Magnetic Sensors for Traffic Surveillance,2008,article,10.1016/j.trc.2007.10.004,,,failed,"A bibliographic record was found, but no public PDF was reachable."
cheung2005traffic,paywalled_or_no_public_pdf,cheung2005traffic.pdf,Traffic Measurement and Vehicle Classification with a Single Magnetic Sensor,2005,article,10.1177/0361198105191700119,,,failed,"A bibliographic record was found, but no public PDF was reachable."
wang2018roadside,paywalled_or_no_public_pdf,wang2018roadside.pdf,Roadside Magnetic Sensor System for Vehicle Detection in Urban Environments,2018,article,10.1109/tits.2017.2723908,,,failed,"A bibliographic record was found, but no public PDF was reachable."
taghvaeeyan2014portable,paywalled_or_no_public_pdf,taghvaeeyan2014portable.pdf,"Portable Roadside Sensors for Vehicle Counting, Classification, and Speed Measurement",2014,article,10.1109/tits.2013.2273876,,,failed,"A bibliographic record was found, but no public PDF was reachable."
balid2018intelligent,paywalled_or_no_public_pdf,balid2018intelligent.pdf,Intelligent Vehicle Counting and Classification Sensor for Real-Time Traffic Surveillance,2018,article,10.1109/tits.2017.2741507,,,failed,"A bibliographic record was found, but no public PDF was reachable."
feng2022magmonitor,paywalled_or_no_public_pdf,feng2022magmonitor.pdf,MagMonitor: Vehicle Speed Estimation and Vehicle Classification Through A Magnetic Sensor,2022,article,10.1109/tits.2020.3024652,,,failed,"A bibliographic record was found, but no public PDF was reachable."
zhu2018parkingfsm,paywalled_or_no_public_pdf,zhu2018parkingfsm.pdf,Parking Detection Method Based on Finite-State Machine and Collaborative Decision-Making,2018,article,10.1109/jsen.2018.2871869,,,failed,"A bibliographic record was found, but no public PDF was reachable."
wei2017adaptable,paywalled_or_no_public_pdf,wei2017adaptable.pdf,Adaptable Vehicle Detection and Speed Estimation for Changeable Urban Traffic With Anisotropic Magnetoresistive Sensors,2017,article,10.1109/jsen.2017.2654501,,,failed,"A bibliographic record was found, but no public PDF was reachable."
liu2017threeaxis,paywalled_or_no_public_pdf,liu2017threeaxis.pdf,Vehicle Detection Using Three-Axis AMR Sensors Deployed Along Travel Lane Markings,2017,article,10.1049/iet-its.2017.0100,,,failed,"A bibliographic record was found, but no public PDF was reachable."
marshall1978vehicle,paywalled_or_no_public_pdf,marshall1978vehicle.pdf,Vehicle Detection Using a Magnetic Field Sensor,1978,article,10.1109/t-vt.1978.23725,,,failed,"A bibliographic record was found, but no public PDF was reachable."
noaa_geomag_faq,manual_review,noaa_geomag_faq.pdf,Geomagnetism Frequently Asked Questions,,misc,,,,failed,Closest title-based match was ambiguous and needs human review.
R01,not_found,R01.pdf,国家综合立体交通网规划纲要,2021,misc,,https://www.gov.cn/zhengce/2021-02/24/content_5588654.htm,,failed,No public PDF source was found.
R02,skipped_existing,R02.pdf,2023年度中国主要城市交通分析报告,2024,report,,https://download-report.cn-hangzhou.oss-pub.aliyun-inc.com/download/yearly_report/2023/2023年度中国主要城市交通分析报告final.pdf,,existing,Existing PDF passed validation and was kept.
R03,skipped_existing,R03.pdf,Researches and Applications of Intelligent Transportation Systems in Urban Area: Systematic Literature Review,2019,article,,https://www.arpnjournals.org/jeas/research_papers/rp_2019/jeas_0219_7600.pdf,,existing,Existing PDF passed validation and was kept.
R05,paywalled_or_no_public_pdf,R05.pdf,The Internet of Things for Smart Roads: A Road Map From Present to Future Road Infrastructure,2022,article,10.1109/mits.2021.3115126,,,failed,"A bibliographic record was found, but no public PDF was reachable."
R07,paywalled_or_no_public_pdf,R07.pdf,Millimeter-Wave Radar: Principles and Applications,2008,incollection,10.1201/9780849382284-12,https://www.taylorfrancis.com/chapters/edit/10.1201/9780849382284-12/millimeter-wave-radar-principles-applications-felix-yanovsky,,failed,"A bibliographic record was found, but no public PDF was reachable."
R08,skipped_existing,R08.pdf,Sensor Networks for Monitoring Traffic,2004,inproceedings,,https://hdl.handle.net/2142/131887,,existing,Existing PDF passed validation and was kept.
R09,paywalled_or_no_public_pdf,R09.pdf,Wireless Magnetic Sensors for Traffic Surveillance,2008,article,10.1016/j.trc.2007.10.004,,,failed,"A bibliographic record was found, but no public PDF was reachable."
R10,paywalled_or_no_public_pdf,R10.pdf,Roadside Magnetic Sensor System for Vehicle Detection in Urban Environments,2018,article,10.1109/tits.2017.2723908,,,failed,"A bibliographic record was found, but no public PDF was reachable."
R11,skipped_existing,R11.pdf,Research of Vehicle Detection System Based on Geomagnetic Disturbance Detection,2018,inproceedings,,https://www.proceedings.com/content/040/040925webtoc.pdf,,existing,Existing PDF passed validation and was kept.
R12,skipped_existing,R12.pdf,Dynamic Vehicle Detection via the Use of Magnetic Field Sensors,2016,article,10.3390/s16010078,,,existing,Existing PDF passed validation and was kept.
R13,skipped_existing,R13.pdf,A Novel Vehicle Detection Method Based on the Fusion of Radio Received Signal Strength and Geomagnetism,2019,article,10.3390/s19010058,,,existing,Existing PDF passed validation and was kept.
R15,paywalled_or_no_public_pdf,R15.pdf,Smart Road Stud Based Two-Lane Traffic Surveillance,2020,article,10.1080/15472450.2019.1610405,,,failed,"A bibliographic record was found, but no public PDF was reachable."
R17,paywalled_or_no_public_pdf,R17.pdf,Traffic Measurement and Vehicle Classification with a Single Magnetic Sensor,2005,article,10.1177/0361198105191700119,,,failed,"A bibliographic record was found, but no public PDF was reachable."
R18,paywalled_or_no_public_pdf,R18.pdf,Intelligent Vehicle Counting and Classification Sensor for Real-Time Traffic Surveillance,2018,article,10.1109/tits.2017.2741507,,,failed,"A bibliographic record was found, but no public PDF was reachable."
R19,skipped_existing,R19.pdf,Road Vehicle Detection and Classification Using Magnetic Field Measurement,2019,article,10.1109/ACCESS.2019.2908006,,,existing,Existing PDF passed validation and was kept.
