sample_local,Bx_nT,By_nT,Bz_nT,mag_nT
0,8.13771239,-3.39743095,-3.40952434,9.45461561
1,9.74956110,-3.34165618,-3.49858210,10.88396455
2,11.39814958,-3.25236437,-3.51061264,12.36204226
3,13.06941359,-3.12906308,-3.42821638,13.86914831
4,14.74211433,-2.97666337,-3.23446381,15.38350467
5,16.38349889,-2.80904997,-2.91473149,16.87618017
6,17.94228984,-2.65386800,-2.45879164,18.30339958
7,19.33791113,-2.55836435,-1.86234566,19.59511078
8,20.44509640,-2.59552983,-1.12628110,20.63994310
9,21.07426715,-2.86881588,-0.25070531,21.27011269
10,20.95127387,-3.51246857,0.78019928,21.25798728
11,19.70629332,-4.68368883,2.02563887,20.35628037
12,16.89073155,-6.54398669,3.62512771,18.47328139
13,12.04850145,-9.23274230,5.82589519,16.25887365
14,4.86049153,-12.84741244,8.95303632,16.39625700
15,-4.66621048,-17.45548507,13.24514123,22.40315257
16,-16.09809109,-23.14812023,18.49528176,33.72031219
17,-28.81040652,-30.06324849,23.58901022,47.85686823
18,-42.71474406,-38.16322165,26.35626338,63.05262458
19,-59.06375841,-46.54926797,24.39141815,79.05885899
20,-80.11476862,-52.61084927,16.97023851,97.33584441
21,-106.77815127,-52.20693618,6.68410362,119.04543257
22,-135.80614405,-41.93657464,-1.38235175,142.14040928
23,-159.96356063,-22.34492776,-3.03922781,161.54526743
24,-172.20268465,1.02248725,2.03290664,172.21771916
25,-170.40551513,20.27119556,10.45168001,171.92497949
26,-158.62495611,29.59752346,17.88899704,162.35118204
27,-144.24439019,28.24245207,21.81106607,148.59274142
28,-133.63640068,20.25097577,22.39550464,137.00492047
29,-129.27522985,11.71115025,21.64439400,131.59679283
30,-129.60048037,7.51274767,21.80366801,131.63633931
31,-130.95580991,9.47329829,24.19238547,133.50819842
32,-129.93497137,16.42021887,28.89962365,134.11900916
33,-124.79857592,25.55850141,35.15380963,132.15033817
34,-115.63311322,34.01502086,41.90187777,127.60801651
35,-103.70550978,39.81586984,48.24446151,121.11013300
36,-90.64189091,42.15290338,53.61405399,113.43406207
37,-77.82786779,41.17009278,57.75304885,105.29752226
38,-66.13503070,37.56941130,60.59892437,97.24984620
39,-55.90637474,32.24057114,62.16109624,89.60457047
40,-47.08812491,26.00200777,62.43359061,82.40964234
41,-39.41527419,19.46500644,61.35745102,75.47971324
42,-32.59107222,13.00074523,58.83053998,68.49985255
43,-26.42442605,6.78177261,54.75425293,61.17410355
44,-20.90299240,0.86792514,49.10084899,53.37210654
45,-16.19148774,-4.69523720,41.97985851,45.23845762
46,-12.56087929,-9.79803972,33.67967842,37.25718735
47,-10.27408460,-14.23469247,24.66497254,30.27448025
48,-9.46958420,-17.72790087,15.52357637,25.39552948
49,-10.08584195,-19.99821083,6.87473872,23.42892821
50,-11.85273878,-20.84816692,-0.73440422,23.99318300
51,-14.34835431,-20.22695813,-6.91311363,25.74482951
52,-17.09457214,-18.25246951,-11.46999136,27.51250155
53,-19.65495812,-15.18743843,-14.40915152,28.71583730
54,-21.70526321,-11.38384034,-15.88988267,29.20956424
55,-23.06356592,-7.21729446,-16.16829094,29.07629695
56,-23.68350243,-3.03063867,-15.53898302,28.48777021
57,-23.62368245,0.90265263,-14.28882775,27.62360861
58,-23.00817588,4.39345791,-12.66748759,26.62975538
59,-21.98949998,7.33466488,-10.87374129,25.60417286
60,-20.72030953,9.68810232,-9.05365623,24.59998465
61,-19.33544972,11.46697217,-7.30601224,23.63744659
62,-17.94317245,12.71828821,-5.69108409,22.71785048
63,-16.62308780,13.50788562,-4.24008981,21.83502653
64,-15.42831187,13.90899854,-2.96376242,20.98277711
65,-14.38972984,13.99438863,-1.85936923,20.15848437
66,-13.52092077,13.83148578,-0.91605191,19.36399877
67,-12.82286562,13.47982588,-0.11865123,18.60499037
68,-12.28799710,12.99009446,0.54970206,17.88965062
69,-11.90343924,12.40420129,1.10593350,17.22727965
70,-11.65345398,11.75595186,1.56604535,16.62702293
71,-11.52119542,11.07201202,1.94459951,16.09685874
72,-11.48990218,10.37296749,2.25450359,15.64286077
73,-11.54365742,9.67435864,2.50698550,15.26873334
74,-11.66783055,8.98762547,2.71167771,14.97560941
75,-11.84929390,8.32093383,2.87675861,14.76209490
