speed_kmh,sample_local,Bx_nT,By_nT,Bz_nT,mag_nT
20,0,-7.09914454,-7.59174642,4.77899568,11.43989802
20,1,-9.01732548,-9.47158442,6.46432434,14.58802795
20,2,-10.96158396,-11.30327100,8.34049606,17.81808443
20,3,-12.93610374,-13.06792938,10.27555519,21.06420169
20,4,-13.08086968,-12.85919041,11.01757485,21.39754390
20,5,-13.33961231,-12.59867251,11.62547782,21.72149949
20,6,-15.12558062,-12.04601696,12.04062700,22.77863939
20,7,-19.34253629,-11.24635716,12.31259742,25.53848693
20,8,-24.68706424,-10.48943270,12.43666604,29.56602783
20,9,-30.23190805,-9.86876968,12.62874173,34.21762699
20,10,-35.58102064,-9.30435519,13.24706985,39.09047090
20,11,-40.31592199,-8.83050470,14.35805039,43.69788313
20,12,-43.54890510,-8.39627164,16.30741388,47.25395497
20,13,-44.00622057,-8.13227853,19.27384818,48.72537970
20,14,-41.87999294,-7.96293892,23.03548979,48.45591805
20,15,-38.79184932,-7.56030115,27.48784723,48.14091267
20,16,-35.69587501,-6.86181444,32.36784486,48.67193617
20,17,-33.54477789,-6.57291202,36.66365031,50.12662516
20,18,-32.51499788,-6.85436317,39.95676489,51.96874486
20,19,-32.73772433,-7.21376154,42.46881841,54.10542937
20,20,-34.04755673,-7.83720176,44.41038848,56.50610990
20,21,-35.39408327,-8.82597463,45.98219744,58.69413463
20,22,-36.09019201,-9.87624042,47.34848985,60.34833532
20,23,-36.72962776,-10.93341952,48.17027313,61.55469463
20,24,-37.03527310,-11.45019631,48.89375854,62.39645882
20,25,-36.45558093,-10.44990854,49.95424211,62.71870753
20,26,-35.37554086,-7.66464349,50.46146384,62.10100630
20,27,-34.66284792,-4.04476353,49.33935134,60.43380452
20,28,-33.53539788,-0.32736544,47.67404009,58.28845664
20,29,-31.59014178,3.14887078,46.31205241,56.14854088
20,30,-29.13661991,6.29661065,44.95197675,53.93765048
20,31,-26.44345064,9.08939255,43.73530820,51.91002140
20,32,-23.43796692,11.12147806,43.60130055,50.73557900
20,33,-20.61029925,11.68585514,44.67869523,50.57202243
20,34,-17.65417524,11.51297167,47.15245133,51.64854389
20,35,-15.53008673,11.22078779,49.62641782,53.19653201
20,36,-14.68836335,10.93651014,51.22622981,54.40112033
20,37,-14.18800376,10.80105447,52.62737880,55.56620580
20,38,-13.21580938,10.91919352,54.25956327,56.90330931
20,39,-12.67404103,10.62763814,55.04099056,57.47250342
20,40,-12.72166102,9.64490700,54.92092823,57.19417145
20,41,-12.52050071,8.43560349,54.68333943,56.72909267
20,42,-11.93285015,7.07995802,54.89189363,56.61836013
20,43,-11.34125448,5.38649348,55.32393477,56.73073350
20,44,-10.56069614,3.38725253,55.89635274,56.98599856
20,45,-9.91934466,0.91366761,56.28635060,57.16101338
20,46,-9.35808879,-1.72698606,56.49316870,57.28904272
20,47,-8.43929077,-4.22245883,56.72635077,57.50590978
20,48,-7.28759053,-6.75822149,56.69357871,57.55818274
20,49,-5.94605755,-9.11872264,56.10374517,57.15012621
20,50,-4.15198495,-11.16706597,55.26231456,56.53198875
20,51,-2.10480826,-13.00204905,54.27192559,55.84734017
20,52,-0.08189175,-14.35312018,52.97218807,54.88234210
20,53,1.92369626,-14.94615231,51.52398414,53.68248334
20,54,3.46540857,-14.88085863,50.26616481,52.53699968
20,55,4.25538109,-14.29984184,49.17475227,51.38822828
20,56,4.66349201,-13.37451631,48.51426974,50.53968948
20,57,4.54406887,-12.26968166,48.14856300,49.89466673
20,58,3.79751500,-11.08367875,47.95322616,49.36376155
20,59,3.05452637,-9.95346416,48.27393561,49.38394921
20,60,2.23164020,-9.24330431,49.04448994,49.95779105
20,61,1.46026785,-8.85880977,49.91887303,50.71986570
20,62,0.97849276,-8.52439122,51.01919312,51.73568169
20,63,0.31765244,-8.35908577,52.05913767,52.72692892
20,64,0.36917400,-8.19528683,53.19762407,53.82644538
20,65,1.71581909,-7.94175666,54.69090056,55.29113977
20,66,3.38240396,-7.63635340,56.30516205,56.92122472
20,67,5.84723944,-6.64118908,58.35749651,59.02451186
20,68,9.28636091,-5.02496127,60.94755590,61.85540643
20,69,13.19219406,-3.16728503,63.70598624,65.13461723
20,70,17.80833970,-0.68821216,66.56746347,68.91181170
20,71,22.23472416,2.10885485,69.30193138,72.81200395
20,72,26.17199194,5.04140141,71.07594740,75.90901915
20,73,30.62999599,8.21346297,71.52688297,78.24162969
20,74,35.16030920,10.84688120,70.90197731,79.88111518
20,75,39.22029351,13.21722969,68.89996801,80.37494743
20,76,43.06766559,15.78502060,65.74987260,80.16879968
20,77,46.75632464,18.04990800,62.05043898,79.76346313
20,78,49.61089728,20.47302861,57.38069049,78.56799393
20,79,51.33009629,23.24514362,52.43376793,76.97022480
20,80,51.45863976,25.34727908,47.45858527,74.44993941
20,81,49.07671278,25.92185795,40.90617998,68.94767594
20,82,44.70579576,24.63282280,33.55589376,61.08504023
20,83,39.71380093,22.36240057,26.68884761,52.81626199
20,84,34.53387602,19.84112199,20.30845527,44.70673406
20,85,29.89390209,16.73166179,14.94672191,37.37644157
20,86,25.99570604,14.36699517,10.43723778,31.48210944
20,87,23.12203295,14.18045351,7.10430416,28.03898727
20,88,21.94320568,15.83250565,5.93713903,27.70238492
20,89,21.50875562,18.50098412,5.70292853,28.93849298
20,90,20.54170674,21.01804480,5.20661754,29.84675509
20,91,19.02135256,22.88542381,4.70793830,30.12837797
20,92,16.80085090,23.77563052,4.33348035,29.43345460
20,93,13.93976087,22.61205260,4.17841759,26.89016604
20,94,10.42389698,19.26416771,3.77919790,22.22719331
20,95,6.61681656,15.19231184,2.93673879,16.82893446
20,96,3.56933411,11.43650158,2.54415919,12.24771245
20,97,1.50480690,8.19015411,2.57461315,8.71617468
20,98,0.01603561,5.53245492,2.29346936,5.98901630
20,99,-0.78864266,3.88226466,1.67165867,4.29981149
20,100,-1.03496736,2.83351995,0.94492938,3.16115237
20,101,-0.91748674,2.01165032,0.46554876,2.25948104
20,102,-0.51236345,1.46749653,0.29902252,1.58286981
20,103,0.00000000,1.06492262,0.18858702,1.08149214
20,104,0.45144986,0.72289718,0.14570495,0.86464862
20,105,0.73749090,0.41567228,0.22168100,0.87511070
20,106,0.82224517,0.13340131,0.25001961,0.86970847
20,107,0.67713493,-0.04214830,0.00000000,0.67844543
20,108,0.36619671,-0.01814732,-0.62736273,0.72664527
20,109,-0.05698995,-0.04000103,-1.48059725,1.48223350
20,110,-0.13949631,-0.01519710,-1.65102309,1.65697539
20,111,-0.21467796,-0.00085710,-1.71970957,1.73305752
20,112,-0.24671293,0.00000000,-1.71970957,1.73731640
30,0,-10.60965684,4.26807893,17.90169007,21.24268870
30,1,-12.91161278,5.28031436,22.06170070,26.10191759
30,2,-15.19294054,6.60800663,26.11805753,30.92966412
30,3,-17.50435960,8.20554657,29.92588340,35.62712586
30,4,-16.90853172,9.00558381,28.61598324,34.43651378
30,5,-18.12732976,8.10680847,26.56059713,33.16301777
30,6,-22.56780448,4.66357401,23.44445998,32.87396273
30,7,-28.73331294,1.43184169,19.46186375,34.73352248
30,8,-34.67384835,0.18114108,15.44715759,37.95949485
30,9,-38.68922592,0.26435993,10.56062415,40.10552170
30,10,-40.71693573,0.00056887,5.52628106,41.09024991
30,11,-42.25504589,-0.81213323,2.43860657,42.33314618
30,12,-42.30364797,-0.38404644,1.97862625,42.35163616
30,13,-39.58271916,4.51537081,5.06201999,40.15973451
30,14,-34.89632858,11.42489536,10.51554730,38.19500906
30,15,-30.37729807,15.65911433,16.50810871,37.95399522
30,16,-28.37106807,16.24488611,23.74417860,40.40544327
30,17,-29.41738605,15.35203294,31.89167027,46.02332180
30,18,-31.11104137,15.24599583,38.29138443,51.63881685
30,19,-33.51730715,15.54953642,40.74876419,55.00599735
30,20,-35.34586671,13.39692513,40.19698126,55.17794124
30,21,-36.15483132,8.74571990,38.73288315,53.70191506
30,22,-36.18354309,5.02214438,38.55687554,53.11406006
30,23,-34.06446504,3.64747399,40.12210533,52.75865030
30,24,-30.77438858,3.87204360,41.29157877,51.64349128
30,25,-27.95534194,3.98126085,42.46428863,50.99575855
30,26,-24.57358189,4.06842472,45.72973676,52.07323526
30,27,-21.75358807,4.57637765,49.45113428,54.21786152
30,28,-20.79227666,5.54286288,52.44585242,56.68870729
