sample_local,Bx_nT,By_nT,Bz_nT,mag_nT
0,-10.60965684,4.26807893,17.90169007,21.24268870
1,-12.91161278,5.28031436,22.06170070,26.10191759
2,-15.19294054,6.60800663,26.11805753,30.92966412
3,-17.50435960,8.20554657,29.92588340,35.62712586
4,-16.90853172,9.00558381,28.61598324,34.43651378
5,-18.12732976,8.10680847,26.56059713,33.16301777
6,-22.56780448,4.66357401,23.44445998,32.87396273
7,-28.73331294,1.43184169,19.46186375,34.73352248
8,-34.67384835,0.18114108,15.44715759,37.95949485
9,-38.68922592,0.26435993,10.56062415,40.10552170
10,-40.71693573,0.00056887,5.52628106,41.09024991
11,-42.25504589,-0.81213323,2.43860657,42.33314618
12,-42.30364797,-0.38404644,1.97862625,42.35163616
13,-39.58271916,4.51537081,5.06201999,40.15973451
14,-34.89632858,11.42489536,10.51554730,38.19500906
15,-30.37729807,15.65911433,16.50810871,37.95399522
16,-28.37106807,16.24488611,23.74417860,40.40544327
17,-29.41738605,15.35203294,31.89167027,46.02332180
18,-31.11104137,15.24599583,38.29138443,51.63881685
19,-33.51730715,15.54953642,40.74876419,55.00599735
20,-35.34586671,13.39692513,40.19698126,55.17794124
21,-36.15483132,8.74571990,38.73288315,53.70191506
22,-36.18354309,5.02214438,38.55687554,53.11406006
23,-34.06446504,3.64747399,40.12210533,52.75865030
24,-30.77438858,3.87204360,41.29157877,51.64349128
25,-27.95534194,3.98126085,42.46428863,50.99575855
26,-24.57358189,4.06842472,45.72973676,52.07323526
27,-21.75358807,4.57637765,49.45113428,54.21786152
28,-20.79227666,5.54286288,52.44585242,56.68870729
29,-21.35568753,6.20164884,53.85948837,58.26980630
30,-24.04699734,6.04651771,53.56230253,59.02320484
31,-27.27778808,5.32518159,53.30807558,60.11810213
32,-30.17193462,4.18555168,53.44023811,61.51197876
33,-32.44902798,2.58336644,53.36904796,62.51294649
34,-33.89565792,0.62052844,53.00442158,62.91875228
35,-34.18308945,-1.76691853,52.76456718,62.89439685
36,-33.31923279,-4.27054716,52.31215365,62.16888503
37,-31.74624747,-6.47740878,51.59493975,60.92469828
38,-29.60324472,-8.42369152,50.96523015,59.53793212
39,-26.88272287,-10.23298432,50.59437408,58.19953132
40,-24.07375027,-12.04540361,50.72004839,57.42090655
41,-21.38130383,-13.92516899,51.35004301,57.34019011
42,-19.01630675,-15.57353248,52.23390371,57.72811735
43,-17.01069206,-16.93889136,53.40419504,58.55166721
44,-13.99376996,-18.13097730,54.73334768,59.33209320
45,-9.27585618,-19.00054489,56.09538832,59.94793412
46,-3.29729626,-19.24614517,57.74588510,60.95796513
47,3.67850579,-18.67524630,59.74338943,62.70222332
48,11.01011355,-17.31623802,61.89417766,65.20708495
49,18.87386990,-15.16529730,63.70315520,68.14910997
50,27.74755026,-12.30585470,64.61747929,71.39173085
51,36.41240800,-8.69732634,64.48479293,74.56403598
52,43.76378372,-4.40553188,63.38011068,77.14736487
53,49.33502329,0.38248362,61.03730277,78.48339408
54,52.70132845,5.44790701,57.44633526,78.14851979
55,53.16021718,9.60506974,51.99121989,74.97568273
56,50.06772106,12.19825500,44.90907588,68.35495017
57,45.04758450,13.86520257,38.02492585,60.55925773
58,39.21990245,15.20237292,31.96179492,52.82867805
59,33.35751340,17.12638554,26.66811757,46.01331630
60,27.68865466,19.15724346,21.83245155,40.12876169
61,21.66698327,20.18532433,17.04270166,34.16663815
62,16.45365122,20.61579753,13.43369406,29.60063990
63,12.92202476,20.66999773,11.63291520,27.01022484
64,9.50351719,20.16444659,10.18573796,24.50859039
65,5.65975638,18.86206254,8.49644380,21.44760600
66,1.54815676,16.15649285,6.48545247,17.47827636
67,-2.01674231,12.50698182,4.55828476,13.46364748
68,-4.06133391,8.73096529,3.31746176,10.18477985
69,-4.60216385,5.58733522,2.54637544,7.67347736
70,-4.07254460,3.75199474,1.81247851,5.82650516
71,-2.86673066,2.82257167,1.26563158,4.21744932
72,-1.40934162,2.23302106,0.95484555,2.80790970
73,-0.26617581,1.57462468,0.70572937,1.74595143
74,0.29214445,0.71820812,0.38420444,0.86532326
75,0.36151816,0.12643045,0.11091253,0.39872501
76,0.19229664,-0.12643045,-0.11091253,0.25546868
77,0.09736901,-0.19581261,-0.23590832,0.32167691
78,-0.09736901,-0.34920528,-0.36543022,0.51474683
79,-0.27537327,-0.47090317,-0.45540871,0.71061757
