speed_kmh,sample_local,Bx_nT,By_nT,Bz_nT,mag_nT
20,0,-0.48280712,-8.99450082,3.70582936,9.73998558
20,1,-0.86189897,-9.74622038,4.99744444,10.98663426
20,2,-1.23761719,-10.84136086,6.52725729,12.71502612
20,3,-1.61209432,-12.06283883,8.14469822,14.64401030
20,4,-2.06524587,-13.29299858,9.84891521,16.67243781
20,5,-2.78473312,-14.41296658,11.74867384,18.80211906
20,6,-3.60219980,-15.49239730,13.72036822,21.00568308
20,7,-4.81605143,-16.78273743,15.66559846,23.45774077
20,8,-6.53606526,-18.37648901,17.54816524,26.23649368
20,9,-8.44228576,-20.08185943,19.40767942,29.17552549
20,10,-16.64792918,-25.72638449,22.06939308,37.76318996
20,11,-29.24797456,-34.11940768,25.29644611,51.57022573
20,12,-43.46463007,-43.52354682,28.73147588,67.88940198
20,13,-59.10639864,-50.60389078,30.68603069,83.64181133
20,14,-75.27243701,-56.82935826,32.09594919,99.62763516
20,15,-90.74447375,-61.10390304,31.51941229,113.84954912
20,16,-103.30059243,-59.75144983,24.85381457,121.89733488
20,17,-114.78400480,-56.32893974,15.94817655,128.85131565
20,18,-127.11549907,-51.88821577,6.54734598,137.45400968
20,19,-141.00169371,-46.81622936,-2.70678354,148.59530153
20,20,-155.45983065,-41.51201448,-11.90694475,161.34677445
20,21,-167.76130367,-32.91297447,-14.06021159,171.53660964
20,22,-178.48036110,-22.03203835,-11.27872402,180.18840037
20,23,-188.61728039,-10.31163957,-6.68184176,189.01707696
20,24,-191.09215778,3.08245183,-0.83812352,191.11885497
20,25,-190.74832748,17.09226033,5.46428002,191.59052210
20,26,-187.69389527,30.51495155,11.76054798,190.52157641
20,27,-178.62131640,41.28077353,17.52992930,184.16561937
20,28,-167.33478511,51.06918793,23.10547985,176.47338458
20,29,-156.30891339,52.26951315,26.67699071,166.96179277
20,30,-146.45406010,42.08193589,27.57852324,154.85559722
20,31,-137.03000042,27.70498342,27.49782563,142.48128837
20,32,-133.02179628,14.87204492,25.90239718,136.33381893
20,33,-132.75843252,3.63551707,23.36526756,134.84789252
20,34,-133.87271855,-7.01372411,20.48170542,135.61193663
20,35,-136.04626907,-5.21169824,20.62876662,137.70001866
20,36,-138.60950122,1.17089281,21.89073183,140.33235179
20,37,-140.68978341,8.24622008,23.47550047,142.87307103
20,38,-140.71348082,12.59931218,24.91698132,143.45690053
20,39,-139.98060296,15.95094993,26.30574954,143.32129803
20,40,-138.49022685,19.73839109,28.31299169,142.72621523
20,41,-136.24201294,24.49037327,31.18562352,141.89505836
20,42,-133.71500607,29.59719026,34.37661441,141.20002882
20,43,-129.86525260,33.58548278,38.10476136,139.44511940
20,44,-125.12215969,36.74593950,42.17052976,137.05536289
20,45,-120.05042558,39.60185246,46.36050214,134.64660248
20,46,-113.47110208,41.25935699,49.84208636,130.62258273
20,47,-106.33716744,42.47599170,53.06306913,126.20416933
20,48,-98.83887889,43.21192586,56.03970718,121.56003989
20,49,-90.72558038,42.81547938,58.48103142,116.12203601
20,50,-82.38603236,42.00245333,60.72542471,110.63110602
20,51,-74.40761035,40.45851267,62.65835651,105.35394329
20,52,-67.00639774,38.06801998,64.23769341,100.32702895
20,53,-59.81752859,35.36609821,65.68695001,95.62255503
20,54,-53.42241230,31.97135736,65.94638877,90.69205048
20,55,-47.55784673,28.12899236,65.38746335,85.60671329
20,56,-41.88845987,24.12195564,64.52747858,80.62448329
20,57,-36.62754213,20.56998902,63.11103743,75.81361577
20,58,-31.51689178,17.18543332,61.48988741,71.20154380
20,59,-26.66653156,13.86517174,59.62419572,66.77118846
20,60,-22.52695624,10.57668390,57.16084174,62.34333828
20,61,-18.64886407,7.29988495,54.47762007,58.04204976
20,62,-15.38840981,4.02822285,51.54904680,53.94751118
20,63,-12.87661545,0.75928721,48.36574691,50.05626051
20,64,-10.64023768,-2.50864541,45.08873833,46.39506745
20,65,-8.93663558,-5.51055196,41.70375864,43.00503602
20,66,-7.57284922,-8.32604062,38.25455939,39.87583619
20,67,-6.33407408,-11.07294997,34.78173509,37.04726456
20,68,-6.54131245,-13.55173972,31.07139115,34.52346689
20,69,-7.28050947,-15.93189378,27.27366861,32.41425701
20,70,-8.41264971,-18.03910188,23.38635102,30.70998675
20,71,-10.28108543,-19.33591901,19.29372244,29.18606187
