x_m,Bx_latent,By_latent,Bz_latent,Bx_reproj,By_reproj,Bz_reproj,Bx_obs,By_obs,Bz_obs
-12.69279596,-0.49963958,1.99916272,-4.99999973,-0.49963958,1.99916272,-4.99999973,-0.50000000,2.00000000,-5.00000000
-12.38724041,1.08418852,2.00755565,-5.00001334,0.50153073,2.00446806,-5.00000833,0.50000000,2.00000000,-5.00000000
-12.08168485,2.07812138,1.98727416,-4.99990645,1.49812609,1.99359944,-4.99994393,1.50000000,2.00000000,-5.00000000
-11.77612929,1.49796621,0.42168592,-4.99888437,1.49802503,0.99996059,-4.99927416,1.50000000,1.00000000,-5.00000000
-11.47057374,-0.08206152,-0.57314021,-5.00863955,0.49921984,0.00557123,-5.00519422,0.50000000,0.00000000,-5.00000000
-11.16501818,-1.07145950,-0.00438994,-4.97847073,-0.49363887,-0.00072543,-4.98830175,-0.50000000,0.00000000,-5.00000000
-10.85946263,-0.51073240,-0.00028847,-3.44087738,-0.50444404,-0.00044922,-4.01014299,-0.50000000,0.00000000,-4.00000000
-10.55390707,-0.49617793,-1.59998224,-4.00222568,-0.49921887,-1.01154693,-4.00513830,-0.50000000,-1.00000000,-4.00000000
-10.24835152,-0.50037953,-4.12869077,-3.96018790,-0.49995254,-2.98195763,-3.97672423,-0.50000000,-3.00000000,-4.00000000
-9.94279596,-0.50004051,-3.02458627,-0.89214610,-0.50000815,-3.00890407,-2.02689898,-0.50000000,-3.00000000,-2.00000000
-9.63724041,-0.49999469,-3.00062494,-1.96485576,-0.49999964,-3.00367067,-1.98768018,-0.50000000,-3.00000000,-2.00000000
-9.33168485,-0.49999964,-2.97937126,-0.41735155,-0.49999964,-2.98831051,-0.99504317,-0.50000000,-3.00000000,-1.00000000
-9.02612929,-0.50001311,-1.44318180,2.15077972,-0.50000815,-2.01160289,0.99349615,-0.50000000,-2.00000000,1.00000000
-8.72057374,-0.49992002,-1.98504284,2.58252964,-0.49995245,-1.99481373,1.99795689,-0.50000000,-2.00000000,2.00000000
-8.41501818,-0.49879153,-2.00424097,2.00461170,-0.49921860,-2.00077288,2.00216353,-0.50000000,-2.00000000,2.00000000
-8.10946263,-0.50749797,-2.00087488,2.01266337,-0.50445216,-2.00083736,2.00880070,-0.50000000,-2.00000000,2.00000000
-7.80390707,-0.48727104,-1.99245688,1.96634905,-0.49359162,-1.99553988,1.98196614,-0.50000000,-2.00000000,2.00000000
-7.49835152,1.07824678,-2.01272164,-1.13511564,0.49999975,-2.00640083,0.01159467,0.50000000,-2.00000000,0.00000000
-7.19279596,2.07185154,-3.57831480,-1.58680297,1.49359958,-3.00003996,-0.99878534,1.50000000,-3.00000000,-1.00000000
-6.88724041,1.51069237,-4.57311480,-1.00646341,1.50440429,-3.99441291,-1.00363880,1.50000000,-4.00000000,-1.00000000
-6.58168485,1.49497681,-4.00453785,-0.99404768,1.49844499,-4.00081309,-0.99757606,1.50000000,-4.00000000,-1.00000000
