sample_local,Bx_nT,By_nT,Bz_nT,mag_nT
0,1.13126398,-5.93260849,-0.26471471,6.04530194
1,0.46025667,-7.18642652,1.08151663,7.28191188
2,-0.16650455,-8.37954958,2.79082415,8.83364446
3,-0.74553776,-9.51999246,4.66083283,10.62588564
4,-1.31293935,-11.16743541,6.93075192,13.20873747
5,-1.95519291,-12.96359807,9.40232932,16.13324055
6,-3.02063795,-14.62549566,12.22079019,19.29707465
7,-4.60210678,-16.46382214,15.11393453,22.81814723
8,-7.09409081,-18.81869762,17.92869770,26.94267444
9,-16.15195598,-25.26169323,21.52530611,36.91040002
10,-33.85619514,-37.10671655,26.22021935,56.66260024
11,-55.57165297,-48.24327084,29.76219104,79.38141981
12,-79.17795339,-57.77131197,32.10152656,103.13670927
13,-99.04550739,-58.52545809,25.06796244,117.74397869
14,-116.65078372,-54.41543740,12.80020633,129.35335501
15,-137.15194007,-47.74594224,-0.40648477,145.22566886
16,-157.92940790,-39.06507137,-11.61624389,163.10338685
17,-174.86340878,-24.29526832,-10.37963855,176.84798187
18,-186.65953459,-6.60303652,-4.27477682,186.82520082
19,-189.11765654,13.52916829,4.20000593,189.64747944
20,-183.11954693,32.11810816,13.02200442,186.37036765
21,-168.98959165,47.69843172,21.44710697,176.89714772
22,-154.01835181,45.71490512,25.86073298,162.72763365
23,-139.81274783,29.04147811,26.86588591,145.30240098
24,-134.65109791,12.10593704,24.69481740,137.43109505
25,-134.56899124,-3.89763075,20.97081948,136.24896403
26,-137.18422728,-1.20552017,21.41263383,138.85051811
27,-140.16545443,7.37198660,23.29961804,142.27991075
28,-140.14979315,13.15281198,25.28151632,143.01788716
29,-138.55246844,18.70901367,27.93619735,142.57364703
30,-135.41494275,25.79101670,32.11411297,141.54045186
31,-130.49062435,32.18526977,37.27243360,139.47375717
32,-123.68879723,37.07745288,43.21146338,136.16492441
33,-114.80958421,40.33068228,48.68361974,131.06448562
34,-104.47279911,42.43778780,53.60698284,124.85687885
35,-92.79818381,42.53068990,57.58608215,117.20289825
36,-80.47108440,41.56409437,61.06933141,109.23659004
37,-69.23702518,38.47474076,63.65312374,101.61590178
38,-58.64361833,34.41171786,65.52536970,94.42888526
39,-49.47862109,29.02675082,65.23257909,86.86757498
40,-41.00743983,23.41329242,63.92046463,79.47086373
41,-33.12816610,18.23142619,61.78765904,72.44014839
42,-26.08167250,13.21645508,58.84523760,65.70913417
43,-19.95657110,8.27100250,55.09727468,59.18094195
44,-15.21331821,3.35279782,50.72403600,53.06236078
45,-11.49986258,-1.55454618,45.95630440,47.39879078
46,-8.88434082,-6.01513294,40.92095096,42.30410811
47,-6.81654488,-10.22281454,35.76264573,37.81452169
48,-7.05028268,-13.97312151,30.21586637,34.02871127
49,-8.32795401,-17.31850983,24.46872509,31.11276439
50,-10.97589992,-19.33163731,18.36062343,28.83218814
51,-14.22878339,-20.50888808,12.18870065,27.77835832
52,-17.90589440,-20.68710631,6.13123695,28.03871410
53,-22.07481000,-20.25118950,0.65543196,29.96393672
54,-26.76039042,-19.34273351,-4.06684114,33.26858927
55,-31.37682481,-17.79546653,-8.04876917,36.95898334
56,-35.83821362,-15.78070734,-11.52677137,40.82002864
57,-39.31964276,-13.04638299,-14.23591349,43.80529247
58,-42.25598056,-9.93782853,-16.54551257,46.45516457
59,-43.23907432,-8.14817556,-17.49588781,47.35099157
60,-43.54359196,-6.77645108,-17.95252733,47.58421932
61,-43.79838650,-5.22213262,-18.25900554,47.73846052
62,-44.09770231,-2.88625012,-18.39465965,47.86753903
63,-44.53902334,1.16593669,-18.23630540,48.14194473
64,-44.22657936,5.46176470,-17.53637584,47.88888883
65,-42.83083493,9.45947145,-16.20379616,46.76029332
66,-40.33713675,12.25915282,-14.88679262,44.71004387
67,-37.08980904,14.07392893,-13.69967679,41.96916195
68,-33.16414072,15.11331886,-12.11756412,38.40713472
69,-28.90870567,15.78484820,-10.30158426,34.51082924
70,-24.92851994,16.16394902,-8.06472029,30.78545221
71,-21.13996576,16.29142739,-5.79303482,27.31058423
72,-17.87377382,15.60611906,-4.10860480,24.08118303
73,-14.91879236,14.75002450,-2.58181953,21.13762949
74,-12.31638715,14.08754378,-0.99623959,18.73885737
75,-10.28171623,13.49055263,0.34340548,16.96545391
76,-8.89393181,12.91191676,1.32501196,15.73452491
77,-7.84485722,11.63429641,1.95202963,14.16718241
78,-6.97075379,9.74666554,2.33716446,12.20865411
79,-5.99302664,8.40746661,3.23830972,10.82074457
