speed_kmh,sample_local,Bx_nT,By_nT,Bz_nT,mag_nT
20,0,-0.00402219,0.39600696,0.16061795,0.42735912
20,1,-0.00723778,0.90030360,0.39193690,0.98194373
20,2,-0.00400845,1.58283827,0.76425265,1.75769030
20,3,0.00159185,2.33094306,1.18843822,2.61642571
20,4,0.02216116,0.85312360,0.57282934,1.02783484
20,5,0.06703139,-4.44337715,-1.83701500,4.80860872
20,6,0.12084144,-11.14469225,-4.90692168,12.17771113
20,7,-1.81947285,-27.81800253,-13.43593079,30.94634037
20,8,-4.82622377,-49.73537248,-24.84244698,55.80364579
20,9,-11.00402493,-65.75222675,-34.19065564,74.92292587
20,10,-25.29434044,-60.02662521,-34.99042890,73.94139238
20,11,-42.56908318,-46.30242119,-32.64540853,70.86440396
20,12,-51.92676493,-28.95379501,-27.29851106,65.42109650
20,13,-54.76643430,-9.99909594,-20.10939815,59.19233176
20,14,-54.16181855,8.38633118,-12.47934891,56.21002836
20,15,-46.01304875,19.60340960,-6.10739153,50.38645210
20,16,-35.08893979,28.18339992,-0.19826028,45.00641103
20,17,-24.47998161,27.91343623,3.37410549,37.28020935
20,18,-14.98892991,18.47869542,4.46216912,24.20828696
20,19,-5.90940282,5.67252843,4.63626152,9.41241421
20,20,-4.47515519,-5.40432715,3.15307181,7.69256965
20,21,-5.85344869,-15.84500463,1.06020210,16.92486519
20,22,-8.51946357,-21.57570352,-0.25742941,23.19824372
20,23,-11.99654528,-19.60671569,0.04262598,22.98569589
20,24,-15.77200180,-14.80517140,0.93779512,21.65245022
20,25,-17.36069385,-9.61571054,2.51732350,20.00481187
20,26,-17.76229375,-4.39252697,4.42615903,18.82509645
20,27,-17.43431615,0.83072678,6.74533432,18.71216240
20,28,-16.10592205,6.02317366,9.93829643,19.86074223
20,29,-14.40949528,11.20428733,13.45270675,22.67476412
20,30,-11.33481420,15.48188736,17.45906197,25.94196781
20,31,-7.25606937,19.06744713,21.79583599,29.85425513
20,32,-2.59602220,22.21341562,26.16664049,34.42191510
20,33,3.54893458,24.08808684,30.02503084,38.65660799
20,34,10.24015907,25.49507395,33.69491454,43.47650997
20,35,17.52428269,25.95564541,36.91362356,48.40879689
20,36,25.32041385,25.48739878,39.68004459,53.52790667
20,37,33.30485073,24.67739189,42.28004010,59.20969974
20,38,40.40817821,22.49764456,44.11376285,63.91391827
20,39,47.18736365,19.81399787,45.66558960,68.58999835
20,40,53.40991258,16.65202879,46.54125005,72.77359948
20,41,58.84463267,12.92358736,46.40505569,76.04695324
20,42,63.98952671,8.98675240,45.89662075,79.25857079
20,43,68.71916679,5.25745601,44.65110897,82.11995044
20,44,73.24462949,1.65185295,43.03446722,84.96746281
20,45,77.44435758,-1.87463769,41.10255703,87.69585499
20,46,80.89788915,-5.28802946,38.60795779,89.79424330
20,47,84.07691036,-8.65981448,35.90635682,91.83237830
20,48,86.35822238,-11.98999927,32.87426700,93.17843144
20,49,87.99069703,-15.29436591,29.61889431,94.09335413
20,50,89.29654743,-18.54865197,26.26067468,94.90810770
20,51,89.95494550,-21.54115160,22.74045307,95.25251513
20,52,90.37515918,-24.43734538,19.16063426,95.56141037
20,53,89.85207441,-27.07365729,15.42372977,95.10136505
20,54,88.34039497,-29.44607203,11.52769462,93.82954910
20,55,86.46497112,-31.72133977,7.57310268,92.41096532
20,56,83.61201605,-33.06299646,3.37648825,89.97517233
20,57,80.39944735,-34.06119683,-0.90916129,87.32160579
20,58,76.96212977,-34.61492951,-5.14921640,84.54511927
20,59,73.31889666,-34.58112459,-9.26806525,81.59296427
20,60,69.59991147,-34.33117665,-13.34232482,78.74512682
20,61,65.44267240,-33.63072003,-16.82683764,75.47788527
20,62,61.05585411,-32.70273713,-19.99889772,72.09190140
20,63,56.66380554,-31.54778479,-22.89863023,68.77788053
20,64,52.46782346,-29.95130694,-25.30487606,65.50030564
20,65,48.34397021,-28.19240094,-27.52957828,62.36849050
20,66,44.81072486,-26.21222469,-29.28253219,59.60325895
20,67,41.72029031,-24.08606721,-30.70002004,57.12453490
20,68,38.97138036,-22.00895858,-31.89514652,54.95874013
20,69,37.41910963,-20.56598115,-32.41518021,53.60870502
20,70,36.30705786,-19.35628755,-32.68686114,52.54806571
20,71,35.25920425,-18.05799902,-32.79613235,51.42848539
20,72,34.16168195,-16.59635348,-32.79239099,50.17768797
20,73,33.04587549,-15.07450674,-32.74705165,48.90439685
20,74,31.78900377,-12.35829218,-32.43094759,47.06415310
20,75,30.48023704,-9.20269424,-32.01523476,45.15207291
20,76,29.64504519,-6.03358225,-31.37285046,43.58312248
20,77,29.64071154,-3.05692547,-30.39380419,42.56406826
20,78,29.94203353,-0.15106900,-29.29090691,41.88681680
20,79,30.99701575,1.82175918,-28.18471632,41.93461608
20,80,32.43604033,3.30029917,-27.08435353,42.38573927
20,81,34.11442548,4.46582007,-25.90747802,43.06895625
20,82,36.12594728,5.18839311,-24.50590757,43.96069831
20,83,38.26002321,5.74801473,-23.02167646,45.02073563
20,84,40.23720198,6.10187457,-21.39195391,45.97696150
20,85,42.07590828,6.32174141,-19.66269775,46.87182688
20,86,43.80840566,6.43425514,-17.94303324,47.77581488
20,87,45.17050277,6.15920920,-16.50391274,48.48390779
20,88,46.39633724,5.74158802,-15.16799862,49.14930442
20,89,47.42651808,5.34384407,-13.90254242,49.71028035
20,90,48.27562491,5.00763499,-12.68736355,50.16554158
20,91,49.05805087,4.69405338,-11.49071399,50.60398206
20,92,49.19141661,4.29681355,-10.60928076,50.50559289
20,93,49.08600644,3.86879757,-9.84380915,50.21259007
20,94,48.84657402,3.22444299,-9.18433322,49.80699552
20,95,48.49629000,2.22726969,-8.64826054,49.31169521
20,96,48.10522596,1.10030162,-8.15758537,48.80440172
20,97,47.82237032,0.34700266,-7.38003453,48.38971402
20,98,47.59983843,-0.19865970,-6.44639870,48.03478053
20,99,47.39881007,-0.52766297,-5.47455939,47.71683586
20,100,47.20397251,-0.42647594,-4.53668103,47.42339483
20,101,47.01141242,-0.16703073,-3.61129622,47.15020952
20,102,46.54409512,-0.12300456,-2.95107227,46.63771809
20,103,45.86552616,-0.26761877,-2.49256106,45.93398492
20,104,45.07436966,-0.48692968,-2.13928620,45.12773478
20,105,44.03276645,-0.76548727,-2.01072434,44.08529805
20,106,42.89902905,-1.06584049,-1.96482976,42.95722600
20,107,41.80885006,-1.35964800,-1.94572329,41.87617969
20,108,40.79275556,-1.64013006,-1.93375535,40.87148569
20,109,39.80391657,-1.91570074,-1.92444386,39.89643052
20,110,38.83582948,-2.11624937,-2.15675142,38.95319935
20,111,37.87537658,-2.28919894,-2.47794566,38.02531785
20,112,37.08024866,-2.33682568,-2.78557559,37.25808673
20,113,36.56251536,-2.18486976,-3.02656267,36.75256817
20,114,36.14682983,-1.95949147,-3.24303321,36.34487829
20,115,35.64615704,-1.73099708,-3.18532797,35.83003177
20,116,35.09381962,-1.50533448,-2.98261365,35.25249199
20,117,34.41526769,-1.30862029,-2.73461825,34.54853505
20,118,33.42243917,-1.19227651,-2.49011362,33.53627334
20,119,32.31399476,-1.10549936,-2.24689317,32.41087649
20,120,31.53039544,-1.27883913,-2.14220256,31.62894715
20,121,31.01315295,-1.64750001,-2.14366032,31.13077564
20,122,30.57449080,-2.11119248,-2.25177411,30.72990576
20,123,30.04842739,-2.74874940,-2.80430217,30.30392256
20,124,29.49021086,-3.45026749,-3.52032110,29.89932345
20,125,28.69970637,-3.94032816,-4.00574679,29.24457794
20,126,27.65849878,-4.17645918,-4.18841422,28.28388551
20,127,26.52508305,-4.31913764,-4.25964288,27.20991617
20,128,25.49925520,-4.17000483,-3.87172604,26.12644673
20,129,24.51300672,-3.91352066,-3.31489900,25.04379559
20,130,23.70612993,-3.65121484,-2.97794094,24.16981792
20,131,23.18485716,-3.43163478,-3.09765331,23.64126001
20,132,22.76865224,-3.22777266,-3.38536533,23.24415496
20,133,22.26894740,-3.05153379,-3.67222310,22.77505432
20,134,21.71819073,-2.88909267,-3.94833634,22.26243529
20,135,21.04152107,-2.72999020,-4.13081327,21.61624560
20,136,20.05089941,-2.56777604,-4.05480086,20.61730949
20,137,18.94478125,-2.40441715,-3.88369555,19.48766403
20,138,17.87742129,-2.36001557,-3.65764033,18.39973365
20,139,16.85679391,-2.40709122,-3.40338935,17.36458027
20,140,15.68992876,-2.53665789,-3.08134953,16.18960199
20,141,13.48994219,-2.98922692,-2.39031527,14.02239726
20,142,10.90989149,-3.56062187,-1.56353555,11.58224520
20,143,8.44542121,-3.62595297,-0.51324855,9.20522126
20,144,6.21489457,-3.09304884,0.74935447,6.98236333
20,145,4.07079906,-2.34002330,2.08989231,5.13952954
20,146,4.23023600,-1.24088231,2.39839301,5.01866262
20,147,5.23709515,-0.01441257,2.32722846,5.73091317
20,148,5.87682510,1.14237723,1.90374132,6.28222333
40,0,0.00002435,-0.04823044,-0.02160195,0.05284713
40,1,0.00001222,-0.12823897,-0.06529531,0.14390522
40,2,-0.00130915,0.00437494,-0.01464381,0.01533933
40,3,-0.00623971,0.75623023,0.32746170,0.82410816
40,4,0.00077101,2.02685096,1.02775181,2.27253145
40,5,0.05916240,-4.01158699,-1.66965837,4.34558275
40,6,-1.84216331,-25.19387975,-12.24500817,28.07250199
40,7,-9.90625044,-56.72391612,-29.55631689,64.72489726
40,8,-36.90812123,-45.08742241,-30.64631044,65.83525967
40,9,-49.24138405,-15.93432577,-21.34098471,55.98262471
40,10,-44.20292206,10.65633992,-9.36740516,46.42417666
40,11,-27.83282832,21.46559119,0.00096560,35.14879711
40,12,-10.63440898,6.77134598,2.99507646,12.95809645
40,13,-8.11931154,-11.36582480,1.00207886,14.00390500
40,14,-11.84933757,-15.85071121,0.50597318,19.79666274
40,15,-15.91762633,-10.00034314,2.35846508,18.94571320
