sample_local,Bx_nT,By_nT,Bz_nT,mag_nT
0,-0.00000008,0.00208697,0.00092540,0.00228294
1,-0.00000231,0.00674013,0.00368204,0.00768028
2,0.00002499,-0.04872794,-0.02200442,0.05346595
3,-0.00002044,-0.15560625,-0.08343146,0.17656193
4,-0.00576562,0.69737644,0.30215614,0.76004307
5,0.01945449,0.25216803,0.24678439,0.35336911
6,-1.85677103,-23.62533194,-11.53998828,26.35858944
7,-21.92925378,-44.52900669,-26.65771405,56.34144413
8,-43.73096666,-15.72889611,-19.87366210,50.54461458
9,-34.24940870,15.18537104,-5.26258821,37.83268857
10,-12.99493699,4.46098210,1.05872322,13.78004512
11,-11.14667030,-14.10554847,-0.25797346,17.98002521
12,-15.65912949,-9.35833365,2.07742482,18.36034964
13,-15.45286737,2.27482780,8.22106849,17.65083337
14,-8.77101647,14.20884144,18.39736811,24.84522204
15,5.70790236,21.86070267,29.41733647,37.09245416
16,26.08981096,23.34320495,38.50460077,52.04025109
17,45.64855669,17.95035152,43.90686948,65.83174793
18,61.97190099,8.55497984,43.91912038,76.43685844
19,75.20589047,-1.45118759,39.64411355,85.02756991
20,83.88798339,-11.41735376,32.10938167,90.54591165
21,88.14324855,-20.71300829,22.60727048,93.32389649
22,86.39244500,-28.50862516,11.64905086,91.71748278
23,79.16683040,-32.57225255,-0.52930833,85.60735271
24,68.96214519,-32.98364802,-12.11319229,77.39785483
25,56.99212978,-30.47953151,-21.33713517,68.06157532
26,46.20157875,-25.65592165,-27.77707182,59.70241129
27,39.53794769,-21.22877202,-30.98059642,54.53171026
28,35.02369312,-16.77867829,-32.08052967,50.37205087
29,31.31648928,-8.82063102,-31.39687111,45.21382032
30,31.50264976,-1.36759445,-28.95945725,42.81281841
31,35.16512869,3.04239983,-25.62866798,43.61961824
32,40.20999680,5.19622356,-21.22129775,45.76229955
33,44.57146907,5.38732540,-16.90342758,47.97254417
34,47.69536809,4.83373368,-13.04171727,49.68198373
35,48.33498676,3.57942315,-10.36077787,49.56237417
36,47.90689459,1.25902050,-8.19054376,48.61831639
37,47.39088636,0.23080818,-5.53583585,47.71367583
38,46.17704325,-0.13745834,-3.44344244,46.30545879
39,43.68786440,-0.83480156,-2.49189730,43.76683609
40,40.86896759,-1.61943694,-2.12977281,40.95645273
41,38.18152925,-2.09043402,-2.65748996,38.33094498
42,36.39468112,-1.77916815,-2.96991865,36.55897523
43,34.15062468,-1.36538139,-2.57667580,34.27489884
44,31.97708142,-1.67933713,-2.30349410,32.10389376
45,30.19972302,-3.05685270,-3.33608411,30.53681510
46,27.45994720,-3.90725743,-3.94608816,28.01583432
47,24.79024875,-3.64891073,-3.21014246,25.26214554
48,23.01265119,-3.20646183,-3.60776221,23.51338896
49,20.77603765,-2.74306015,-3.86238113,21.30929627
50,17.92313527,-2.54800545,-3.47870928,18.43454713
51,12.54077209,-3.39830557,-1.96393333,13.14064227
52,6.39795935,-2.45232097,1.09172951,6.93827322
53,6.30388317,0.24552084,1.44922665,6.47298087
54,3.60019516,1.92216124,-0.18277534,4.08528039
55,-0.41743785,-0.49246777,-1.00311931,1.19290704
56,-0.40848522,-1.12807513,-0.38738098,1.26074490
57,-0.01461367,-0.07674257,-0.02431129,0.08181699
