x_m,Bx_latent,By_latent,Bz_latent,Bx_reproj,By_reproj,Bz_reproj,Bx_obs,By_obs,Bz_obs
-9.58648362,-0.00000000,0.00003056,0.00002240,-0.00000000,0.00003056,0.00002240,0.00000000,0.00000000,0.00000000
-9.30076962,-0.00000000,-0.00091779,-0.00044697,-0.00000000,-0.00056891,-0.00027430,0.00000000,0.00000000,0.00000000
-9.01505562,0.00000009,0.00005201,-0.00011002,0.00000006,-0.00017641,-0.00017046,0.00000000,0.00000000,0.00000000
-8.72934162,-0.00000059,0.01061543,0.00502884,-0.00000035,0.00664533,0.00311612,0.00000000,0.00000000,0.00000000
-8.44362762,-0.00000663,0.00828089,0.00554384,-0.00000432,0.00767920,0.00465074,0.00000000,0.00000000,0.00000000
-8.15791362,0.00006464,-0.12565311,-0.05820149,0.00003927,-0.07660289,-0.03507945,0.00000000,0.00000000,0.00000000
-7.87219962,-0.00006918,-0.23623693,-0.13137587,-0.00002928,-0.17751085,-0.09595040,0.00000000,0.00000000,0.00000000
-7.58648562,-0.00910931,1.19377834,0.52655096,-0.00576895,0.68930924,0.29754551,0.00000000,0.00000000,0.00000000
-7.30077162,0.00883960,3.21560077,1.69493648,0.00346541,2.28623006,1.18086507,0.00000000,0.00000000,0.00000000
-7.01505762,0.16058667,-16.11865386,-7.18689129,0.10278499,-9.34787545,-4.10856576,0.00000000,0.00000000,0.00000000
-6.72934362,-9.16698390,-80.32533671,-40.82412184,-5.75682650,-54.21418793,-27.31722359,-5.50000000,-64.00000000,-31.00000000
-6.44362962,-58.05393186,-33.06457275,-30.08786024,-38.81490197,-40.84508136,-29.06859998,-38.98245614,-38.63157895,-28.61403509
-6.15791562,-55.60166058,18.07953747,-8.84469446,-49.42615720,-3.59761838,-16.28465352,-49.46491228,-4.26315789,-16.22807018
-5.87220162,-23.35779983,36.19591883,5.65757531,-32.94781257,21.55669460,-2.41451957,-32.94736842,25.10526316,-1.84210526
-5.58648762,-0.62522099,-1.77999993,4.73766735,-12.51603792,6.80509021,2.10652482,-12.42982456,6.47368421,2.54385965
-5.30077362,-8.37839679,-27.67538250,-1.55638450,-9.90054990,-14.99072547,-0.20887547,-9.91228070,-18.15789474,-1.07017544
-5.01505962,-18.53322474,-11.08961753,1.63607042,-15.35744114,-12.52475494,0.95735276,-15.39473684,-10.78947368,1.31578947
-4.72934562,-17.78941384,2.39187887,7.03731117,-16.89474108,-3.09564404,4.80061947,-16.87719298,-3.42105263,4.70175439
-4.44363162,-12.87641336,15.69776901,16.55540771,-14.35467352,8.78405872,12.23106278,-14.35964912,8.94736842,12.08771930
-4.15791762,-0.88563139,23.88212543,28.20157622,-5.84061508,18.32785709,22.32635266,-5.84210526,18.31578947,22.47368421
-3.87220362,17.13785235,26.80019466,37.35630852,8.68454659,23.68339585,31.82709676,8.67543860,23.68421053,31.85964912
-3.58648962,37.95125112,24.20614750,43.79310198,27.18463221,24.01383792,39.39105467,27.19298246,24.05263158,39.24561404
-3.30077562,54.89834302,16.55125821,47.36164947,44.70303858,19.29658786,44.42943151,44.71052632,19.42105263,44.63157895
-3.01506162,67.69432976,6.11611543,45.49718487,59.23630641,10.96494026,45.10438036,59.22807018,10.78947368,45.01754386
-2.72934762,79.02566873,-2.97031769,40.78471051,71.74556918,2.15617722,42.37382824,71.74561404,2.15789474,42.40350877
-2.44363362,86.78947901,-11.57834844,33.52796336,81.25513387,-6.52569882,36.78217519,81.26315789,-6.47368421,36.78947368
-2.15791962,90.01627513,-20.03664562,24.82286831,86.79323138,-15.06624606,29.22245144,86.78070175,-15.10526316,29.17543860
-1.87220562,90.74037816,-27.33987095,15.52844133,89.28830401,-22.82465669,20.56618612,89.29824561,-22.73684211,20.56140351
-1.58649162,85.37376449,-33.04543512,5.27193458,86.81384310,-29.28542086,10.89837529,86.81578947,-29.36842105,10.94736842
-1.30077762,76.57471639,-35.09824768,-5.88153797,80.34148061,-32.95982820,0.29144714,80.33333333,-33.00000000,0.33333333
-1.01506362,66.89825741,-34.13206488,-16.29146664,71.84374285,-33.70082311,-10.19095359,71.85087719,-33.63157895,-10.28070175
-0.72934962,55.27431123,-31.40533015,-23.98059578,61.36986447,-32.24979481,-18.90766992,61.36842105,-32.26315789,-18.89473684
-0.44363562,44.77806929,-26.63935816,-29.42957109,50.88184963,-28.70332246,-25.55877997,50.88596491,-28.89473684,-25.50877193
-0.15792162,37.49391636,-20.95363914,-32.57250787,42.41906177,-23.80458831,-29.99230157,42.40350877,-23.52631579,-30.12280702
0.12779238,35.29314965,-18.19211316,-32.89945288,37.91462622,-20.25682738,-31.82997168,37.92105263,-20.15789474,-31.73684211
0.41350638,32.39662262,-14.18913441,-32.72070783,34.42658270,-16.42131391,-32.39302432,34.43859649,-16.78947368,-32.35087719
0.69922038,28.95356443,-5.41720621,-31.50266753,30.96697533,-9.46539120,-31.83021149,30.95614035,-9.42105263,-31.96491228
0.98493438,30.18580839,1.94903527,-28.48130451,30.47318365,-2.25009756,-29.71329853,30.47368421,-2.05263158,-29.57894737
1.27064838,34.46087688,5.01128418,-25.66052439,32.99388652,2.33997113,-27.15145668,32.99122807,2.31578947,-27.19298246
1.55636238,40.13189868,6.20645135,-21.72023144,37.50597076,4.78405277,-23.71826754,37.50877193,4.68421053,-23.80701754
1.84207638,44.65277045,6.57130081,-17.12462413,42.02360977,5.91380900,-19.55028998,42.02631579,6.05263158,-19.42105263
2.12779038,47.60099466,5.28405358,-13.84386920,45.54918943,5.51572765,-15.94314409,45.54385965,5.42105263,-16.03508772
2.41350438,49.51343094,4.51160435,-10.79436720,48.05506799,4.88100067,-12.68849636,48.06140351,4.78947368,-12.64912281
2.69921838,48.88504595,3.36493614,-8.99955130,48.57971412,3.92266511,-10.35663835,48.57894737,4.15789474,-10.26315789
2.98493238,47.81842601,0.27278200,-7.80575425,48.09848826,1.61549896,-8.74417207,48.09649123,1.52631579,-8.87719298
3.27064638,47.33647685,-0.81961811,-5.17139603,47.61680518,0.07621140,-6.48574688,47.61403509,-0.10526316,-6.49122807
3.55636038,46.84473108,0.08436097,-2.81053417,47.12876127,0.08136291,-4.16256937,47.13157895,0.26315789,-4.10526316
3.84207438,44.78370099,-0.56980600,-1.93337165,45.64640045,-0.33025435,-2.75344766,45.64912281,-0.36842105,-2.71929825
4.12778838,41.73049940,-1.37475948,-1.93906957,43.17107889,-0.99050752,-2.23866253,43.16666667,-1.00000000,-2.33333333
4.41350238,39.22855577,-2.07605669,-1.91897780,40.67892897,-1.67670547,-2.03658324,40.68421053,-1.63157895,-1.94736842
4.69921638,36.77024687,-2.47948141,-2.87792484,38.20817066,-2.18415664,-2.56841256,38.20175439,-2.26315789,-2.56140351
4.98493038,35.85405782,-1.79006051,-3.39787357,36.72008754,-1.93504038,-3.09273192,36.71929825,-1.89473684,-3.17543860
5.27064438,34.35644639,-1.21402367,-2.65960116,35.22598137,-1.47927090,-2.81894106,35.23684211,-1.52631579,-2.78947368
5.55635838,31.33314326,-1.03512939,-2.03609955,32.76523837,-1.19851992,-2.32409085,32.75438596,-1.15789474,-2.40350877
5.84207238,30.40169816,-2.27541354,-2.19870020,31.27119601,-1.87924652,-2.24482884,31.27192982,-1.78947368,-2.01754386
6.12778638,28.91816819,-4.17503390,-4.28455564,29.78379875,-3.33046092,-3.53418209,29.78947368,-3.42105263,-3.63157895
6.41350038,25.86560020,-4.40221911,-4.30119065,27.30702489,-4.00794131,-4.01902397,27.30701754,-4.05263158,-4.24561404
6.69921438,23.38876614,-3.58203664,-2.61657531,24.83021298,-3.73871821,-3.13250734,24.82456140,-3.68421053,-2.85964912
6.98492838,22.47576107,-3.08134232,-3.60781867,23.34191552,-3.32317739,-3.43296140,23.34210526,-3.31578947,-3.47368421
7.27064238,20.98313151,-2.68428547,-4.30174414,21.85087966,-2.91932068,-3.98213683,21.85964912,-2.94736842,-4.08771930
7.55635638,17.96598887,-2.26250707,-3.71945199,19.39516032,-2.50413529,-3.81608834,19.37719298,-2.57894737,-3.70175439
7.84207038,15.41145684,-2.52045522,-3.02346914,16.87697945,-2.51445146,-3.31505745,16.89473684,-2.21052632,-3.31578947
8.12778438,8.20827761,-4.16757925,-0.69432181,11.39731480,-3.55942752,-1.65843657,11.41228070,-3.84210526,-1.92982456
8.41349838,2.82274242,-1.90199067,2.87010144,5.97715131,-2.51172761,1.20414540,5.92982456,-2.47368421,1.45614035
8.69921238,6.67998210,1.44233429,2.11893421,6.42142510,-0.01228380,1.78240222,6.44736842,-0.10526316,1.84210526
8.98492638,4.09588250,3.68107829,-0.64991510,4.95140181,2.32236631,0.24488444,4.96491228,2.26315789,0.22807018
9.27064038,-2.11041342,1.33208452,-2.09757353,0.48748323,1.69638883,-1.23583140,0.48245614,2.63157895,-1.38596491
9.55635438,-3.40062836,-5.12667673,-0.86367135,-1.97027204,-2.61661118,-1.00058138,-2.00000000,-4.00000000,-1.00000000
9.84206838,1.09494538,0.31581023,0.38815518,-0.03268509,-0.76296732,-0.12273245,0.00000000,0.00000000,0.00000000
10.12778238,0.03863065,0.57894640,0.14677308,0.01239506,0.08528393,0.04762754,0.00000000,0.00000000,0.00000000
10.41349638,-0.00934850,0.03994143,-0.01294285,-0.00134949,0.05662200,0.00933975,0.00000000,0.00000000,0.00000000
10.69921038,0.00057739,-0.04060415,-0.01164127,-0.00013147,-0.00483665,-0.00392278,0.00000000,0.00000000,0.00000000
10.98492438,0.00010412,-0.00563632,0.00042181,0.00001745,-0.00534214,-0.00117648,0.00000000,0.00000000,0.00000000
11.27063838,-0.00001028,0.00301646,0.00102275,-0.00000008,-0.00005850,0.00021370,0.00000000,0.00000000,0.00000000
11.55635238,-0.00000032,0.00070428,0.00004785,-0.00000023,0.00042367,0.00010887,0.00000000,0.00000000,0.00000000
11.84206638,0.00000015,-0.00019241,-0.00007933,0.00000001,0.00003423,-0.00001010,0.00000000,0.00000000,0.00000000
12.12778038,-0.00000000,-0.00007629,-0.00001078,0.00000000,-0.00003563,-0.00001053,0.00000000,0.00000000,0.00000000
12.41349438,-0.00000000,0.00002171,0.00000874,-0.00000000,0.00000061,0.00000166,0.00000000,0.00000000,0.00000000
