sample_local,Bx_nT,By_nT,Bz_nT,mag_nT
0,-101.59928523,-44.00807299,-11.03268573,111.26924734
1,-125.54380982,-24.55973073,-9.41186137,128.26929364
2,-139.39127623,2.01734252,-2.13457851,139.42221482
3,-135.73049575,28.22587166,8.70276387,138.90718270
4,-117.98715220,45.29744822,18.93478031,127.79418142
5,-99.06457439,28.84572721,21.81348673,105.45944283
6,-92.55374092,7.60097140,19.17016875,94.82333623
7,-93.42456867,0.80376286,17.88618890,95.12471719
8,-95.98605757,8.11109378,19.78384932,98.33877050
9,-95.34216691,14.54288280,22.31817418,98.99356105
10,-91.46931786,24.09281466,27.81533922,98.59408159
11,-83.92300136,32.24542449,35.25811963,96.57107516
12,-72.75993462,37.87040066,43.06763402,92.64446249
13,-58.37556107,40.84841885,49.90894065,86.98966496
14,-41.63044301,40.51694192,55.30526355,80.20840694
15,-25.64619879,36.84983299,59.29360431,74.37317537
16,-11.37964465,30.66027068,60.75689677,68.99963055
17,1.17461781,23.15116133,59.62320083,63.97094712
18,12.58459110,15.94439826,56.85318055,60.37284081
19,21.81966070,8.87202236,52.03332833,57.11635169
20,28.66128336,1.85164149,45.95683353,54.19343399
21,33.45776808,-4.82388096,39.12720932,51.70716180
22,36.37094929,-10.86540155,31.83082401,49.53891663
23,36.02465325,-16.22839722,23.94321831,46.19972101
24,33.03274713,-19.60622284,15.41680102,41.39135309
25,28.58002234,-21.11929965,6.75377010,36.17258499
26,23.13143544,-21.11154506,-1.39340786,31.34808169
27,16.63261541,-20.04194182,-8.25173928,27.32058800
28,10.30185683,-17.58720539,-13.64535945,24.52822623
29,5.16098567,-13.95360995,-17.78697602,23.18869379
30,1.98019081,-10.50884512,-20.44191387,23.07008505
31,0.89965656,-8.23808966,-21.56992736,23.10708267
32,0.29857236,-5.90594483,-22.18237690,22.95707244
33,-0.35645663,-0.93167986,-22.18134099,22.20376042
34,0.24386094,4.81911206,-21.17764918,21.72040824
35,2.71851873,9.71650393,-19.42717811,21.89100368
36,6.95125490,12.63724011,-17.78130727,22.89529800
37,12.51704744,14.12403885,-15.41629771,24.36856962
38,18.16931504,14.92330353,-12.44566355,26.60307385
39,23.36045518,14.87743370,-9.55591831,29.29785785
40,27.86739233,13.89486739,-7.24692670,31.97150046
41,31.68614990,13.03783303,-4.93747913,34.61756614
42,34.18095097,12.21295489,-3.28194171,36.44536758
43,35.88716266,10.53493736,-2.24836254,37.46903366
44,37.29308054,8.27409739,-1.35204951,38.22384834
45,38.79383750,6.74343331,0.23314680,39.37626287
46,40.32466751,6.72887703,1.80252995,40.92194656
47,41.31542626,6.34226303,2.80773500,41.89358093
48,41.67801932,5.55438590,3.17580792,42.16626914
49,41.56953419,4.76340335,3.07186497,41.95417188
50,41.52004372,3.97894064,3.01841027,41.81933523
51,41.51064553,3.20729889,2.33842457,41.69998427
52,41.95234651,2.87328699,1.47992642,42.07666025
53,42.80320587,2.94868434,0.89351551,42.91395510
54,43.60037775,2.98749086,0.95253702,43.71298855
55,43.62773358,2.99405717,0.99055291,43.74156731
56,44.10656220,2.43746505,0.99041971,44.18496346
57,44.92892416,1.24805645,0.31963059,44.94739186
58,45.61232898,-0.29824695,-1.26733487,45.63090668
59,45.58344418,-1.07975378,-2.05415510,45.64247808
60,45.53516183,-1.15499871,-1.48947446,45.57415406
61,45.95955672,-1.05853752,-1.42955899,45.99396693
62,46.80586497,-1.02030056,-2.28663289,46.87279273
63,47.60380521,-1.00910056,-3.10103834,47.71537481
64,47.63447252,-0.99463173,-3.12565425,47.74727195
65,47.54534913,-1.01000473,-3.05091399,47.65383940
66,46.49747345,-1.67912292,-2.67805483,46.60479019
67,43.91876557,-3.02720246,-1.57184056,44.05102276
68,41.54283866,-2.21566995,0.84225553,41.61040773
69,43.13667251,-0.62656429,1.30666149,43.16100627
70,45.02883754,1.07643761,0.22809371,45.04227963
71,45.16956291,2.23593480,-1.56455467,45.25192426
72,43.40806580,2.04945331,-3.19727153,43.57387956
73,43.29666533,-3.41394116,-3.24035168,43.55176347
74,43.40896351,-6.96478537,-3.09693718,44.07309121
