x_m,Bx_latent,By_latent,Bz_latent,Bx_reproj,By_reproj,Bz_reproj,Bx_obs,By_obs,Bz_obs
-6.46816286,-101.59928523,-44.00807299,-11.03268573,-101.59928523,-44.00807299,-11.03268573,-101.50000000,-44.00000000,-11.00000000
-6.18244886,-150.30168244,-4.45076683,-7.73598082,-132.38507177,-19.00308652,-8.94877078,-132.50000000,-19.00000000,-9.00000000
-5.89673486,-145.16899086,35.03274709,9.96987017,-140.46604985,15.15407482,3.01009111,-140.50000000,15.00000000,3.00000000
-5.61102086,-110.46228157,60.37020387,25.08968790,-121.50005108,43.73611958,16.96705817,-121.50000000,44.00000000,17.00000000
-5.32530686,-85.25090934,14.13403670,23.28872705,-98.58622334,25.02403441,20.96311504,-98.50000000,25.00000000,21.00000000
-5.03959286,-90.52138969,-14.21129239,14.80342475,-93.48827619,0.22257771,17.06944817,-93.50000000,0.00000000,17.00000000
-4.75387886,-98.19375171,10.67168876,20.05827540,-96.46270401,6.82767563,18.95874731,-96.50000000,7.00000000,19.00000000
-4.46816486,-94.96748932,18.28593190,23.79302721,-95.51754806,14.07067499,22.01459503,-95.50000000,14.00000000,22.00000000
-4.18245086,-87.57203263,32.89756949,33.07776382,-90.49502441,25.97154206,29.00785146,-90.50000000,26.00000000,29.00000000
-3.89673686,-73.09879447,40.26392728,44.79896846,-79.49850982,35.00605259,38.98974117,-79.50000000,35.00000000,39.00000000
-3.61102286,-52.59285460,42.90408882,53.23959518,-62.49089200,39.99856366,47.99736685,-62.50000000,40.00000000,48.00000000
-3.32530886,-29.29699969,40.00155828,59.09650135,-41.50835024,40.00045662,55.01335795,-41.50000000,40.00000000,55.00000000
-3.03959486,-9.86745165,32.07285112,62.87377181,-21.50748774,34.98925420,59.98208716,-21.50000000,35.00000000,60.00000000
-2.75388086,5.41099123,20.78995361,60.02698748,-4.49176377,26.01358438,60.01046957,-4.50000000,26.00000000,60.00000000
-2.46816686,19.22478634,11.75035591,55.24120150,10.49995514,16.99750443,56.99571717,10.50000000,17.00000000,57.00000000
-2.18245286,29.47105277,2.75786616,47.51045780,22.49197597,7.99633633,50.99988972,22.50000000,8.00000000,51.00000000
-1.89673886,35.18030502,-6.22734330,38.34870945,30.51252962,-0.99474399,43.00281858,30.50000000,-1.00000000,43.00000000
-1.61102486,38.38686420,-13.67158722,28.76063225,35.49005840,-9.00803722,34.00003979,35.50000000,-9.00000000,34.00000000
-1.32531086,35.50270667,-20.05915079,18.17705143,35.49805363,-15.99367331,23.99800355,35.50000000,-16.00000000,24.00000000
-1.03959686,29.18611471,-22.32841909,6.59373576,31.50814727,-19.99799635,12.99640807,31.50000000,-20.00000000,13.00000000
-0.75388286,21.99211187,-21.58922746,-4.38949143,25.49286566,-21.00384625,2.00642356,25.50000000,-21.00000000,2.00000000
-0.46816886,12.85062183,-19.41954570,-12.24300579,17.50144342,-20.00237730,-7.00093369,17.50000000,-20.00000000,-7.00000000
-0.18245486,4.83683603,-15.22702629,-18.08167583,9.49588472,-16.98377975,-14.00529860,9.50000000,-17.00000000,-14.00000000
0.10325914,0.03513924,-9.12872224,-21.88964544,3.51555300,-12.01843641,-18.98915633,3.50000000,-12.00000000,-19.00000000
0.38897314,0.31682866,-7.25490336,-22.18176625,1.49357359,-9.00730924,-21.00727070,1.50000000,-9.00000000,-21.00000000
0.67468714,-0.09724222,-4.21049955,-22.58342727,0.48798621,-5.97514722,-22.00359167,0.50000000,-6.00000000,-22.00000000
0.96040114,-1.05784427,5.04973299,-21.97941679,-0.48916502,0.99390622,-21.98831023,-0.50000000,1.00000000,-22.00000000
1.24611514,2.65685583,12.06077936,-18.86134339,1.49949944,7.98950426,-20.01169020,1.50000000,8.00000000,-20.00000000
1.53182914,9.41438046,14.33701705,-16.82354899,6.50265845,12.00189759,-17.99640060,6.50000000,12.00000000,-18.00000000
1.81754314,17.56785840,15.17566264,-13.24472629,13.49719883,14.00809973,-14.99276958,13.50000000,14.00000000,-15.00000000
2.10325714,24.57118631,15.55867205,-8.69474363,20.49729399,14.98824837,-11.01165790,20.50000000,15.00000000,-11.00000000
2.38897114,30.00186666,13.43506474,-6.23319842,26.50532978,14.00644906,-7.99109542,26.50000000,14.00000000,-8.00000000
2.67468514,34.39675908,12.42709444,-3.26357047,31.49366448,13.00810654,-5.00272971,31.50000000,13.00000000,-5.00000000
2.96039914,36.25083024,11.38584632,-1.84597047,34.50076676,11.98264251,-3.00727730,34.50000000,12.00000000,-3.00000000
3.24611314,37.66666643,7.27433454,-1.39796859,36.50199703,9.00642424,-1.99000018,36.50000000,9.00000000,-2.00000000
3.53182714,39.66717341,5.85258341,1.15562392,38.50277009,7.01281662,-0.00158651,38.50000000,7.00000000,0.00000000
3.81754114,41.65788378,6.96830350,3.16156797,40.49718232,6.98467896,1.99790846,40.50000000,7.00000000,2.00000000
4.10325514,42.07930983,5.43653081,3.57765190,41.49727764,6.00606269,2.99649677,41.50000000,6.00000000,3.00000000
4.38896914,41.50856439,4.41463211,3.01481259,41.50441223,5.00008670,3.00807458,41.50000000,5.00000000,3.00000000
4.67468314,41.48907689,3.41091671,2.98386327,41.49471845,3.99553968,2.99277011,41.50000000,4.00000000,3.00000000
4.96039714,41.51322413,2.43193194,1.42219439,41.50641627,3.00715108,1.99997691,41.50000000,3.00000000,2.00000000
5.24611114,43.07949122,2.98755917,0.42802361,42.50078929,2.99476663,1.00631291,42.50000000,3.00000000,1.00000000
5.53182514,44.06433593,3.01007601,0.98688478,43.48913927,3.00444400,0.99403199,43.50000000,3.00000000,1.00000000
5.81753914,43.52348895,2.99439450,1.02004473,43.51085241,2.99809151,1.01047518,43.50000000,3.00000000,1.00000000
6.10325314,45.07449999,1.40898322,0.96658435,44.49926619,1.99358349,0.98273088,44.50000000,2.00000000,1.00000000
6.38896714,46.07342615,-1.15008104,-2.14501403,45.49432507,0.00640851,-0.99438098,45.50000000,0.00000000,-1.00000000
6.67468114,45.50331430,-1.58261166,-2.55792635,45.50000735,-0.99804381,-1.98273015,45.50000000,-1.00000000,-2.00000000
6.96039514,45.50893638,-1.00691873,-0.46244873,45.50565157,-1.00365383,-1.02172901,45.50000000,-1.00000000,-1.00000000
7.24610914,47.07838746,-0.99675121,-2.55976676,46.49981026,-0.99929054,-1.99395430,46.50000000,-1.00000000,-2.00000000
7.53182314,48.06821404,-1.00258345,-3.57503074,47.49123053,-1.00137206,-2.99338522,47.50000000,-1.00000000,-3.00000000
7.81753714,47.53352758,-0.98153477,-3.01571577,47.51796736,-0.98883250,-3.00750082,47.50000000,-1.00000000,-3.00000000
8.10325114,47.46145101,-1.04887868,-3.00077916,47.48224222,-1.02678892,-3.00325192,47.50000000,-1.00000000,-3.00000000
8.38896514,42.74072761,-4.10737399,-1.38186945,44.48503336,-2.97409008,-1.97834273,44.50000000,-3.00000000,-2.00000000
8.67467914,39.83769939,-1.44803553,2.70059441,41.54735801,-2.00943963,0.97930963,41.50000000,-2.00000000,1.00000000
8.96039314,46.17701003,1.17119420,1.01524088,44.47385623,0.00110440,1.00202251,44.50000000,0.00000000,1.00000000
9.24610714,46.07132581,3.18773657,-2.16777830,45.48364959,2.01544011,-1.00167375,45.50000000,2.00000000,-1.00000000
9.53182114,42.38285438,1.94153991,-4.14753822,43.52357319,1.96872627,-2.99023936,43.50000000,2.00000000,-3.00000000
9.81753514,43.47431845,-9.03129400,-3.01347328,43.49243825,-4.98461269,-3.00492600,43.50000000,-5.00000000,-3.00000000
