speed_kmh,sample_local,Bx_nT,By_nT,Bz_nT,mag_nT
20,0,-46.53602778,-52.00016662,3.99403681,69.89686359
20,1,-54.06871205,-50.11187556,2.73709788,73.77070828
20,2,-64.37251601,-47.52892104,1.01775695,80.02409000
20,3,-75.69575792,-44.69041411,-0.87169216,87.90813801
20,4,-84.36920811,-41.54455059,-2.18504355,94.06852489
20,5,-91.43156848,-38.24073894,-3.15211164,99.15655116
20,6,-97.90124204,-34.87882141,-3.99178921,104.00538330
20,7,-103.31562758,-30.90632442,-4.24078177,107.92267613
20,8,-107.89572128,-26.39529010,-3.98273495,111.14882000
20,9,-112.16889616,-21.68613895,-3.53815877,114.30078065
20,10,-115.41115458,-16.82569664,-2.74284916,116.66345568
20,11,-117.27410568,-11.82418161,-1.51118494,117.87837297
20,12,-118.62963798,-6.77076883,-0.11899483,118.82276077
20,13,-119.21491514,-1.95667213,1.32673920,119.23835286
20,14,-118.18586509,2.18004188,2.77960388,118.23864634
20,15,-116.56293726,6.06756074,4.23509178,116.79755836
20,16,-114.52896921,9.80983892,5.75681180,115.09239162
20,17,-111.06661684,13.14340774,7.73577622,112.10880776
20,18,-107.07879124,16.32662078,9.88295146,108.76625768
20,19,-102.89765485,19.45452104,12.09200800,105.41642386
20,20,-98.30839538,21.87620805,14.42145332,101.74029387
20,21,-93.55393574,24.00744411,16.79954977,98.03530557
20,22,-88.73870237,26.03182924,19.19554397,94.44936390
20,23,-84.04930842,27.06284092,21.73217807,90.93388350
20,24,-79.44717596,27.46466773,24.35760925,87.51831163
20,25,-74.87714520,27.63503037,27.01570705,84.26227035
20,26,-71.70355809,27.49691071,28.86396906,82.04028920
20,27,-69.93032195,27.10230010,29.88804875,80.73462737
20,28,-68.67224614,26.61333176,30.60892869,79.75621187
20,29,-67.25593848,26.23620933,31.14435149,78.62360059
20,30,-65.33128033,26.08994364,31.51586824,77.08509130
20,31,-63.21961050,26.02860541,31.82708733,75.41333396
20,32,-60.47116888,25.91867155,32.25185251,73.27156196
20,33,-55.88893720,25.56601778,33.10062870,69.80577473
20,34,-50.63209185,25.12407233,34.10538981,66.01519029
20,35,-45.22253631,24.63160796,35.04918244,62.29156516
20,36,-40.74318031,23.93798484,34.74770626,58.65523804
20,37,-36.60602560,23.17035954,33.98812128,55.06413587
20,38,-32.59475970,22.37551037,33.06000750,51.53684042
20,39,-29.40517298,21.67324402,31.90589237,48.50133681
20,40,-26.59040531,21.01463562,30.65329254,45.69779982
20,41,-23.91352586,20.37208809,29.36446221,43.00174802
20,42,-21.49144571,19.73630570,28.46045906,40.76029601
20,43,-19.23455957,19.10331204,27.83744478,38.85650711
20,44,-17.03844490,18.47134430,27.31780054,37.11820835
20,45,-14.74096914,17.84132861,26.77947309,35.39419948
20,46,-12.31167000,17.21323426,26.19093872,33.67250990
20,47,-9.83387575,16.58584673,25.58393427,32.03643421
20,48,-7.45510702,16.08283526,24.96350006,30.61719363
20,49,-5.29322509,15.81723183,24.32787997,29.49658961
20,50,-3.21113137,15.63896593,23.68667331,28.56478798
20,51,-1.06590969,15.53364603,22.90872053,27.69909382
20,52,1.43183151,15.60049655,21.60086603,26.68375999
20,53,4.05925741,15.73068503,20.09807158,25.84307458
20,54,6.74309484,15.85118434,18.53382934,25.30281018
20,55,9.63039555,15.27554586,17.16251361,24.91262116
20,56,12.59254622,14.44381260,15.86217158,24.87577998
20,57,15.58223265,13.51786733,14.58793931,25.26552364
20,58,17.94872060,12.74981480,13.86795701,26.01988816
20,59,19.99270772,12.06819528,13.43205474,26.94011495
20,60,21.91805341,11.41837268,13.10065968,27.97154955
20,61,23.72814362,10.99558392,12.87192262,29.14813986
20,62,25.46483245,10.74953951,12.70874991,30.42240318
20,63,27.17451842,10.56851571,12.56969698,31.75130325
20,64,28.61044740,10.19278510,12.37266531,32.79532612
20,65,29.70608746,9.54688982,12.09359584,33.46415691
20,66,30.67654222,8.80160653,11.78434636,34.02042533
20,67,31.57281554,8.05699378,11.24981727,34.47196279
20,68,32.38962582,7.38168912,10.23515127,34.76112076
20,69,33.17720328,6.73188149,9.04385277,35.04049542
20,70,34.02754249,6.14829707,7.82456342,35.45277137
20,71,35.24400352,5.85431218,6.76756966,36.36224353
20,72,36.59515324,5.66686499,5.77028110,37.47819024
20,73,37.99472723,5.51997474,4.79414892,38.69177280
20,74,38.99535859,5.89328933,3.52647652,39.59551600
20,75,39.84922717,6.45797658,2.15155247,40.42642138
20,76,40.64910473,7.09306591,0.73717274,41.26990093
20,77,41.26275037,7.56210273,-0.33081067,41.95127413
20,78,41.77354241,7.93042877,-1.19686127,42.53649049
