local_sample,normalized_magnitude,x_nT,y_nT,z_nT
0,0.84496727,-101.59928523,-44.00807299,-11.03268573
1,1.00000000,-131.21344962,-9.99031834,-4.90711606
2,0.97413459,-124.19026786,30.03707806,11.39963210
3,0.78381833,-99.85354398,18.49122674,18.46797371
4,0.74292283,-96.11001614,4.81006391,17.62786578
5,0.75068241,-95.78433500,12.39258550,21.06596009
6,0.74053519,-89.06828989,26.13031650,29.89379775
7,0.69059459,-72.13234510,35.94528688,42.13166842
8,0.60889501,-46.69128103,38.71318047,52.44416499
9,0.53399979,-20.99960865,32.73256653,58.58703411
10,0.46780671,1.03140573,21.69135810,57.64848758
11,0.42223859,18.82887507,9.88092175,51.37570075
12,0.38608619,29.84062721,-1.87007382,41.12069916
13,0.34990869,33.97678089,-12.13408997,28.66162628
14,0.29329106,30.69577804,-18.55216729,14.32621982
15,0.22976038,22.78617549,-19.90046894,0.42704599
16,0.18203729,12.56562507,-17.53516043,-10.45261277
17,0.16650178,4.66958227,-12.05673958,-17.70784713
18,0.16897022,1.78723946,-8.05913792,-20.66285870
19,0.16369543,0.07312344,-0.58559743,-21.54810107
20,0.16100266,2.65570791,7.72822243,-19.56345974
21,0.17325799,9.93464004,12.21503218,-16.51179684
22,0.20109906,18.94089288,14.31517248,-11.73017610
23,0.23531964,26.78171323,13.56413094,-7.68178718
24,0.26530772,32.37670955,12.40656907,-4.29151623
25,0.28085221,35.75576979,9.13738314,-2.41755207
26,0.29925886,38.71765867,7.33529017,0.33428133
27,0.31390724,40.77603925,6.37707601,2.31873841
28,0.31620288,41.23771426,5.06605413,2.75656672
29,0.31622863,41.40381434,3.72755501,2.43404627
30,0.32227036,42.29807297,3.20126553,1.27071174
31,0.33011472,43.34807291,3.07848284,1.09537553
32,0.33477604,44.00368079,2.46852352,1.02898180
33,0.34375927,45.25941760,0.31585962,-0.81354579
34,0.34512523,45.41457706,-0.78310090,-1.54820039
35,0.35045034,46.10810114,-0.92047424,-1.70894956
36,0.36029328,47.34711224,-0.97237651,-2.88852052
37,0.36110089,47.44849430,-0.99354008,-2.96551326
38,0.34492942,45.30137116,-2.42492024,-2.24866933
39,0.32063143,42.18181867,-1.66935103,0.79102659
40,0.33931778,44.67756644,0.69281780,0.03840224
41,0.33242103,43.68026028,1.63528969,-2.36434972
42,0.33364726,43.55008021,-5.10727715,-2.77467407
