"X","Y","Z"
"-436","-3102","538"
"-436","-3102","539"
"-435","-3102","540"
"-434","-3102","540"
"-434","-3103","540"
"-434","-3104","540"
"-434","-3105","540"
"-434","-3106","539"
"-434","-3106","538"
"-435","-3106","537"
"-436","-3106","536"
"-436","-3105","536"
"-436","-3104","536"
"-436","-3104","536"
"-436","-3104","536"
"-436","-3104","537"
"-436","-3103","539"
"-436","-3102","540"
"-435","-3103","541"
"-434","-3104","542"
"-435","-3104","542"
"-435","-3104","542"
"-434","-3104","542"
"-435","-3104","541"
"-435","-3104","539"
"-434","-3104","537"
"-434","-3104","537"
"-434","-3103","537"
"-434","-3103","536"
"-434","-3104","536"
"-434","-3104","537"
"-434","-3104","538"
"-434","-3104","538"
"-434","-3104","538"
"-434","-3105","538"
"-434","-3106","538"
"-435","-3105","537"
"-436","-3104","538"
"-432","-3102","538"
"-433","-3104","536"
"-435","-3104","540"
"-434","-3102","542"
"-434","-3104","542"
"-432","-3103","541"
"-432","-3102","539"
"-432","-3102","540"
"-432","-3102","539"
"-432","-3102","539"
"-432","-3102","540"
"-432","-3102","539"
"-432","-3103","539"
"-432","-3104","539"
"-432","-3103","539"
"-431","-3102","539"
"-431","-3103","539"
"-432","-3104","539"
"-432","-3104","538"
"-432","-3103","538"
"-432","-3102","538"
"-432","-3102","538"
"-432","-3102","538"
"-432","-3102","538"
"-433","-3103","538"
"-434","-3104","537"
"-433","-3104","537"
"-432","-3104","538"
"-432","-3104","538"
"-433","-3104","538"
"-435","-3104","538"
"-435","-3104","538"
"-434","-3104","538"
"-434","-3104","538"
"-435","-3104","538"
"-435","-3105","536"
"-435","-3105","534"
"-436","-3104","534"
"-436","-3105","533"
"-435","-3106","533"
"-435","-3105","534"
"-436","-3104","535"
"-435","-3104","536"
"-434","-3104","536"
"-434","-3103","537"
"-434","-3103","539"
"-434","-3104","540"
"-434","-3104","539"
"-434","-3103","538"
"-434","-3102","538"
"-434","-3102","538"
"-434","-3102","539"
"-434","-3102","540"
"-434","-3102","540"
"-434","-3102","540"
"-434","-3102","540"
"-434","-3102","540"
"-434","-3102","541"
"-434","-3102","541"
"-434","-3102","540"
"-434","-3103","540"
"-434","-3104","540"
"-434","-3104","540"
"-434","-3104","540"
"-434","-3104","539"
"-434","-3104","538"
"-435","-3105","538"
"-436","-3105","538"
"-436","-3104","538"
"-436","-3104","538"
"-436","-3104","538"
"-436","-3104","538"
"-436","-3104","538"
"-436","-3104","539"
"-436","-3104","540"
"-435","-3104","540"
"-434","-3104","541"
"-434","-3104","542"
"-434","-3104","542"
"-434","-3104","541"
"-434","-3103","539"
"-435","-3103","536"
"-435","-3104","535"
"-434","-3104","536"
"-434","-3104","536"
"-434","-3103","536"
"-434","-3102","536"
"-434","-3102","536"
"-434","-3103","537"
"-433","-3104","539"
"-432","-3104","541"
"-432","-3104","542"
"-433","-3104","542"
"-434","-3105","542"
"-434","-3106","542"
"-434","-3106","541"
"-435","-3106","540"
"-436","-3106","540"
"-436","-3106","540"
"-436","-3105","541"
"-436","-3104","541"
"-435","-3104","540"
"-434","-3103","540"
"-433","-3102","540"
"-432","-3102","541"
"-432","-3102","542"
"-433","-3102","542"
"-434","-3102","542"
"-434","-3102","542"
"-434","-3103","542"
"-434","-3104","542"
"-434","-3104","541"
"-434","-3104","541"
"-434","-3104","541"
"-434","-3104","540"
"-434","-3104","541"
"-434","-3104","542"
"-434","-3104","541"
"-434","-3103","540"
"-433","-3102","541"
"-432","-3102","542"
"-432","-3102","542"
"-432","-3103","542"
"-432","-3103","542"
"-433","-3102","543"
"-434","-3103","544"
"-434","-3104","544"
"-434","-3104","543"
"-434","-3104","542"
"-434","-3104","542"
"-434","-3104","542"
"-434","-3104","542"
"-434","-3104","542"
"-433","-3104","543"
"-432","-3104","543"
"-432","-3104","543"
"-433","-3104","544"
"-434","-3104","544"
"-433","-3104","544"
"-433","-3104","543"
"-434","-3104","542"
"-433","-3104","541"
"-432","-3104","539"
"-433","-3104","538"
"-434","-3104","538"
"-434","-3104","538"
"-434","-3104","538"
"-433","-3106","539"
"-435","-3106","540"
"-437","-3104","544"
"-436","-3104","544"
"-434","-3106","540"
"-434","-3108","542"
"-434","-3106","546"
"-432","-3105","545"
"-433","-3106","542"
"-434","-3106","542"
"-434","-3106","541"
"-433","-3106","540"
"-432","-3106","540"
"-432","-3106","540"
"-432","-3106","540"
"-432","-3106","540"
"-432","-3106","540"
"-432","-3106","540"
"-432","-3106","540"
"-432","-3105","540"
"-433","-3104","541"
"-434","-3104","541"
"-434","-3105","540"
"-434","-3106","540"
"-433","-3106","540"
"-432","-3106","540"
"-432","-3106","539"
"-432","-3106","539"
"-432","-3106","540"
"-435","-3107","540"
"-433","-3106","542"
"-433","-3102","544"
"-438","-3099","544"
"-435","-3103","544"
"-432","-3108","542"
"-432","-3108","544"
"-433","-3106","545"
"-434","-3104","542"
"-434","-3104","542"
"-434","-3105","543"
"-433","-3106","542"
"-432","-3106","540"
"-432","-3106","540"
"-432","-3106","540"
"-431","-3106","540"
"-430","-3106","539"
"-430","-3106","538"
"-430","-3106","538"
"-430","-3106","538"
"-430","-3106","539"
"-430","-3106","540"
"-431","-3106","540"
"-432","-3106","540"
"-434","-3105","542"
"-434","-3104","542"
"-432","-3107","540"
"-434","-3110","540"
"-436","-3110","540"
"-436","-3110","540"
"-436","-3107","540"
"-434","-3106","538"
"-434","-3108","540"
"-435","-3107","542"
"-434","-3106","540"
"-434","-3106","540"
"-434","-3106","540"
"-435","-3106","540"
"-435","-3106","540"
"-435","-3106","541"
"-435","-3106","541"
"-434","-3106","540"
"-434","-3107","540"
"-433","-3108","539"
"-432","-3107","538"
"-432","-3106","538"
"-432","-3106","538"
"-432","-3106","537"
"-433","-3107","537"
"-434","-3107","538"
"-434","-3106","538"
"-434","-3106","538"
"-434","-3106","538"
"-435","-3106","538"
"-436","-3106","538"
"-436","-3106","538"
"-435","-3106","537"
"-434","-3106","536"
"-434","-3106","536"
"-435","-3106","536"
"-436","-3106","536"
"-436","-3106","536"
"-436","-3106","536"
