t_local_s,t_plot_s,dBx_nT,dBy_nT,dBz_nT,b_nT
0.000000000000000000e+00,1.228000000000000114e+01,-1.650000000000000000e+01,-3.660000000000000142e+01,1.219999999999999929e+01,4.196010009520949779e+01
2.000000000000001776e-02,1.230000000000000071e+01,-2.150000000000000000e+01,-4.360000000000000142e+01,1.219999999999999929e+01,5.012035514638738221e+01
4.000000000000003553e-02,1.232000000000000028e+01,-2.250000000000000000e+01,-4.860000000000000142e+01,1.419999999999999929e+01,5.540622708685368991e+01
6.000000000000005329e-02,1.234000000000000163e+01,-2.850000000000000000e+01,-5.460000000000000142e+01,1.919999999999999929e+01,6.451395197939744719e+01
8.000000000000007105e-02,1.236000000000000121e+01,-3.450000000000000000e+01,-5.760000000000000142e+01,1.919999999999999929e+01,6.983301511462899214e+01
9.999999999999997780e-02,1.238000000000000078e+01,-4.150000000000000000e+01,-6.559999999999999432e+01,1.719999999999999929e+01,7.950754681160776727e+01
1.199999999999999956e-01,1.240000000000000036e+01,-4.750000000000000000e+01,-7.359999999999999432e+01,2.219999999999999929e+01,9.036619943319514903e+01
1.400000000000000133e-01,1.242000000000000171e+01,-5.950000000000000000e+01,-8.259999999999999432e+01,2.619999999999999929e+01,1.051163640923714553e+02
1.600000000000000311e-01,1.244000000000000128e+01,-7.250000000000000000e+01,-9.659999999999999432e+01,2.619999999999999929e+01,1.235890367306097204e+02
1.800000000000000488e-01,1.246000000000000085e+01,-8.450000000000000000e+01,-9.959999999999999432e+01,2.219999999999999929e+01,1.324886787616209745e+02
2.000000000000000666e-01,1.248000000000000043e+01,-1.045000000000000000e+02,-1.165999999999999943e+02,2.619999999999999929e+01,1.587521653395631631e+02
2.199999999999999734e-01,1.250000000000000178e+01,-1.265000000000000000e+02,-1.255999999999999943e+02,2.319999999999999929e+01,1.797660980274089582e+02
2.399999999999999911e-01,1.252000000000000135e+01,-1.565000000000000000e+02,-1.335999999999999943e+02,2.019999999999999929e+01,2.067589175827731935e+02
2.600000000000000089e-01,1.254000000000000092e+01,-1.835000000000000000e+02,-1.425999999999999943e+02,1.819999999999999929e+01,2.331056627368798786e+02
2.800000000000000266e-01,1.256000000000000050e+01,-2.195000000000000000e+02,-1.495999999999999943e+02,1.219999999999999929e+01,2.659121095399756314e+02
3.000000000000000444e-01,1.258000000000000185e+01,-2.625000000000000000e+02,-1.545999999999999943e+02,1.219999999999999929e+01,3.048872742506646318e+02
3.200000000000000622e-01,1.260000000000000142e+01,-3.085000000000000000e+02,-1.555999999999999943e+02,2.199999999999999289e+00,3.455263376357871721e+02
3.399999999999999689e-01,1.262000000000000099e+01,-3.485000000000000000e+02,-1.495999999999999943e+02,-3.800000000000000711e+00,3.792714726946913402e+02
3.599999999999999867e-01,1.264000000000000057e+01,-3.925000000000000000e+02,-1.455999999999999943e+02,-1.680000000000000071e+01,4.189723737909218926e+02
3.800000000000000044e-01,1.266000000000000192e+01,-4.405000000000000000e+02,-1.355999999999999943e+02,-3.180000000000000071e+01,4.619944263733058847e+02
4.000000000000000222e-01,1.268000000000000149e+01,-4.855000000000000000e+02,-1.235999999999999943e+02,-4.479999999999999716e+01,5.029853377584678924e+02
4.200000000000000400e-01,1.270000000000000107e+01,-5.315000000000000000e+02,-1.075999999999999943e+02,-5.179999999999999716e+01,5.447506310230397730e+02
4.400000000000000577e-01,1.272000000000000064e+01,-5.715000000000000000e+02,-7.559999999999999432e+01,-6.479999999999999716e+01,5.801091707601250391e+02
4.600000000000000755e-01,1.274000000000000199e+01,-6.095000000000000000e+02,-5.560000000000000142e+01,-7.779999999999999716e+01,6.169557925816079660e+02
4.800000000000000933e-01,1.276000000000000156e+01,-6.415000000000000000e+02,-2.460000000000000142e+01,-8.279999999999999716e+01,6.472891548604842455e+02
5.000000000000001110e-01,1.278000000000000114e+01,-6.655000000000000000e+02,3.999999999999985789e-01,-9.479999999999999716e+01,6.722183053145755594e+02
5.200000000000001288e-01,1.280000000000000071e+01,-6.825000000000000000e+02,1.939999999999999858e+01,-9.579999999999999716e+01,6.894637408885256491e+02
5.399999999999999245e-01,1.282000000000000028e+01,-6.925000000000000000e+02,3.239999999999999858e+01,-9.579999999999999716e+01,6.998454472238853441e+02
5.599999999999999423e-01,1.284000000000000163e+01,-6.985000000000000000e+02,4.939999999999999858e+01,-1.037999999999999972e+02,7.078962141444181952e+02
5.799999999999999600e-01,1.286000000000000121e+01,-7.125000000000000000e+02,7.540000000000000568e+01,-1.037999999999999972e+02,7.239584587529867576e+02
5.999999999999999778e-01,1.288000000000000078e+01,-7.225000000000000000e+02,1.014000000000000057e+02,-1.027999999999999972e+02,7.367876559769442792e+02
6.199999999999999956e-01,1.290000000000000036e+01,-7.255000000000000000e+02,1.314000000000000057e+02,-9.979999999999999716e+01,7.440270492394748771e+02
6.400000000000000133e-01,1.292000000000000171e+01,-7.225000000000000000e+02,1.584000000000000057e+02,-9.679999999999999716e+01,7.459671909675384995e+02
6.600000000000000311e-01,1.294000000000000128e+01,-7.135000000000000000e+02,1.834000000000000057e+02,-8.879999999999999716e+01,7.420264483156918232e+02
6.800000000000000488e-01,1.296000000000000085e+01,-6.965000000000000000e+02,2.044000000000000057e+02,-7.879999999999999716e+01,7.301376924936829482e+02
7.000000000000000666e-01,1.298000000000000043e+01,-6.765000000000000000e+02,2.194000000000000057e+02,-7.479999999999999716e+01,7.151109354498782977e+02
7.200000000000000844e-01,1.300000000000000178e+01,-6.595000000000000000e+02,2.354000000000000057e+02,-6.179999999999999716e+01,7.029741460395254080e+02
7.400000000000001021e-01,1.302000000000000135e+01,-6.285000000000000000e+02,2.424000000000000057e+02,-4.979999999999999716e+01,6.754628413169742771e+02
7.600000000000001199e-01,1.304000000000000092e+01,-6.065000000000000000e+02,2.454000000000000057e+02,-3.279999999999999716e+01,6.550872079349436490e+02
7.799999999999999156e-01,1.306000000000000050e+01,-5.845000000000000000e+02,2.464000000000000057e+02,-2.480000000000000071e+01,6.347978024536631665e+02
7.999999999999999334e-01,1.308000000000000185e+01,-5.585000000000000000e+02,2.464000000000000057e+02,-1.580000000000000071e+01,6.106429807997468515e+02
8.199999999999999512e-01,1.310000000000000142e+01,-5.385000000000000000e+02,2.434000000000000057e+02,-4.800000000000000711e+00,5.909727997124740568e+02
8.399999999999999689e-01,1.312000000000000099e+01,-5.115000000000000000e+02,2.394000000000000057e+02,8.199999999999999289e+00,5.648113401836050116e+02
8.599999999999999867e-01,1.314000000000000057e+01,-4.855000000000000000e+02,2.344000000000000057e+02,1.319999999999999929e+01,5.392845723734362764e+02
8.800000000000000044e-01,1.316000000000000192e+01,-4.585000000000000000e+02,2.284000000000000057e+02,2.719999999999999929e+01,5.129606710070471536e+02
9.000000000000000222e-01,1.318000000000000149e+01,-4.405000000000000000e+02,2.214000000000000057e+02,3.820000000000000284e+01,4.944870574646013779e+02
9.200000000000000400e-01,1.320000000000000107e+01,-4.225000000000000000e+02,2.144000000000000057e+02,4.120000000000000284e+01,4.755744421223663494e+02
9.400000000000000577e-01,1.322000000000000064e+01,-4.065000000000000000e+02,2.034000000000000057e+02,5.620000000000000284e+01,4.580090064616633754e+02
9.600000000000000755e-01,1.324000000000000199e+01,-3.895000000000000000e+02,1.964000000000000057e+02,6.520000000000000284e+01,4.410603700175294648e+02
9.800000000000000933e-01,1.326000000000000156e+01,-3.735000000000000000e+02,1.824000000000000057e+02,6.920000000000000284e+01,4.213794608188681536e+02
