t_local_s,t_plot_s,dBx_nT,dBy_nT,dBz_nT,b_nT
0.000000000000000000e+00,4.020000000000000462e+00,3.700000000000002842e+00,-1.009999999999999964e+01,1.240000000000000036e+01,1.641523682436534415e+01
1.999999999999996225e-02,4.040000000000000036e+00,2.700000000000002842e+00,-1.309999999999999964e+01,1.440000000000000036e+01,1.965349841631255146e+01
3.999999999999998002e-02,4.060000000000000497e+00,7.000000000000028422e-01,-1.509999999999999964e+01,1.739999999999999858e+01,2.304907807266919662e+01
5.999999999999999778e-02,4.080000000000000071e+00,7.000000000000028422e-01,-1.810000000000000142e+01,1.739999999999999858e+01,2.511692656357461217e+01
7.999999999999996003e-02,4.100000000000000533e+00,7.000000000000028422e-01,-2.010000000000000142e+01,1.739999999999999858e+01,2.659436030439536580e+01
9.999999999999997780e-02,4.120000000000000107e+00,-2.999999999999971578e-01,-2.210000000000000142e+01,1.939999999999999858e+01,2.940850217199101024e+01
1.199999999999999956e-01,4.140000000000000568e+00,-3.299999999999997158e+00,-2.610000000000000142e+01,2.339999999999999858e+01,3.520880571675216686e+01
1.400000000000000133e-01,4.160000000000000142e+00,-6.299999999999997158e+00,-3.010000000000000142e+01,2.439999999999999858e+01,3.925633706804546108e+01
1.600000000000000311e-01,4.180000000000000604e+00,-9.299999999999997158e+00,-3.510000000000000142e+01,2.539999999999999858e+01,4.431320344998767524e+01
1.799999999999999378e-01,4.200000000000000178e+00,-1.429999999999999716e+01,-4.010000000000000142e+01,2.839999999999999858e+01,5.117675253472030050e+01
1.999999999999999556e-01,4.220000000000000639e+00,-2.129999999999999716e+01,-4.510000000000000142e+01,2.839999999999999858e+01,5.739564443405092220e+01
2.199999999999999734e-01,4.240000000000000213e+00,-3.129999999999999716e+01,-5.010000000000000142e+01,2.739999999999999858e+01,6.511881448552330198e+01
2.399999999999999911e-01,4.260000000000000675e+00,-4.329999999999999716e+01,-5.310000000000000142e+01,2.739999999999999858e+01,7.379200498699029254e+01
2.600000000000000089e-01,4.280000000000000249e+00,-5.629999999999999716e+01,-5.610000000000000142e+01,2.639999999999999858e+01,8.374879103605017860e+01
2.800000000000000266e-01,4.300000000000000711e+00,-7.129999999999999716e+01,-5.910000000000000142e+01,2.539999999999999858e+01,9.602947464190356186e+01
2.999999999999999334e-01,4.320000000000000284e+00,-8.729999999999999716e+01,-6.110000000000000142e+01,2.539999999999999858e+01,1.095429596094609792e+02
3.199999999999999512e-01,4.340000000000000746e+00,-1.042999999999999972e+02,-6.210000000000000142e+01,2.239999999999999858e+01,1.234368664540703548e+02
3.399999999999999689e-01,4.360000000000000320e+00,-1.212999999999999972e+02,-6.210000000000000142e+01,1.739999999999999858e+01,1.373785281621549359e+02
3.599999999999999867e-01,4.380000000000000782e+00,-1.373000000000000114e+02,-6.110000000000000142e+01,1.440000000000000036e+01,1.509697320657356272e+02
3.800000000000000044e-01,4.400000000000000355e+00,-1.513000000000000114e+02,-6.010000000000000142e+01,1.240000000000000036e+01,1.632711242075585290e+02
4.000000000000000222e-01,4.420000000000000817e+00,-1.623000000000000114e+02,-5.910000000000000142e+01,9.400000000000000355e+00,1.729810972331948449e+02
4.199999999999999289e-01,4.440000000000000391e+00,-1.713000000000000114e+02,-5.710000000000000142e+01,7.400000000000000355e+00,1.807176250397287731e+02
4.399999999999999467e-01,4.460000000000000853e+00,-1.793000000000000114e+02,-5.510000000000000142e+01,5.400000000000000355e+00,1.876530308841293788e+02
4.599999999999999645e-01,4.480000000000000426e+00,-1.873000000000000114e+02,-5.310000000000000142e+01,1.400000000000000355e+00,1.946865686173547942e+02
4.799999999999999822e-01,4.500000000000000000e+00,-1.963000000000000114e+02,-5.010000000000000142e+01,-2.599999999999999645e+00,2.026091310874216447e+02
5.000000000000000000e-01,4.520000000000000462e+00,-2.063000000000000114e+02,-4.610000000000000142e+01,-6.599999999999999645e+00,2.114910399993342480e+02
5.200000000000000178e-01,4.540000000000000924e+00,-2.113000000000000114e+02,-4.410000000000000142e+01,-8.599999999999999645e+00,2.160242116060142052e+02
5.399999999999999245e-01,4.560000000000000497e+00,-2.173000000000000114e+02,-4.010000000000000142e+01,-1.059999999999999964e+01,2.212231000596457022e+02
5.599999999999999423e-01,4.580000000000000071e+00,-2.313000000000000114e+02,-3.110000000000000142e+01,-1.259999999999999964e+01,2.337213297925544566e+02
5.799999999999999600e-01,4.600000000000000533e+00,-2.463000000000000114e+02,-2.010000000000000142e+01,-1.259999999999999964e+01,2.474398108631673097e+02
5.999999999999999778e-01,4.620000000000000107e+00,-2.593000000000000114e+02,-7.099999999999999645e+00,-1.359999999999999964e+01,2.597534600347029254e+02
6.199999999999999956e-01,4.640000000000000568e+00,-2.703000000000000114e+02,8.900000000000000355e+00,-1.559999999999999964e+01,2.708960317169670589e+02
6.400000000000000133e-01,4.660000000000000142e+00,-2.783000000000000114e+02,2.589999999999999858e+01,-1.660000000000000142e+01,2.799951071001062815e+02
6.600000000000000311e-01,4.680000000000000604e+00,-2.803000000000000114e+02,4.289999999999999858e+01,-1.760000000000000142e+01,2.841095915311554450e+02
6.800000000000000488e-01,4.700000000000000178e+00,-2.753000000000000114e+02,5.989999999999999858e+01,-1.860000000000000142e+01,2.823544935006347600e+02
7.000000000000000666e-01,4.720000000000000639e+00,-2.653000000000000114e+02,7.390000000000000568e+01,-1.760000000000000142e+01,2.759620626100624463e+02
7.200000000000000844e-01,4.740000000000000213e+00,-2.503000000000000114e+02,8.490000000000000568e+01,-1.760000000000000142e+01,2.648921667395999293e+02
7.399999999999998801e-01,4.760000000000000675e+00,-2.303000000000000114e+02,9.290000000000000568e+01,-1.860000000000000142e+01,2.490270266457036712e+02
7.599999999999998979e-01,4.780000000000000249e+00,-2.083000000000000114e+02,9.790000000000000568e+01,-1.760000000000000142e+01,2.308312370542600718e+02
7.799999999999999156e-01,4.800000000000000711e+00,-1.853000000000000114e+02,9.990000000000000568e+01,-1.359999999999999964e+01,2.109527435232829760e+02
7.999999999999999334e-01,4.820000000000000284e+00,-1.613000000000000114e+02,9.890000000000000568e+01,-8.599999999999999645e+00,1.894013199531619023e+02
8.199999999999999512e-01,4.840000000000000746e+00,-1.383000000000000114e+02,9.490000000000000568e+01,-3.599999999999999645e+00,1.677672792889006814e+02
8.399999999999999689e-01,4.860000000000000320e+00,-1.172999999999999972e+02,8.890000000000000568e+01,2.400000000000000355e+00,1.472014266235215416e+02
8.599999999999999867e-01,4.880000000000000782e+00,-9.829999999999999716e+01,8.190000000000000568e+01,6.400000000000000355e+00,1.281072207176472944e+02
8.800000000000000044e-01,4.900000000000000355e+00,-8.129999999999999716e+01,7.490000000000000568e+01,9.400000000000000355e+00,1.109416963995052754e+02
9.000000000000000222e-01,4.920000000000000817e+00,-6.729999999999999716e+01,6.790000000000000568e+01,1.140000000000000036e+01,9.627907353106385813e+01
9.200000000000000400e-01,4.940000000000000391e+00,-5.729999999999999716e+01,5.989999999999999858e+01,1.040000000000000036e+01,8.354316249699911623e+01
9.400000000000000577e-01,4.960000000000000853e+00,-4.829999999999999716e+01,5.389999999999999858e+01,7.400000000000000355e+00,7.275204464480707145e+01
9.600000000000000755e-01,4.980000000000000426e+00,-4.329999999999999716e+01,5.189999999999999858e+01,5.400000000000000355e+00,6.780604692798422661e+01
9.799999999999998712e-01,5.000000000000000000e+00,-4.029999999999999716e+01,4.889999999999999858e+01,5.400000000000000355e+00,6.359606906090972700e+01
9.999999999999998890e-01,5.020000000000000462e+00,-3.529999999999999716e+01,4.289999999999999858e+01,5.400000000000000355e+00,5.581809742368508154e+01
1.020000000000000018e+00,5.040000000000000924e+00,-3.129999999999999716e+01,3.789999999999999858e+01,4.400000000000000355e+00,4.935037993774718501e+01
1.040000000000000036e+00,5.060000000000000497e+00,-2.729999999999999716e+01,3.389999999999999858e+01,4.400000000000000355e+00,4.374768565307197576e+01
1.060000000000000053e+00,5.080000000000000071e+00,-2.429999999999999716e+01,2.989999999999999858e+01,5.400000000000000355e+00,3.890578363174297749e+01
1.080000000000000071e+00,5.100000000000000533e+00,-2.229999999999999716e+01,2.689999999999999858e+01,6.400000000000000355e+00,3.552266881865718773e+01
1.100000000000000089e+00,5.120000000000000995e+00,-2.029999999999999716e+01,2.489999999999999858e+01,6.400000000000000355e+00,3.275759453928202447e+01
1.120000000000000107e+00,5.140000000000000568e+00,-1.829999999999999716e+01,2.189999999999999858e+01,5.400000000000000355e+00,2.904582586190311488e+01
1.140000000000000124e+00,5.160000000000000142e+00,-1.729999999999999716e+01,1.889999999999999858e+01,4.400000000000000355e+00,2.599730755289862216e+01
1.160000000000000142e+00,5.180000000000000604e+00,-1.629999999999999716e+01,1.789999999999999858e+01,4.400000000000000355e+00,2.460609680546672706e+01
1.180000000000000160e+00,5.200000000000001066e+00,-1.529999999999999716e+01,1.689999999999999858e+01,5.400000000000000355e+00,2.342776131003557438e+01
1.200000000000000178e+00,5.220000000000000639e+00,-1.429999999999999716e+01,1.590000000000000036e+01,4.400000000000000355e+00,2.183254451501244375e+01
1.220000000000000195e+00,5.240000000000000213e+00,-1.329999999999999716e+01,1.490000000000000036e+01,3.400000000000000355e+00,2.025981243743386528e+01
