t_s,dBx_nT,dBy_nT,dBz_nT,b_nT
0,0.5,-17,10,19.7294196569489
0.02,-1.5,-18,12,21.6852484422014
0.04,-3.5,-20,14,24.662724910277
0.06,-5.5,-23,16,28.5525830705385
0.08,-8.5,-26,19,33.3054049667618
0.1,-12.5,-30,21,38.6943148278917
0.12,-14.5,-32,21,40.9298179815156
0.14,-16.5,-33,23,43.4770054166567
0.16,-21.5,-37,26,50.0724475135778
0.18,-28.5,-44,28,59.4327350876602
0.2,-37.5,-51,30,70.0517665730137
0.22,-48.5,-58,32,82.0990255727801
0.24,-61.5,-65,34,95.724866152949
0.26,-75.5,-71,37,110.046581046391
0.28,-90.5,-76,41,125.088968338539
0.3,-108.5,-80,43,141.496466386974
0.32,-128.5,-84,42,159.161081926456
0.34,-148.5,-87,42,177.158827045112
0.36,-169.5,-88,44,195.985331083732
0.38,-191.5,-86,45,214.693386018294
0.4,-214.5,-83,46,234.553298846978
0.42,-238.5,-79,47,255.601740995636
0.44,-262.5,-73,46,276.317299494621
0.46,-285.5,-66,44,296.31444446736
0.48,-296.5,-62,43,305.949750776169
0.5,-306.5,-57,43,314.70660939993
0.52,-325.5,-48,41,331.564850368672
0.54,-342.5,-38,37,346.582241322316
0.56,-355.5,-27,30,357.78380343442
0.58,-363.5,-16,21,364.457473513715
0.6,-367.5,-5,12,367.729860087538
0.62,-367.5,5,3,367.546255592408
0.64,-364.5,14,-5,364.803029044442
0.66,-360.5,23,-14,361.50414935378
0.68,-355.5,33,-24,357.834109609467
0.7,-349.5,43,-33,353.678172919958
0.72,-342.5,53,-40,348.877127367215
0.74,-334.5,65,-45,343.715361891202
0.76,-326.5,78,-48,339.102123260825
0.78,-316.5,92,-50,333.37103953403
0.8,-301.5,108,-51,324.295004586873
0.82,-280.5,123,-50,310.337316479988
0.84,-268.5,130,-49,302.313165442724
0.86,-255.5,135,-46,292.611090015399
0.88,-227.5,143,-39,271.525781464671
0.9,-197.5,146,-31,247.554539445351
0.92,-167.5,144,-22,221.982544358785
0.94,-138.5,139,-14,196.721249487695
0.96,-111.5,131,-7,172.16924812521
0.98,-87.5,120,0,148.513467402791
1,-68.5,107,6,127.189818774932
1.02,-54.5,94,11,109.211949895604
1.04,-43.5,82,14,93.8735852090459
1.06,-34.5,71,15,80.350793399941
1.08,-27.5,62,17,69.92317212484
1.1,-22.5,54,18,61.2066172893095
1.12,-18.5,46,17,52.4142156289684
1.14,-15.5,40,16,45.7848228128056
1.16,-13.5,35,16,40.7829621288106
1.18,-11.5,30,16,35.8921997096862
1.2,-9.5,27,15,32.3148572641131
1.22,-8.5,26,15,31.196954979613
1.24,-7.5,24,15,29.2788319439147
1.26,-6.5,21,13,25.5391855782443
