t_local_s,t_plot_s,dBx_nT,dBy_nT,dBz_nT,b_nT
0.000000000000000000e+00,6.859999999999999432e+00,3.100000000000001421e+00,-1.209999999999999964e+01,1.140000000000000036e+01,1.691094320255378491e+01
2.000000000000001776e-02,6.879999999999999005e+00,1.100000000000001421e+00,-1.409999999999999964e+01,1.340000000000000036e+01,1.948281293858769203e+01
3.999999999999998002e-02,6.899999999999999467e+00,4.100000000000001421e+00,-1.610000000000000142e+01,1.440000000000000036e+01,2.198590457543196308e+01
5.999999999999999778e-02,6.919999999999999041e+00,3.100000000000001421e+00,-1.910000000000000142e+01,1.639999999999999858e+01,2.536493642806936322e+01
8.000000000000001554e-02,6.939999999999999503e+00,3.100000000000001421e+00,-2.010000000000000142e+01,1.540000000000000036e+01,2.551039004013854949e+01
1.000000000000000333e-01,6.959999999999999076e+00,-8.999999999999985789e-01,-2.410000000000000142e+01,1.739999999999999858e+01,2.973852719957731594e+01
1.200000000000000511e-01,6.979999999999999538e+00,-5.899999999999998579e+00,-2.510000000000000142e+01,1.939999999999999858e+01,3.226732093000595114e+01
1.399999999999999578e-01,6.999999999999999112e+00,-3.899999999999998579e+00,-3.010000000000000142e+01,2.339999999999999858e+01,3.832466568673495999e+01
1.599999999999999756e-01,7.019999999999999574e+00,-5.899999999999998579e+00,-3.210000000000000142e+01,2.139999999999999858e+01,3.902793871062113595e+01
1.799999999999999933e-01,7.039999999999999147e+00,-8.899999999999998579e+00,-3.710000000000000142e+01,2.239999999999999858e+01,4.424228746346644670e+01
2.000000000000000111e-01,7.059999999999999609e+00,-1.489999999999999858e+01,-4.010000000000000142e+01,2.439999999999999858e+01,4.924814717326937341e+01
2.200000000000000289e-01,7.079999999999999183e+00,-1.889999999999999858e+01,-4.210000000000000142e+01,2.539999999999999858e+01,5.267618057528468967e+01
2.400000000000000466e-01,7.099999999999999645e+00,-2.289999999999999858e+01,-4.610000000000000142e+01,2.439999999999999858e+01,5.696472592754221154e+01
2.599999999999999534e-01,7.119999999999999218e+00,-2.989999999999999858e+01,-4.810000000000000142e+01,2.339999999999999858e+01,6.127952349684191091e+01
2.799999999999999711e-01,7.139999999999999680e+00,-3.189999999999999858e+01,-5.010000000000000142e+01,2.539999999999999858e+01,6.459705875657188301e+01
2.999999999999999889e-01,7.159999999999999254e+00,-3.989999999999999858e+01,-5.110000000000000142e+01,2.439999999999999858e+01,6.927178357744226389e+01
3.200000000000000067e-01,7.179999999999999716e+00,-4.589999999999999858e+01,-5.310000000000000142e+01,2.539999999999999858e+01,7.464301708800361723e+01
3.400000000000000244e-01,7.199999999999999289e+00,-5.189999999999999858e+01,-5.610000000000000142e+01,2.339999999999999858e+01,7.992734200509859477e+01
3.600000000000000422e-01,7.219999999999999751e+00,-5.889999999999999858e+01,-5.610000000000000142e+01,2.239999999999999858e+01,8.436930721536120359e+01
3.799999999999999489e-01,7.239999999999999325e+00,-6.890000000000000568e+01,-5.810000000000000142e+01,2.339999999999999858e+01,9.311487528853808726e+01
3.999999999999999667e-01,7.259999999999999787e+00,-7.690000000000000568e+01,-5.810000000000000142e+01,2.239999999999999858e+01,9.894938099856916836e+01
4.199999999999999845e-01,7.279999999999999361e+00,-8.090000000000000568e+01,-5.910000000000000142e+01,2.139999999999999858e+01,1.024479379977947673e+02
4.400000000000000022e-01,7.299999999999999822e+00,-9.090000000000000568e+01,-6.010000000000000142e+01,2.039999999999999858e+01,1.108646923055307099e+02
4.600000000000000200e-01,7.319999999999999396e+00,-1.009000000000000057e+02,-6.010000000000000142e+01,1.939999999999999858e+01,1.190343647859726417e+02
4.800000000000000377e-01,7.339999999999999858e+00,-1.129000000000000057e+02,-6.010000000000000142e+01,1.540000000000000036e+01,1.288238331986748619e+02
4.999999999999999445e-01,7.359999999999999432e+00,-1.179000000000000057e+02,-6.110000000000000142e+01,1.540000000000000036e+01,1.336816367344445666e+02
5.200000000000000178e-01,7.379999999999999005e+00,-1.289000000000000057e+02,-6.010000000000000142e+01,1.340000000000000036e+01,1.428523013465306519e+02
5.400000000000000355e-01,7.399999999999999467e+00,-1.369000000000000057e+02,-6.110000000000000142e+01,1.240000000000000036e+01,1.504279894168635110e+02
5.600000000000000533e-01,7.419999999999999929e+00,-1.419000000000000057e+02,-6.010000000000000142e+01,1.040000000000000036e+01,1.544531644220991780e+02
5.800000000000000711e-01,7.439999999999999503e+00,-1.499000000000000057e+02,-5.910000000000000142e+01,8.400000000000000355e+00,1.613486287515329423e+02
6.000000000000000888e-01,7.459999999999999076e+00,-1.569000000000000057e+02,-5.910000000000000142e+01,5.400000000000000355e+00,1.677485618418232605e+02
6.200000000000001066e-01,7.479999999999999538e+00,-1.619000000000000057e+02,-5.910000000000000142e+01,5.400000000000000355e+00,1.724342773348733147e+02
6.400000000000001243e-01,7.500000000000000000e+00,-1.669000000000000057e+02,-5.610000000000000142e+01,3.399999999999999911e+00,1.761090003378589302e+02
6.600000000000001421e-01,7.519999999999999574e+00,-1.729000000000000057e+02,-5.810000000000000142e+01,3.399999999999999911e+00,1.824323984384352855e+02
6.800000000000001599e-01,7.539999999999999147e+00,-1.749000000000000057e+02,-5.510000000000000142e+01,3.999999999999999112e-01,1.833744256978055489e+02
6.999999999999999556e-01,7.559999999999999609e+00,-1.789000000000000057e+02,-5.510000000000000142e+01,2.399999999999999911e+00,1.872083865642776175e+02
7.199999999999999734e-01,7.579999999999999183e+00,-1.839000000000000057e+02,-5.310000000000000142e+01,3.999999999999999112e-01,1.914131134483737640e+02
7.399999999999999911e-01,7.599999999999999645e+00,-1.879000000000000057e+02,-5.210000000000000142e+01,-3.600000000000000089e+00,1.950225115211062246e+02
7.600000000000000089e-01,7.619999999999999218e+00,-1.929000000000000057e+02,-5.110000000000000142e+01,-5.599999999999999645e+00,1.996321116453963782e+02
7.800000000000000266e-01,7.639999999999999680e+00,-1.979000000000000057e+02,-4.710000000000000142e+01,-5.599999999999999645e+00,2.035047419594934297e+02
8.000000000000000444e-01,7.659999999999999254e+00,-1.989000000000000057e+02,-4.710000000000000142e+01,-8.599999999999999645e+00,2.045814752121999902e+02
8.200000000000000622e-01,7.679999999999999716e+00,-2.039000000000000057e+02,-4.510000000000000142e+01,-1.159999999999999964e+01,2.091501374611071071e+02
