feature,importance_mean,importance_std,label_zh,selected_final
x_absarea,0.14279499800397413,0.14009119208912404,X 轴绝对面积,True
x_energy,0.10698294358172335,0.1245904544931616,X 轴能量,False
len_T_sec_fs50,0.09302938162240032,0.09161011953206753,事件持续时间,True
b_energy,0.08650512857995654,0.12315062146811132,模值能量,True
corr_xz,0.046604874923522395,0.032452656108210104,XZ 相关系数,False
z_absarea,0.04287097184807978,0.05949709133458894,Z 轴绝对面积,True
x_ptp,0.0412992516695489,0.05582330621042423,X 轴极差,False
y_absarea,0.0404514288284062,0.07375272320016688,Y 轴绝对面积,False
y_std,0.04032098535181236,0.03109651163706526,Y 轴标准差,False
b_mean,0.03820631029851099,0.07141679833927635,模值均值,False
x_std,0.035574947338241236,0.06747326061081753,X 轴标准差,False
b_max,0.03455790738012277,0.05791706001196868,模值峰值,True
b_rms,0.032244874388961335,0.06578753203326279,模值均方根,False
b_ptp,0.030560454808281918,0.046362719369099595,模值极差,False
y_ptp,0.03019214154409439,0.028927272154199168,Y 轴极差,False
peak_pos_ratio,0.02655953914335202,0.01578162762962971,峰值位置比例,False
y_energy,0.023800229115834546,0.028959397220671465,Y 轴能量,False
b_std,0.02259821520234275,0.0363997325640798,模值标准差,False
corr_yz,0.018581039571771516,0.012905327092748529,YZ 相关系数,False
corr_xy,0.018278123680212144,0.013482159322620096,XY 相关系数,False
z_energy,0.01793281305407879,0.024252988181441965,Z 轴能量,False
z_std,0.01738221592340131,0.01594824008800393,Z 轴标准差,False
z_ptp,0.012671224141370303,0.01401809818293088,Z 轴极差,False
