family,preset_name,K,wR,step,build_s,in_ch,val_acc,val_f1,test_acc,test_f1,best_epoch,train_s
raw_quantile,D2,3,0.15,0.05,0.4305295944213867,36,0.9463414634146341,0.9474254742547426,0.9121951219512195,0.9117171080285834,98,85.94109201431274
raw_quantile,D2,4,0.15,0.05,0.5909774303436279,48,0.9658536585365853,0.9669914513224204,0.9414634146341463,0.9411657259758526,79,85.26772952079773
raw_quantile,D2,5,0.15,0.05,0.7205533981323242,60,0.9414634146341463,0.941478947853326,0.9414634146341463,0.9381302849984342,54,76.75938367843628
raw_quantile,D2,6,0.15,0.05,0.9629459381103516,72,0.9609756097560975,0.9627438984245659,0.9512195121951219,0.9516025305088321,83,1407.0288350582123
medoid,D3,3,0.15,0.05,2.2319867610931396,36,0.9365853658536586,0.9366477850399418,0.8975609756097561,0.8914276042988915,74,74.86962294578552
medoid,D3,4,0.15,0.05,1.9520576000213623,48,0.9609756097560975,0.9605606207864735,0.9463414634146341,0.9447109612284049,155,150.67877840995789
medoid,D3,5,0.15,0.05,1.8747045993804932,60,0.9512195121951219,0.949575833925245,0.926829268292683,0.9247117167527951,74,103.11758685112
medoid,D3,6,0.15,0.05,1.7356376647949219,72,0.9609756097560975,0.9627438984245659,0.9560975609756097,0.9568022291642563,134,2265.9502036571503
dba,D5,3,0.15,0.05,2.117583751678467,36,0.9609756097560975,0.9580188633427552,0.9560975609756097,0.9482604392014987,192,188.7475426197052
dba,D5,4,0.15,0.05,1.804549217224121,48,0.9707317073170731,0.9716256601036739,0.9365853658536586,0.9337465626161278,157,190.65076398849487
dba,D5,5,0.15,0.05,1.747542381286621,60,0.9609756097560975,0.9629843065253226,0.9512195121951219,0.9498058526116688,86,147.03621220588684
dba,D5,6,0.15,0.05,1.63437819480896,72,0.9707317073170731,0.9692049387287042,0.9463414634146341,0.9453984856509466,134,2691.8271498680115
