family,preset_name,K,wR,step,build_s,in_ch,val_acc,val_f1,test_acc,test_f1,best_epoch,train_s
raw_quantile,D2,4,0.1,0.0,0.4156785011291504,48,0.9658536585365853,0.9649930714085465,0.9512195121951219,0.9515237494745691,121,132.8609447479248
raw_quantile,D2,4,0.1,0.05,0.4074125289916992,48,0.9609756097560975,0.9632112910300287,0.926829268292683,0.9313481044390451,133,143.82182002067566
raw_quantile,D2,4,0.15,0.0,0.48280858993530273,48,0.9658536585365853,0.964769647696477,0.9414634146341463,0.9382149673411808,98,113.05734252929688
raw_quantile,D2,4,0.15,0.05,0.47936248779296875,48,0.9658536585365853,0.9669914513224204,0.9414634146341463,0.9411657259758526,79,96.3354880809784
raw_quantile,D2,4,0.2,0.0,0.6174452304840088,48,0.9658536585365853,0.9669914513224204,0.9512195121951219,0.9467422185868788,79,96.58746266365051
raw_quantile,D2,4,0.2,0.05,0.6072838306427002,48,0.9658536585365853,0.9669914513224204,0.9414634146341463,0.9378274055693411,79,96.345947265625
medoid,D3,4,0.1,0.0,1.2873177528381348,48,0.9609756097560975,0.9629972834973272,0.9317073170731708,0.9350217864923747,117,138.89651918411255
medoid,D3,4,0.1,0.05,1.28167724609375,48,0.9658536585365853,0.9696476964769648,0.9170731707317074,0.922416702222567,209,210.61574149131775
medoid,D3,4,0.15,0.0,1.7506895065307617,48,0.9609756097560975,0.9582801191996594,0.9512195121951219,0.9467422185868788,142,157.04215955734253
medoid,D3,4,0.15,0.05,1.9354097843170166,48,0.9609756097560975,0.9605606207864735,0.9463414634146341,0.9447109612284049,155,185.14357233047485
medoid,D3,4,0.2,0.0,2.4584412574768066,48,0.9658536585365853,0.9597886178861789,0.9219512195121952,0.9152585119798236,211,222.23320865631104
medoid,D3,4,0.2,0.05,2.504981756210327,48,0.9512195121951219,0.9500040307720656,0.9170731707317074,0.9104468488293905,97,125.72004723548889
dba,D5,4,0.1,0.0,1.528212308883667,48,0.9609756097560975,0.9576780552160332,0.9365853658536586,0.9252550402877201,145,192.27302527427673
dba,D5,4,0.1,0.05,1.6962482929229736,48,0.9658536585365853,0.9646496642062052,0.9463414634146341,0.9372551960038704,191,234.71811747550964
dba,D5,4,0.15,0.0,2.0759925842285156,48,0.9804878048780488,0.9827113641155387,0.9414634146341463,0.9378274055693411,200,249.45127058029175
dba,D5,4,0.15,0.05,2.019322395324707,48,0.9707317073170731,0.9716256601036739,0.9365853658536586,0.9337465626161278,157,208.8218958377838
dba,D5,4,0.2,0.0,2.6006650924682617,48,0.9609756097560975,0.9580188633427552,0.9463414634146341,0.9390208707281879,79,134.60226202011108
dba,D5,4,0.2,0.05,2.586168050765991,48,0.9658536585365853,0.9650837826306194,0.9463414634146341,0.9460186169356137,126,180.20517659187317
