feature,importance,selected
x_absarea,0.09222941339492104,True
b_absarea,0.07900121654468185,False
len_T_sec_fs50,0.06872583571812924,False
b_energy,0.05950914260901006,True
x_energy,0.0586757059216297,False
len_N,0.054744648919356466,False
z_absarea,0.02866156763661792,False
b_mean,0.028123004587244593,False
x_std,0.028086909374829317,False
y_absarea,0.026031831310022898,False
x_rms,0.024405824081407724,False
b_max,0.02212430707186478,False
x_max,0.021406143415992073,True
b_std_over_mean,0.021316291986048386,False
y_rms,0.020046908047520864,False
x_p2p,0.019055905743618286,False
x_min,0.018334231466572478,False
y_min,0.017821759555473035,False
z_max,0.01682395926910813,True
y_std,0.01631165612081932,False
b_p2p,0.015813675372840195,False
db_meanabs,0.01533562568503006,False
z_min,0.015234441702640518,False
b_peak_loc_ratio,0.014462121469316318,False
b_rms,0.014257480205404002,False
y_energy,0.013897691832248947,False
y_p2p,0.013888915496610523,False
b_std,0.013646540451635996,False
b_energy_density,0.013313265360235168,False
b_min,0.012684016403825963,False
zc_z,0.012599077776617583,True
db_std,0.011512673727190647,False
zc_y,0.010376159101329926,False
z_energy,0.010310589491082468,False
y_max,0.010062553877192727,False
z_energy_frac,0.009527810174513734,False
b_max_over_mean,0.008605257740418733,False
db_maxabs,0.00818085803739539,False
z_rms,0.0078087575401361254,False
p2p_z_over_b,0.007539980157046798,False
z_std,0.006846262767090297,False
z_p2p,0.005938040671928751,False
z_mean,0.005506739764257928,False
z_sum,0.005378703815146713,False
x_mean,0.004850948436551185,False
y_mean,0.004605319761917626,False
b_num_peaks,0.004424111399807867,False
zc_x,0.0019561190057197967,False
