file,group,TP,FP,FN,P,R,F1,events,pred,gt
4_16_停车检测_clean.csv,A,4,0,0,1,1,1,13,4,4
20240723_停车检测_sheet1_clean.csv,D,3,0,0,1,1,1,6,3,3
20240723_停车检测_sheet2_clean.csv,A,4,0,0,1,1,1,9,4,4
20240726_停车检测_sheet1_clean.csv,A,3,0,1,1,0.75,0.857142857142857,12,3,4
20240723_停车检测_sheet1_e2_B_synth.csv,B,3,0,0,1,1,1,8,3,3
20240723_停车检测_sheet1_e2_C_synth.csv,C,1,1,2,0.5,0.333333333333333,0.4,49,2,3
20240723_停车检测_sheet1_e2_D_synth.csv,D,3,0,0,1,1,1,6,3,3
20240723_停车检测_sheet2_e1_B_synth.csv,B,4,0,0,1,1,1,9,4,4
20240723_停车检测_sheet2_e1_C_synth.csv,C,3,1,1,0.75,0.75,0.75,60,4,4
20240723_停车检测_sheet2_e1_D_synth.csv,D,2,1,2,0.666666666666667,0.5,0.571428571428572,9,3,4
20240723_停车检测_sheet2_e4_B_synth.csv,B,3,1,1,0.75,0.75,0.75,12,4,4
20240723_停车检测_sheet2_e4_C_synth.csv,C,4,1,0,0.8,1,0.888888888888889,61,5,4
20240723_停车检测_sheet2_e4_D_synth.csv,D,4,0,0,1,1,1,9,4,4
20240726_停车检测_sheet1_e3_B_synth.csv,B,2,0,2,1,0.5,0.666666666666667,14,2,4
20240726_停车检测_sheet1_e3_C_synth.csv,C,3,1,1,0.75,0.75,0.75,51,4,4
20240726_停车检测_sheet1_e3_D_synth.csv,D,3,0,1,1,0.75,0.857142857142857,12,3,4
4_16_停车检测_e1_B_synth.csv,B,4,0,0,1,1,1,20,4,4
4_16_停车检测_e1_C_synth.csv,C,4,0,0,1,1,1,80,4,4
4_16_停车检测_e1_D_synth.csv,D,4,0,0,1,1,1,13,4,4
4_16_停车检测_e2_B_synth.csv,B,4,0,0,1,1,1,13,4,4
4_16_停车检测_e2_C_synth.csv,C,4,0,0,1,1,1,101,4,4
4_16_停车检测_e2_D_synth.csv,D,4,0,0,1,1,1,13,4,4
4_16_停车检测_e3_B_synth.csv,B,4,0,0,1,1,1,13,4,4
4_16_停车检测_e3_C_synth.csv,C,4,0,0,1,1,1,75,4,4
4_16_停车检测_e3_D_synth.csv,D,4,0,0,1,1,1,13,4,4
4_16_停车检测_e4_B_synth.csv,B,4,0,0,1,1,1,18,4,4
4_16_停车检测_e4_C_synth.csv,C,2,2,2,0.5,0.5,0.5,74,4,4
4_16_停车检测_e4_D_synth.csv,D,4,0,0,1,1,1,13,4,4
