k,t,x,y,z
0,0,-887,-2476,-2600
1,0.019999999999996,-887,-2476,-2600
2,0.039999999999992,-887,-2477,-2599
3,0.0600000000000023,-887,-2478,-2599
4,0.0799999999999983,-886,-2478,-2600
5,0.0999999999999943,-885,-2478,-2600
6,0.11999999999999,-884,-2478,-2600
7,0.140000000000001,-883,-2477,-2601
8,0.159999999999997,-883,-2476,-2602
9,0.179999999999993,-883,-2476,-2601
10,0.200000000000003,-883,-2477,-2600
11,0.219999999999999,-885,-2478,-2599
12,0.239999999999995,-886,-2478,-2599
13,0.259999999999991,-887,-2478,-2599
14,0.280000000000001,-889,-2478,-2599
15,0.299999999999997,-889,-2478,-2600
16,0.319999999999993,-889,-2478,-2601
17,0.340000000000003,-889,-2477,-2602
18,0.359999999999999,-888,-2476,-2602
19,0.379999999999995,-888,-2476,-2602
20,0.399999999999991,-888,-2476,-2602
21,0.420000000000002,-888,-2476,-2602
22,0.439999999999998,-889,-2477,-2602
23,0.459999999999994,-890,-2478,-2602
24,0.480000000000004,-889,-2478,-2602
25,0.5,-888,-2478,-2602
26,0.519999999999996,-887,-2478,-2603
27,0.539999999999992,-886,-2477,-2603
28,0.560000000000002,-886,-2477,-2601
29,0.579999999999998,-886,-2478,-2601
30,0.599999999999994,-886,-2477,-2602
31,0.61999999999999,-886,-2476,-2602
32,0.640000000000001,-886,-2477,-2602
33,0.659999999999997,-872.950223457853,-2476.49643878971,-2601.54609472897
34,0.679999999999993,-875.014063936833,-2473.65953084576,-2601.19148123598
35,0.700000000000003,-878.496358387785,-2470.82262290182,-2600.83686774298
36,0.719999999999999,-879.978652838736,-2468.04955543685,-2600.48225424999
37,0.739999999999995,-881.815560782681,-2465.98571495787,-2600.83686774298
38,0.759999999999991,-887.425536191592,-2464.9218744789,-2601.54609472897
39,0.780000000000001,-892.390125093495,-2464.9218744789,-2602.90070822196
40,0.799999999999997,-895.29087351642,-2465.63110146488,-2604.90070822196
41,0.819999999999993,-899.837008446351,-2467.69494194386,-2605.90070822196
42,0.840000000000003,-903.383143376282,-2470.46800940883,-2604.90070822196
43,0.859999999999999,-906.220051320227,-2472.95030385978,-2603.54609472897
44,0.879999999999995,-908.638505292199,-2475.43259831073,-2603.19148123598
45,0.899999999999991,-907.993118785192,-2477.2056657757,-2602.83686774298
46,0.920000000000002,-903.092370362268,-2483.58870864957,-2602.54609472897
47,0.939999999999998,-898.482394953358,-2489.26252453746,-2603.60993520795
48,0.959999999999994,-898.418554474378,-2488.61713803045,-2603.96454870094
49,0.980000000000004,-898.000100502406,-2487.97175152345,-2603.67377568693
50,1,-896.581646530433,-2486.61713803045,-2604.38300267291
51,1.02,-894.517806051454,-2485.26252453746,-2605.73761616591
52,1.03999999999999,-892.453965572475,-2485.90791104447,-2606.73761616591
53,1.06,-895.390125093495,-2486.19868405848,-2606.38300267291
54,1.08,-896.680898107509,-2485.4894570725,-2606.38300267291
55,1.09999999999999,-892.326284614516,-2485.1348435795,-2604.73761616591
56,1.11999999999999,-889.971671121523,-2485.1348435795,-2603.73761616591
57,1.14,-890.971671121523,-2486.1348435795,-2605.0922296589
58,1.16,-891.971671121523,-2487.78023008651,-2605.44684315189
59,1.17999999999999,-891.61705762853,-2488.07100310052,-2604.44684315189
60,1.2,-891.61705762853,-2487.71638960753,-2604.0922296589
61,1.22,-891.262444135537,-2487.71638960753,-2604.73761616591
62,1.23999999999999,-890.907830642544,-2487.71638960753,-2605.73761616591
63,1.25999999999999,-890.907830642544,-2486.71638960753,-2605.73761616591
64,1.28,-890.55321714955,-2486.07100310052,-2605.73761616591
65,1.3,-890.55321714955,-2485.07100310052,-2605.73761616591
66,1.31999999999999,-890.907830642544,-2483.71638960753,-2603.0922296589
67,1.34,-890.907830642544,-2484.71638960753,-2601.44684315189
68,1.36,-890.907830642544,-2484.71638960753,-2601.44684315189
69,1.38,-890.907830642544,-2484.07100310052,-2601.44684315189
70,1.39999999999999,-890.55321714955,-2484.42561659352,-2602.44684315189
71,1.42,-890.55321714955,-2484.42561659352,-2603.44684315189
72,1.44,-889.55321714955,-2484.07100310052,-2602.44684315189
73,1.45999999999999,-888.198603656557,-2483.71638960753,-2601.0922296589
74,1.48,-888.198603656557,-2483.36177611454,-2601.0922296589
75,1.5,-888.55321714955,-2483.00716262154,-2601.44684315189
76,1.52,-888.907830642544,-2483.00716262154,-2601.0922296589
77,1.53999999999999,-888.907830642544,-2483.36177611454,-2601.0922296589
78,1.56,-887.907830642544,-2483.71638960753,-2602.44684315189
79,1.58,-887.907830642544,-2484.71638960753,-2603.44684315189
80,1.59999999999999,-888.907830642544,-2485.36177611454,-2602.80145664489
81,1.61999999999999,-889.262444135537,-2484.65254912855,-2602.51068363087
82,1.64,-889.262444135537,-2484.29793563556,-2602.51068363087
83,1.66,-889.262444135537,-2483.29793563556,-2601.15607013788
84,1.67999999999999,-889.61705762853,-2482.29793563556,-2600.51068363087
85,1.7,-889.262444135537,-2482.65254912855,-2601.51068363087
86,1.72,-887.907830642544,-2483.00716262154,-2601.80145664489
87,1.73999999999999,-887.907830642544,-2482.65254912855,-2601.44684315189
88,1.75999999999999,-887.907830642544,-2483.29793563556,-2601.44684315189
89,1.78,-888.262444135537,-2485.29793563556,-2601.44684315189
90,1.8,-889.61705762853,-2485.29793563556,-2600.80145664489
91,1.81999999999999,-886,-2478,-2597
92,1.84,-886,-2478,-2598
93,1.86,-887,-2477,-2598
94,1.88,-889,-2476,-2598
95,1.89999999999999,-890,-2476,-2598
96,1.92,-890,-2475,-2598
97,1.94,-890,-2474,-2599
98,1.95999999999999,-889,-2474,-2599
99,1.98,-888,-2475,-2598
100,2,-888,-2476,-2598
101,2.02,-888,-2476,-2598
102,2.03999999999999,-887,-2477,-2598
103,2.06,-886,-2478,-2599
104,2.08,-886,-2478,-2599
105,2.09999999999999,-888,-2479,-2597
106,2.11999999999999,-890,-2478,-2596
107,2.14,-890,-2478,-2604
108,2.16,-886,-2480,-2604
109,2.17999999999999,-884,-2479,-2597
110,2.2,-886,-2478,-2599
111,2.22,-887,-2478,-2600
