k_start,k_end,t_start_sec,alpha,lib_id,lib_peak,target_peak,max_dev_after
3204,3281,64.06,0.490164607629938,66,102.257212948525,50.1228666622448,56.6302770376169
3168,3271,63.34,0.100200137399087,90,155.457235277101,15.5768363344477,54.7298413865683
2938,3019,58.74,0.318213831857432,113,116.109010847565,36.9474932549798,33.4587901442161
3232,3323,64.62,0.168655744262028,81,132.914294189903,22.4167592096602,39.8369439304093
2831,2995,56.6,0.320427882031606,20,182.703296084116,58.5432302044266,57.4273488077006
3029,3110,60.56,0.307515905764668,217,154.631675927023,47.5516998826071,60.5475239009647
2710,2794,54.18,0.380561300737223,121,122.769905107074,46.7214747789336,52.6985953411279
2876,2975,57.5,0.143685588535503,146,183.357408358648,26.3458171323569,38.0127182780685
3222,3303,64.42,0.287904602820215,113,116.109010847565,33.4283186519163,55.5494988532202
2703,2790,54.04,0.207248164000495,3,128.365017041248,26.603414103691,47.9506317392864
2581,2659,51.6,0.17996954534782,214,132.383364513824,23.8249739231676,24.6268385871339
2519,2617,50.36,0.370578445985411,236,116.873346833228,43.3107432465716,43.7255718260441
2800,2870,55.98,0.640267133722426,119,89.2454682322861,57.1409401428016,62.0600188257348
2959,3050,59.16,0.251572706451151,170,207.114731489578,52.1044135467367,62.0561923439549
2913,3002,58.24,0.406394484281988,94,91.7719695767722,37.2956222476947,42.0203542181193
