k,t,x,y,z
4468,89.36,-892,-2476,-2615
4469,89.38,-891,-2476,-2614
4470,89.4,-891,-2476,-2614
4471,89.42,-892,-2476,-2614
4472,89.44,-892,-2476,-2614
4473,89.46,-893,-2476,-2613
4474,89.48,-893,-2476,-2613
4475,89.5,-892,-2476,-2613
4476,89.52,-892,-2476,-2613
4477,89.54,-892,-2476,-2614
4478,89.56,-892,-2475,-2614
4479,89.58,-892,-2475,-2614
4480,89.6,-893,-2476,-2614
4481,89.62,-894,-2475,-2614
4482,89.64,-894,-2475,-2614
4483,89.66,-894,-2477,-2614
4484,89.68,-894,-2477,-2614
4485,89.7,-894,-2476,-2614
4486,89.72,-893,-2477,-2613
4487,89.74,-892,-2478,-2612
4488,89.76,-892,-2478,-2612
4489,89.78,-892,-2478,-2613
4490,89.8,-892,-2478,-2613
4491,89.82,-892,-2477,-2613
4492,89.84,-891,-2477,-2614
4493,89.86,-890,-2478,-2613
4494,89.88,-890,-2477,-2613
4495,89.9,-891,-2476,-2614
4496,89.92,-892,-2476,-2615
4497,89.94,-892,-2476,-2616
4498,89.96,-891,-2476,-2615
4499,89.98,-890,-2477,-2613
4500,90,-890,-2478,-2612
4501,90.02,-891,-2478,-2612
4502,90.04,-892,-2478,-2612
4503,90.06,-892,-2478,-2613
4504,90.08,-893,-2478,-2614
4505,90.1,-894,-2478,-2614
4506,90.12,-894,-2477,-2614
4507,90.14,-895,-2477,-2614
4508,90.16,-895,-2478,-2614
4509,90.18,-894,-2478,-2614
4510,90.2,-894,-2479,-2613
4511,90.22,-894,-2480,-2612
4512,90.24,-894,-2480,-2612
4513,90.26,-893,-2480,-2612
4514,90.28,-891,-2480,-2613
4515,90.3,-890,-2480,-2614
4516,90.32,-891,-2479,-2613
4517,90.34,-892,-2479,-2612
4518,90.36,-893,-2480,-2616
4519,90.38,-894,-2482,-2618
4520,90.4,-890,-2484,-2612
4521,90.42,-888,-2482,-2612
4522,90.44,-893,-2480,-2614
4523,90.46,-896,-2480,-2612
4524,90.48,-895,-2482,-2610
4525,90.5,-893,-2482,-2609
4526,90.52,-892,-2480,-2611
4527,90.54,-892,-2481,-2612
