k_start,k_end,t_start_sec,alpha,lib_id
144,207,2.85173058065903,0.298972978927118,40
201,271,3.99213429225806,0.332596204967653,104
273,339,5.44895675559544,0.228909532670517,219
300,369,5.98293723096761,0.316471530518091,16
319,410,6.36309862577613,0.331024715359245,170
336,432,6.70688743308451,0.169476763995206,168
361,437,7.19100370652005,0.227540415598812,118
443,588,8.84282876974676,0.436273880328428,151
1187,1278,23.7252915391319,0.230228309235641,81
1231,1295,24.5905481169527,0.226922784445213,17
1249,1336,24.9611236296529,0.396128568339759,207
1270,1337,25.3868307270516,0.280979798527958,31
1271,1350,25.4064772540503,0.372234695458637,181
1288,1386,25.7483607543092,0.330857540602221,236
1297,1364,25.9246130914974,0.303792231344682,138
1297,1366,25.9246478453805,0.41856527686747,126
1301,1372,25.992423578689,0.229824578834051,86
1303,1368,26.0360238898353,0.245429419791834,12
1313,1389,26.2379316571798,0.190876546651994,200
1323,1396,26.4387432731175,0.264888823506894,212
1328,1409,26.5480913527245,0.373075328040864,233
1362,1458,27.2234782286338,0.278996101708553,168
1401,1480,27.9989719544168,0.163039066962713,181
1428,1502,28.5346349678437,0.440975607955425,193
1432,1513,28.6243816738785,0.321161921118373,120
1467,1558,29.3265335073394,0.235065687323585,197
1605,1686,32.0896664056351,0.396677762706827,171
1630,1709,32.5775018669714,0.348543816052966,67
1666,1749,33.2918553917595,0.206999286072525,189
1685,1751,33.6842148560149,0.399735217546972,205
1725,1791,34.4862186035533,0.294376787197073,50
1726,1809,34.4981399499474,0.283855397768157,189
1751,1815,34.9955195090279,0.250343338523617,202
1760,1847,35.1828193759031,0.254469259399016,207
1822,1892,36.4214621839083,0.361865597324504,96
1833,1909,36.64267866196,0.317913778939689,79
1863,1927,37.2365650010096,0.198184962850571,28
1968,2049,39.3426150594402,0.440871928267698,194
1969,2050,39.3534855395391,0.189188363531589,120
1970,2028,39.3737688732278,0.435491703183936,127
1976,2033,39.5066566801664,0.354613492993113,222
1991,2064,39.7981692810072,0.324086242721867,231
1994,2070,39.8555896664506,0.422631958583942,1
2023,2091,40.4399744506582,0.153999959641973,52
2023,2115,40.4458806985223,0.408013464536114,103
2068,2160,41.3301872218324,0.245371834054996,83
2121,2197,42.4067208303599,0.2842722800562,79
2124,2205,42.4624445887683,0.335370992933942,184
2125,2193,42.4758116438889,0.252371180787413,52
2150,2231,42.9784666956081,0.367975175399833,120
2151,2234,42.9910563123652,0.331000200807956,224
2159,2221,43.1587445207221,0.443835286671398,88
2166,2229,43.3083256984434,0.413173678250411,40
2189,2285,43.7646477426451,0.434206382291956,93
2214,2267,44.2655030902344,0.265043468859747,42
2223,2292,44.4478171686049,0.42003620591531,16
2232,2316,44.6161129816507,0.325179441682941,32
2238,2328,44.7326176067512,0.435805669192805,55
2238,2318,44.7416120121214,0.286885645491707,164
2242,2318,44.8248187829572,0.183959076000147,8
2243,2310,44.8336701554199,0.287678196512186,156
2774,2853,55.453754746927,0.340565451950916,181
2781,2860,55.6036235747546,0.159741674576782,11
2788,2850,55.7378655950032,0.320582692315773,68
2791,2844,55.8079193460662,0.29175136507938,46
2808,2885,56.1423640690406,0.273987000282105,179
2869,2957,57.3603664204512,0.289303813853502,25
2948,3031,58.9360283968512,0.441647631495898,163
2955,3058,59.0840273737786,0.384196672184017,226
3119,3202,62.3627181841696,0.345276948868018,189
3379,3463,67.5594792136766,0.226271034959779,77
3427,3499,68.5219145972158,0.261680181026185,150
3430,3506,68.570795207715,0.335097575384849,118
3471,3635,69.4044390292295,0.224838567049535,20
3552,3618,71.0234002596761,0.213515745804604,30
3557,3640,71.1229995887783,0.357551398794024,224
3557,3627,71.1248588097351,0.413098260016286,96
3565,3645,71.2725105064491,0.353203490758831,51
3566,3644,71.2939921355715,0.261612365656594,191
3583,3656,71.64775211889,0.256716652838284,82
3587,3649,71.7167495898396,0.188938227554998,97
3596,3677,71.8949705543044,0.430613287375681,113
3598,3743,71.9308572442618,0.3599614896186,151
3633,3736,72.6324280643957,0.449859180901932,90
3640,3698,72.780208844079,0.315931543758411,192
3643,3725,72.8379033812449,0.295574140385711,98
3648,3718,72.9443471704116,0.437162583314606,119
3649,3725,72.9526034740971,0.394664198554171,238
3653,3761,73.0356000098293,0.431047164561386,218
3671,3779,73.4056730452716,0.158798902864684,218
3696,3755,73.8902070606722,0.327563278539901,139
3696,3779,73.8966039760464,0.345871062452173,22
3700,3780,73.9723244133805,0.359716581919804,130
3706,3776,74.1094343291672,0.344685313183612,119
3736,3817,74.694394479964,0.247408173449504,184
3757,3830,75.1141132819214,0.165357288128953,175
3773,3864,75.4311289375866,0.368301031799225,123
3780,3832,75.580482970951,0.166021541946266,176
3801,3892,75.9905152369574,0.171827489519189,81
3806,3909,76.0996096642293,0.372915451504644,226
3809,3886,76.1581912022928,0.444237304482252,179
3814,3897,76.2665962170746,0.401346928911695,224
3821,3892,76.3933016037522,0.297950581847913,86
3821,3892,76.4068942518508,0.377823299098814,13
3830,3888,76.5774510677532,0.300275173431517,127
3842,3923,76.8283114162913,0.307737066058979,244
3864,3917,77.2621479531538,0.180748317154501,237
3998,4084,79.9393601625078,0.177565472608512,208
4168,4241,83.3466968586138,0.324174439019419,212
4191,4252,83.8072419086973,0.19862775392971,23
4273,4357,85.448852067726,0.375047214218861,121
4286,4370,85.7057014124465,0.409870450618236,108
4313,4397,86.2341907833159,0.244576883359424,187
4317,4381,86.3274961658769,0.317665820413889,239
4333,4413,86.6393927318702,0.347003091554362,130
4343,4426,86.8404794660313,0.25273883033268,149
4377,4449,87.5216943294351,0.222311023073558,85
4380,4455,87.5746007476539,0.390874754872244,80
4393,4468,87.843317693465,0.329772646260901,9
4394,4467,87.8586759003285,0.380101664165112,110
4418,4490,88.3429820591863,0.362710670517201,58
4462,4548,89.2231156043544,0.442282186817099,208
4468,4541,89.3486785053282,0.358214164555571,154
4516,4603,90.3016958059428,0.20383458603951,3
4763,4816,95.247052884128,0.430147159386537,125
4792,4861,95.8162561339683,0.312044030981935,195
4806,4873,96.1009494583576,0.320763528655956,31
4837,4925,96.7212901946622,0.31242469094708,25
4882,4935,97.6210720347448,0.430922451492864,46
4895,4960,97.8898729799857,0.316023723354905,56
4901,4979,98.002993997759,0.341543593532796,214
4914,5005,98.2509008557174,0.376546318043981,170
4923,5001,98.4422106611387,0.314708136533548,214
4929,5023,98.560342968881,0.357726350933415,201
4942,5021,98.826047212181,0.205524282740818,70
4968,5047,99.339462417624,0.434530828250365,220
4986,5047,99.7061076088552,0.187907422582515,24
5025,5090,100.487053439873,0.362842747680162,12
5042,5125,100.811957334322,0.22045696843506,149
5163,5246,103.23104504444,0.33358346709485,163
5171,5257,103.393802611832,0.409909696468963,18
5179,5262,103.569682013822,0.277447011412044,149
5189,5292,103.768766911321,0.408950732035873,226
5199,5308,103.962947270588,0.274826545017347,73
5201,5276,103.992645128896,0.415885557725496,148
5209,5286,104.168930611816,0.269386971985854,101
5219,5281,104.361683522657,0.270405830592999,68
5225,5287,104.488625043235,0.151091166781959,69
5238,5301,104.747564642748,0.298626456948732,152
5263,5342,105.238281027387,0.321035270736322,112
5270,5332,105.370474871052,0.440957981990673,88
5306,5388,106.091272172875,0.443535952392401,241
5313,5383,106.239595606186,0.267544981267435,104
5326,5435,106.505652646825,0.257520390951127,73
5369,5431,107.3597492324,0.347798223038043,68
5372,5455,107.426377873256,0.264959565228002,189
5423,5482,108.445054991236,0.163681200600399,139
5428,5504,108.530818185354,0.299452072937837,1
5440,5518,108.785748187243,0.331836048627469,41
6012,6102,120.226468375946,0.325645658513287,105
6029,6103,120.552202463661,0.437731115196772,72
6065,6145,121.289260112833,0.376277681844851,27
6068,6146,121.348372068019,0.170832765662734,15
6099,6177,121.96791745468,0.401281339401458,185
6122,6200,122.423512202656,0.372384774332527,15
6165,6226,123.273555964525,0.273798552271787,61
6169,6245,123.353498967955,0.36777984511338,71
6194,6284,123.86112238723,0.245901861059981,95
6232,6284,124.625489712229,0.348213229837655,33
6239,6323,124.756108134112,0.381872601363556,121
6241,6321,124.802396057393,0.18030024741733,164
6643,6738,132.848748704824,0.366080904928427,227
6657,6724,133.122236529615,0.188057564540762,4
6671,6741,133.390450533941,0.358612392869309,104
6673,6748,133.445895754691,0.362004773529816,243
6685,6749,133.673629356051,0.382690443921579,239
6751,6822,134.990742331085,0.22507345070929,6
6779,6848,135.55924948805,0.445285009560371,153
6781,6861,135.607851747888,0.357420621104556,51
6811,6890,136.198239973781,0.293446497991294,112
6816,6906,136.290121331653,0.320590667046938,95
6818,6879,136.332161603611,0.402290924149729,225
6820,6899,136.37097158318,0.393931118904762,209
6839,6911,136.76578379938,0.314489625399496,14
6890,6963,137.786414924819,0.368076032719814,116
6901,7004,138.00198220025,0.449672364505624,2
6915,6990,138.271584506378,0.237781066329771,122
7036,7230,140.697533283916,0.406153898279734,53
7095,7176,141.886957891814,0.373682159716339,162
7185,7238,143.688107516228,0.356893860125073,237
7207,7284,144.129269069195,0.317412136716683,66
7251,7315,144.994725812532,0.400838819963114,17
7256,7351,145.100695643613,0.367753912168709,157
7264,7363,145.264384541233,0.390303247811442,146
7279,7332,145.558070968094,0.244171198605753,237
7279,7362,145.560844608029,0.271692565084531,224
7288,7433,145.730266710322,0.415808524528372,151
7292,7380,145.825243262154,0.310740071460851,25
7343,7423,146.840895368437,0.232088464429336,164
