k,t,x,y,z
0,0,-758,-1143,-2466
1,0.0200000000000102,-754,-1146,-2466
2,0.0400000000000063,-756,-1149,-2468
3,0.0600000000000023,-763,-1146,-2472
4,0.0800000000000125,-762,-1145,-2475
5,0.100000000000009,-758,-1144,-2470
6,0.120000000000005,-758,-1145,-2470
7,0.140000000000001,-758,-1146,-2470
8,0.160000000000011,-759,-1146,-2471
9,0.180000000000007,-759,-1146,-2470
10,0.200000000000003,-757,-1145,-2469
11,0.220000000000013,-757,-1144,-2470
12,0.240000000000009,-758,-1144,-2471
13,0.260000000000005,-758,-1144,-2471
14,0.280000000000001,-758,-1145,-2470
15,0.300000000000011,-759,-1146,-2470
16,0.320000000000007,-762,-1146,-2467
17,0.340000000000003,-764,-1146,-2470
18,0.359999999999999,-760,-1146,-2468
19,0.38000000000001,-754,-1146,-2462
20,0.400000000000006,-755,-1145,-2467
21,0.420000000000002,-758,-1144,-2471
22,0.440000000000012,-758,-1144,-2473
23,0.460000000000008,-758,-1144,-2473
24,0.480000000000004,-758,-1144,-2472
25,0.5,-758,-1144,-2472
26,0.52000000000001,-759,-1144,-2472
27,0.540000000000006,-759,-1144,-2471
28,0.560000000000002,-758,-1144,-2471
29,0.580000000000013,-758,-1144,-2472
30,0.600000000000009,-758,-1144,-2472
31,0.620000000000005,-758,-1143,-2473
32,0.640000000000001,-757,-1143,-2472
33,0.660000000000011,-756,-1144,-2470
34,0.680000000000007,-756,-1145,-2471
35,0.700000000000003,-756,-1145,-2472
36,0.720000000000013,-756,-1144,-2472
37,0.740000000000009,-757,-1144,-2471
38,0.760000000000005,-758,-1144,-2470
39,0.780000000000001,-754,-1145,-2467
40,0.800000000000011,-757,-1145,-2470
41,0.820000000000007,-760,-1144,-2470
42,0.840000000000003,-754,-1145,-2462
43,0.859999999999999,-755,-1144,-2465
44,0.88000000000001,-758,-1143,-2471
45,0.900000000000006,-758,-1144,-2473
46,0.920000000000002,-758,-1144,-2473
47,0.940000000000012,-755.283519665395,-1139.16029365674,-2476.66797482786
48,0.960000000000008,-757.844715259996,-1138.76999475809,-2475.49707813191
49,0.980000000000004,-760.015611955946,-1138.37969585944,-2476.10677923326
50,1,-761.186508651896,-1138.37969585944,-2474.32618143595
51,1.02000000000001,-762.138003145147,-1138.37969585944,-2470.76498584135
52,1.04000000000001,-763.479796537048,-1138.76999475809,-2470.20379024675
53,1.06,-767.211888827599,-1139.94089145404,-2470.0328935508
54,1.08000000000001,-770.163383320849,-1141.50208704864,-2471.64259465215
55,1.10000000000001,-771.3342800168,-1144.45358154189,-2471.08139905755
56,1.12,-771.72457891545,-1148.57597273109,-2467.349306767
57,1.14,-769.163383320849,-1152.47896171759,-2465.61721447645
58,1.16000000000001,-767.602187726249,-1155.21105400814,-2464.27542108455
59,1.18000000000001,-764.699198739747,-1158.72374409599,-2459.7627309967
60,1.2,-759.235014158646,-1161.8461352852,-2455.25004090885
61,1.22000000000001,-756.502921868095,-1161.6267330825,-2454.0791442129
62,1.24000000000001,-753.770829577544,-1161.4073308798,-2451.90824751695
63,1.26000000000001,-750.258139489693,-1162.4073308798,-2449.737350821
64,1.28,-746.135748300492,-1162.6267330825,-2448.737350821
65,1.30000000000001,-743.793954908591,-1161.8461352852,-2448.5179486183
66,1.32000000000001,-743.623058212641,-1161.06553748789,-2449.2985464156
67,1.34,-741.45216151669,-1159.89464079194,-2451.46944311155
68,1.36,-740.28126482074,-1158.72374409599,-2455.03063870615
69,1.38000000000001,-740.11036812479,-1156.94314629869,-2456.59183430075
70,1.40000000000001,-739.32977032749,-1156.16254850139,-2456.7627309967
71,1.42,-739.32977032749,-1155.38195070409,-2458.71422548995
72,1.44000000000001,-738.939471428839,-1154.21105400814,-2460.4463177805
73,1.46000000000001,-738.939471428839,-1153.64985841354,-2461.7881111724
74,1.48,-739.72006922614,-1152.08866281894,-2464.1299045643
75,1.5,-740.11036812479,-1151.30806502164,-2465.6911001589
76,1.52000000000001,-740.50066702344,-1150.52746722434,-2467.86199685485
77,1.54000000000001,-742.67156371939,-1149.74686942704,-2470.42319244945
78,1.56,-743.842460415341,-1149.35657052839,-2470.5940891454
79,1.58000000000001,-743.623058212641,-1148.96627162974,-2470.3746869427
80,1.60000000000001,-744.403656009941,-1148.57597273109,-2471.9358825373
81,1.62,-743.184253807241,-1146.79537493379,-2470.10677923326
82,1.64,-746.574552705892,-1145.40507603514,-2471.49707813191
83,1.66000000000001,-750.964851604542,-1146.40507603514,-2472.27767592921
84,1.68000000000001,-746.745449401842,-1146.40507603514,-2467.05827372651
85,1.7,-745.526047199142,-1145.40507603514,-2470.83887152381
86,1.72000000000001,-747.916346097792,-1146.79537493379,-2477.61946932111
87,1.74000000000001,-748.306644996442,-1148.18567383244,-2479.00976821976
88,1.76000000000001,-748.696943895092,-1148.18567383244,-2479.40006711841
89,1.78,-747.696943895092,-1148.18567383244,-2478.79036601706
90,1.80000000000001,-744.087242793743,-1148.18567383244,-2473.18066491571
91,1.82000000000001,-747.477541692393,-1150.18567383244,-2472.57096381436
92,1.84,-751.867840591043,-1150.18567383244,-2474.57096381436
93,1.86,-747.867840591043,-1150.18567383244,-2474.96126271301
94,1.88000000000001,-747.867840591043,-1150.18567383244,-2477.35156161166
95,1.90000000000001,-748.867840591043,-1148.18567383244,-2477.35156161166
96,1.92,-747.477541692393,-1148.18567383244,-2478.35156161166
97,1.94000000000001,-747.867840591043,-1148.18567383244,-2479.35156161166
98,1.96000000000001,-748.258139489693,-1148.18567383244,-2479.35156161166
99,1.98,-749.258139489693,-1148.18567383244,-2480.35156161166
100,2,-750.258139489693,-1148.18567383244,-2482.74186051031
101,2.02000000000001,-750.258139489693,-1148.57597273109,-2484.13215940896
102,2.04000000000001,-750.648438388343,-1147.96627162974,-2482.74186051031
103,2.06,-751.038737286993,-1147.96627162974,-2481.74186051031
104,2.08000000000001,-751.038737286993,-1147.96627162974,-2482.13215940896
105,2.10000000000001,-752.038737286993,-1146.57597273109,-2483.13215940896
106,2.12,-753.038737286993,-1146.18567383244,-2482.74186051031
107,2.14,-752.038737286993,-1146.18567383244,-2481.35156161166
108,2.16000000000001,-751.038737286993,-1147.18567383244,-2481.74186051031
109,2.18000000000001,-750.648438388343,-1147.18567383244,-2481.74186051031
110,2.2,-750.258139489693,-1145.79537493379,-2482.35156161166
111,2.22000000000001,-750.648438388343,-1145.40507603514,-2482.74186051031
112,2.24000000000001,-750.038737286993,-1145.79537493379,-2482.13215940896
113,2.26000000000001,-749.038737286993,-1146.18567383244,-2482.13215940896
114,2.28,-750.429036185643,-1146.18567383244,-2482.74186051031
115,2.30000000000001,-751.429036185643,-1146.57597273109,-2484.35156161166
116,2.32000000000001,-750.429036185643,-1147.35657052839,-2484.35156161166
117,2.34,-749.819335084293,-1147.35657052839,-2483.74186051031
118,2.36,-749.819335084293,-1146.96627162974,-2483.74186051031
119,2.38000000000001,-749.819335084293,-1147.96627162974,-2484.35156161166
120,2.40000000000001,-749.819335084293,-1147.96627162974,-2484.74186051031
121,2.42,-749.819335084293,-1146.57597273109,-2482.74186051031
122,2.44000000000001,-749.429036185643,-1146.18567383244,-2481.35156161166
123,2.46000000000001,-749.038737286993,-1146.18567383244,-2482.35156161166
124,2.48,-750.038737286993,-1147.18567383244,-2482.96126271301
125,2.5,-751.038737286993,-1148.18567383244,-2481.96126271301
126,2.52000000000001,-751.038737286993,-1147.57597273109,-2481.35156161166
127,2.54000000000001,-749.648438388343,-1146.96627162974,-2480.96126271301
128,2.56,-749.258139489693,-1147.96627162974,-2482.57096381436
129,2.58000000000001,-749.258139489693,-1148.96627162974,-2484.57096381436
130,2.60000000000001,-757,-1146,-2475
131,2.62,-756,-1146,-2474
132,2.64,-756,-1146,-2474
133,2.66000000000001,-756,-1146,-2475
134,2.68000000000001,-756,-1146,-2476
135,2.7,-756,-1145,-2475
136,2.72000000000001,-756,-1144,-2473
137,2.74000000000001,-757,-1144,-2472
138,2.76000000000001,-759,-1144,-2473
139,2.78,-759,-1143,-2473
140,2.80000000000001,-759,-1142,-2472
141,2.82000000000001,-758,-1143,-2464
142,2.84,-758,-1144,-2470
143,2.86,-763,-1144,-2482
144,2.88000000000001,-761,-1145,-2472
145,2.90000000000001,-756,-1144,-2467
146,2.92,-756,-1143,-2471
147,2.94000000000001,-757,-1144,-2472
148,2.96000000000001,-758,-1144,-2472
149,2.98,-758,-1143,-2472
150,3,-758,-1143,-2472
151,3.02000000000001,-759,-1144,-2474
152,3.04000000000001,-760,-1144,-2476
153,3.06,-759,-1145,-2475
154,3.08000000000001,-758,-1146,-2474
155,3.10000000000001,-758,-1145,-2474
156,3.12,-759,-1144,-2476
157,3.14,-760,-1144,-2477
158,3.16000000000001,-760,-1144,-2475
159,3.18000000000001,-760,-1144,-2474
160,3.2,-761,-1144,-2475
161,3.22000000000001,-761,-1144,-2475
162,3.24000000000001,-760,-1144,-2474
163,3.26000000000001,-760,-1145,-2474
164,3.28,-759,-1145,-2474
165,3.30000000000001,-759,-1144,-2475
166,3.32000000000001,-760,-1144,-2476
167,3.34,-760,-1145,-2475
168,3.36,-759,-1146,-2474
169,3.38000000000001,-758,-1146,-2474
170,3.40000000000001,-759,-1146,-2475
171,3.42,-760,-1146,-2476
172,3.44000000000001,-759,-1145,-2475
173,3.46000000000001,-758,-1143,-2474
174,3.48,-759,-1142,-2475
175,3.5,-760,-1142,-2476
176,3.52000000000001,-760,-1142,-2476
177,3.54000000000001,-760,-1143,-2476
178,3.56,-760,-1144,-2476
179,3.58000000000001,-761,-1144,-2477
180,3.60000000000001,-762,-1144,-2478
181,3.62,-761,-1144,-2475
182,3.64,-759,-1144,-2472
183,3.66000000000001,-758,-1144,-2474
184,3.68000000000001,-758,-1145,-2476
185,3.7,-758,-1146,-2476
186,3.72000000000001,-759,-1146,-2476
187,3.74000000000001,-760,-1146,-2476
188,3.76000000000001,-760,-1145,-2478
189,3.78,-760,-1144,-2479
190,3.80000000000001,-759,-1145,-2478
191,3.82000000000001,-757,-1146,-2477
192,3.84,-756,-1146,-2475
193,3.86,-758,-1146,-2476
194,3.88000000000001,-760,-1145,-2478
195,3.90000000000001,-761,-1144,-2478
196,3.92,-761,-1143,-2477
197,3.94000000000001,-760,-1142,-2478
198,3.96000000000001,-760,-1142,-2479
199,3.98,-760,-1142,-2477
200,4,-758,-1143,-2476
201,4.02000000000001,-757,-1144,-2476
202,4.04000000000001,-758,-1144,-2477
203,4.06,-757,-1144,-2478
204,4.08000000000001,-757,-1144,-2477
205,4.10000000000001,-758,-1144,-2476
206,4.12,-758,-1144,-2478
207,4.14,-759,-1143,-2480
208,4.16000000000001,-760,-1142,-2480
209,4.18000000000001,-759,-1143,-2480
210,4.2,-758,-1144,-2479
211,4.22000000000001,-758,-1144,-2479
212,4.24000000000001,-758,-1144,-2479
213,4.26000000000001,-757,-1144,-2477
214,4.28,-756,-1143,-2477
215,4.30000000000001,-757,-1143,-2477
216,4.32000000000001,-759,-1144,-2478
217,4.34,-760,-1143,-2479
218,4.36,-760,-1142,-2477
219,4.38000000000001,-760,-1142,-2476
220,4.40000000000001,-760,-1142,-2477
221,4.42,-760,-1142,-2478
222,4.44000000000001,-760,-1142,-2479
223,4.46000000000001,-760,-1142,-2480
224,4.48,-760,-1142,-2479
225,4.5,-761,-1142,-2479
226,4.52000000000001,-762,-1143,-2480
227,4.54000000000001,-761,-1143,-2479
228,4.56,-759,-1143,-2478
229,4.58000000000001,-759,-1143,-2479
230,4.60000000000001,-760,-1142,-2479
231,4.62,-761,-1143,-2478
232,4.64,-762,-1144,-2478
233,4.66000000000001,-761,-1144,-2476
234,4.68000000000001,-760,-1144,-2476
235,4.7,-760,-1144,-2478
236,4.72000000000001,-760,-1145,-2483
237,4.74000000000001,-762,-1145,-2490
238,4.76000000000001,-762,-1144,-2480
239,4.78,-762,-1145,-2478
240,4.80000000000001,-762,-1145,-2484
241,4.82000000000001,-760,-1145,-2479
242,4.84,-763,-1146,-2479
243,4.86,-765,-1141,-2484
244,4.88000000000001,-767,-1138,-2490
245,4.90000000000001,-768,-1143,-2492
246,4.92,-763,-1144,-2485
247,4.94000000000001,-759,-1143,-2477
248,4.96000000000001,-759,-1144,-2478
249,4.98,-760,-1144,-2480
250,5,-759,-1144,-2479
251,5.02000000000001,-758,-1143,-2479
252,5.04000000000001,-758,-1142,-2480
253,5.06,-758,-1142,-2480
