k_start,k_end,t_start_sec,alpha,lib_id
220,365,4.3707660227374,0.213824696917069,151
426,528,8.50125747065868,0.297174441698292,84
454,523,9.05819394276792,0.424394683725323,178
496,571,9.89263530651028,0.25800573737396,148
573,637,11.433921062702,0.19798825379855,239
603,688,12.0417693669332,0.263383055137219,215
667,753,13.3186214378817,0.201628422167479,232
693,782,13.8429189913478,0.169556081706595,94
715,794,14.2840805443146,0.189078378860772,220
758,824,15.149537287651,0.216632998259354,143
764,845,15.2555071187325,0.35083492219489,233
787,866,15.7156560831481,0.159001321059923,112
800,864,15.9800547372731,0.341586006331681,28
825,904,16.4737891168111,0.372183658122062,112
851,939,16.9957068435562,0.163146202068975,155
857,933,17.1290257679136,0.233274586649378,8
864,923,17.2637139614078,0.20534208761119,139
1139,1212,22.7586961404665,0.368924423080722,116
1140,1217,22.7821652811037,0.180638718345121,101
1264,1329,25.2570146200096,0.349218689481951,114
1295,1371,25.8732713777078,0.427242652133659,238
1348,1426,26.9430298679053,0.381543086290761,191
1388,1458,27.73653219143,0.243587689271267,159
1409,1489,28.1682435160782,0.334395273114591,63
1424,1526,28.453622591231,0.294465594132056,91
1470,1615,29.3746977251993,0.174479134188419,151
1526,1587,30.5002660169278,0.185799965679905,61
1907,1975,38.1100089961643,0.424352165388853,52
1931,2022,38.5939997877063,0.267919634617111,169
1949,2027,38.9664027989857,0.212269971927469,214
2118,2201,42.3447050998179,0.383648830975432,166
2134,2236,42.650623051662,0.250717955947257,91
2320,2393,46.3723060096458,0.2689355031679,87
2336,2420,46.6980400973606,0.288465058840692,32
2373,2451,47.4350977465323,0.335004466042797,229
2376,2457,47.4942097017187,0.259663096411736,171
2406,2487,48.0967586717602,0.385254553059366,244
2407,2484,48.1137550883794,0.269584151037393,135
2429,2499,48.5693498363555,0.29553263540526,119
2472,2553,49.4193935982249,0.441417327556603,234
2476,2558,49.4993366016547,0.417435430096873,199
2501,2579,50.0069600209295,0.417704495623385,229
2540,2616,50.7713273459283,0.320677756960725,8
