method,group,TP,FP,FN,P,R,F1
Ours,A,12,0,0,1.0,1.0,1.0
Ours,B,30,1,1,0.967741935483871,0.967741935483871,0.967741935483871
Ours,C,28,3,3,0.9032258064516129,0.9032258064516129,0.9032258064516129
Ours,D,34,0,0,1.0,1.0,1.0
Ours,ALL,104,4,4,0.9629629629629629,0.9629629629629629,0.9629629629629629
LWC,A,11,0,1,1.0,0.9166666666666666,0.9565217391304348
LWC,B,29,1,2,0.9666666666666667,0.9354838709677419,0.9508196721311476
LWC,C,25,4,6,0.8620689655172413,0.8064516129032258,0.8333333333333334
LWC,D,33,0,1,1.0,0.9705882352941176,0.9850746268656716
LWC,ALL,98,5,10,0.9514563106796117,0.9074074074074074,0.9289099526066351
ADTA-FSM,A,11,0,1,1.0,0.9166666666666666,0.9565217391304348
ADTA-FSM,B,26,0,5,1.0,0.8387096774193549,0.9122807017543859
ADTA-FSM,C,25,4,6,0.8620689655172413,0.8064516129032258,0.8333333333333334
ADTA-FSM,D,28,3,6,0.9032258064516129,0.8235294117647058,0.8615384615384616
ADTA-FSM,ALL,90,7,18,0.9278350515463918,0.8333333333333334,0.8780487804878049
