file,group,TP,FP,FN,P,R,F1,events,pred,gt
20240723_停车检测_sheet1_clean.csv,D,3,0,0,1.0,1.0,1.0,6,3,3
20240723_停车检测_sheet1_e2_B_synth.csv,B,3,0,0,1.0,1.0,1.0,8,3,3
20240723_停车检测_sheet1_e2_C_synth.csv,C,3,0,0,1.0,1.0,1.0,49,3,3
20240723_停车检测_sheet1_e2_D_synth.csv,D,3,0,0,1.0,1.0,1.0,6,3,3
20240723_停车检测_sheet2_clean.csv,A,4,0,0,1.0,1.0,1.0,9,4,4
20240723_停车检测_sheet2_e1_B_synth.csv,B,4,0,0,1.0,1.0,1.0,9,4,4
20240723_停车检测_sheet2_e1_C_synth.csv,C,3,0,1,1.0,0.75,0.8571428571428571,60,3,4
20240723_停车检测_sheet2_e1_D_synth.csv,D,4,0,0,1.0,1.0,1.0,9,4,4
20240723_停车检测_sheet2_e4_B_synth.csv,B,4,0,0,1.0,1.0,1.0,12,4,4
20240723_停车检测_sheet2_e4_C_synth.csv,C,4,0,0,1.0,1.0,1.0,61,4,4
20240723_停车检测_sheet2_e4_D_synth.csv,D,4,0,0,1.0,1.0,1.0,9,4,4
20240726_停车检测_sheet1_clean.csv,A,4,0,0,1.0,1.0,1.0,12,4,4
20240726_停车检测_sheet1_e3_B_synth.csv,B,3,1,1,0.75,0.75,0.75,14,4,4
20240726_停车检测_sheet1_e3_C_synth.csv,C,3,0,1,1.0,0.75,0.8571428571428571,51,3,4
20240726_停车检测_sheet1_e3_D_synth.csv,D,4,0,0,1.0,1.0,1.0,12,4,4
4_16_停车检测_clean.csv,A,4,0,0,1.0,1.0,1.0,13,4,4
4_16_停车检测_e1_B_synth.csv,B,4,0,0,1.0,1.0,1.0,20,4,4
4_16_停车检测_e1_C_synth.csv,C,4,0,0,1.0,1.0,1.0,80,4,4
4_16_停车检测_e1_D_synth.csv,D,4,0,0,1.0,1.0,1.0,13,4,4
4_16_停车检测_e2_B_synth.csv,B,4,0,0,1.0,1.0,1.0,13,4,4
4_16_停车检测_e2_C_synth.csv,C,4,1,0,0.8,1.0,0.888888888888889,101,5,4
4_16_停车检测_e2_D_synth.csv,D,4,0,0,1.0,1.0,1.0,13,4,4
4_16_停车检测_e3_B_synth.csv,B,4,0,0,1.0,1.0,1.0,13,4,4
4_16_停车检测_e3_C_synth.csv,C,4,0,0,1.0,1.0,1.0,75,4,4
4_16_停车检测_e3_D_synth.csv,D,4,0,0,1.0,1.0,1.0,13,4,4
4_16_停车检测_e4_B_synth.csv,B,4,0,0,1.0,1.0,1.0,18,4,4
4_16_停车检测_e4_C_synth.csv,C,3,2,1,0.6,0.75,0.6666666666666665,74,5,4
4_16_停车检测_e4_D_synth.csv,D,4,0,0,1.0,1.0,1.0,13,4,4
